frame,track_id,label,cx,cy,vx,vy,confirmed
2,1,person,1222.18,644.68,0.000,-0.000,1
2,2,person,663.42,652.34,-0.000,0.000,1
2,3,person,408.30,667.02,-0.000,0.000,1
2,4,person,1686.16,622.20,0.000,0.000,1
2,6,person,926.74,622.86,0.000,-0.000,1
2,7,person,1475.86,637.09,0.000,-0.000,1
2,8,person,1365.89,569.79,-0.000,-0.000,1
2,9,person,1875.60,519.63,0.000,-0.000,1
2,10,person,525.90,649.70,-0.000,-0.000,1
2,11,person,275.50,535.54,0.000,0.000,1
2,13,person,804.96,637.41,-0.000,0.000,1
2,14,person,1786.55,556.26,0.000,0.000,1
3,1,person,1222.18,644.68,0.000,-0.000,1
3,2,person,669.78,647.33,-0.000,0.000,1
3,3,person,403.04,667.58,-0.000,0.000,1
3,4,person,1685.32,607.73,0.000,-0.000,1
3,6,person,926.74,622.86,0.000,-0.000,1
3,7,person,1481.19,622.17,0.000,-0.000,1
3,8,person,1365.89,569.79,-0.000,-0.000,1
3,9,person,1789.88,546.79,-0.000,0.000,1
3,10,person,525.90,649.70,-0.000,-0.000,1
3,11,person,274.64,529.65,0.000,-0.000,1
3,13,person,798.45,639.36,-0.000,0.000,1
3,14,person,1854.80,571.03,0.000,0.000,1
3,16,person,312.16,679.27,0.000,-0.000,1
3,17,person,1355.38,578.55,0.000,0.000,1
4,1,person,1214.61,649.52,0.000,0.000,1
4,2,person,674.71,645.63,-0.000,-0.000,1
4,3,person,368.01,663.68,-0.000,-0.000,1
4,4,person,1687.14,615.46,0.000,-0.000,1
4,6,person,930.78,570.00,0.000,-0.000,1
4,7,person,1481.19,622.17,0.000,-0.000,1
4,8,person,1402.76,581.34,0.000,0.000,1
4,9,person,1794.10,539.15,-0.000,0.000,1
4,10,person,525.90,649.70,-0.000,-0.000,1
4,11,person,265.84,558.40,-0.000,0.000,1
4,13,person,793.83,638.80,-0.000,0.000,1
4,14,person,1855.60,577.42,0.000,0.000,1
4,16,person,312.16,679.27,0.000,-0.000,1
4,17,person,1344.14,586.81,-0.000,0.000,1
4,18,person,533.88,694.00,-0.000,-0.000,1
5,1,person,1216.56,650.10,0.000,0.000,1
5,2,person,672.40,651.16,-0.000,0.000,1
5,3,person,353.53,664.61,-0.000,-0.000,1
5,4,person,1681.77,616.37,-0.000,-0.000,1
5,6,person,926.31,573.62,0.000,-0.000,1
5,7,person,1562.77,592.39,0.000,-0.000,1
5,8,person,1383.69,617.06,0.000,0.000,1
5,9,person,1879.88,514.87,0.000,-0.000,1
5,10,person,525.90,649.70,-0.000,-0.000,1
5,11,person,265.84,558.40,-0.000,0.000,1
5,13,person,787.48,638.32,-0.000,0.000,1
5,14,person,1801.70,544.43,0.000,-0.000,1
5,16,person,312.16,679.27,0.000,-0.000,1
5,17,person,1344.29,587.72,-0.000,0.000,1
5,18,person,527.06,704.59,-0.000,0.000,1
5,19,person,1089.55,513.41,-0.000,-0.000,1
5,20,person,1481.09,632.00,0.000,-0.000,1
5,21,person,1607.67,562.04,0.000,0.000,1
6,1,person,1224.80,647.78,0.000,0.000,1
6,2,person,660.94,653.96,-0.000,0.000,1
6,3,person,343.07,666.88,-0.000,0.000,1
6,4,person,1678.68,618.45,-0.000,-0.000,1
6,6,person,928.68,572.88,0.000,-0.000,1
6,7,person,1562.71,592.73,0.000,-0.000,1
6,8,person,1345.64,593.06,-0.000,0.000,1
6,9,person,1879.88,514.87,0.000,-0.000,1
6,10,person,525.90,649.70,-0.000,-0.000,1
6,11,person,265.84,558.40,-0.000,0.000,1
6,13,person,784.90,635.81,-0.000,0.000,1
6,14,person,1803.57,547.64,0.000,-0.000,1
6,16,person,312.16,679.27,0.000,-0.000,1
6,17,person,1344.29,587.72,-0.000,0.000,1
6,18,person,507.59,712.81,-0.000,0.000,1
6,19,person,1087.54,512.44,-0.000,-0.000,1
6,20,person,1480.39,630.35,0.000,-0.000,1
6,21,person,1606.75,561.32,-0.000,0.000,1
7,1,person,1251.36,632.78,0.000,-0.000,1
7,2,person,645.78,661.79,-0.000,0.000,1
7,3,person,343.07,666.88,-0.000,0.000,1
7,4,person,1677.65,620.73,-0.000,0.000,1
7,6,person,926.51,570.61,0.000,-0.000,1
7,7,person,1565.31,582.02,0.000,-0.000,1
7,8,person,1344.02,597.41,-0.000,0.000,1
7,9,person,1881.99,515.46,0.000,-0.000,1
7,10,person,525.90,649.70,-0.000,-0.000,1
7,11,person,265.84,558.40,-0.000,0.000,1
7,13,person,777.12,650.80,-0.000,0.000,1
7,14,person,1803.23,552.16,0.000,0.000,1
7,16,person,326.24,672.27,0.000,-0.000,1
7,17,person,1391.03,586.51,0.000,0.000,1
7,18,person,506.96,713.65,-0.000,0.000,1
7,19,person,1087.16,512.36,-0.000,-0.000,1
7,20,person,1482.32,608.20,0.000,-0.000,1
7,21,person,1606.75,561.32,-0.000,0.000,1
8,1,person,1261.58,652.87,0.000,0.000,1
8,2,person,639.49,643.01,-0.000,-0.000,1
8,3,person,343.07,666.88,-0.000,0.000,1
8,4,person,1681.13,621.20,-0.000,0.000,1
8,6,person,926.51,570.61,0.000,-0.000,1
8,7,person,1567.78,580.69,0.000,-0.000,1
8,8,person,1384.62,580.79,0.000,0.000,1
8,9,person,1884.50,512.91,0.000,-0.000,1
8,10,person,525.90,649.70,-0.000,-0.000,1
8,11,person,265.84,558.40,-0.000,0.000,1
8,13,person,777.12,650.80,-0.000,0.000,1
8,14,person,1803.86,552.23,0.000,0.000,1
8,16,person,321.01,678.24,0.000,-0.000,1
8,17,person,1402.55,530.00,0.000,-0.000,1
