track_id,frame,label,cx,cy,vx,vy,confirmed
1,2,person,1222.18,644.68,0.0,-0.0,1
2,2,person,663.42,652.34,-0.0,0.0,1
3,2,person,408.3,667.02,-0.0,0.0,1
4,2,person,1686.16,622.2,0.0,0.0,1
6,2,person,926.74,622.86,0.0,-0.0,1
7,2,person,1475.86,637.09,0.0,-0.0,1
8,2,person,1365.89,569.79,-0.0,-0.0,1
9,2,person,1875.6,519.63,0.0,-0.0,1
10,2,person,525.9,649.7,-0.0,-0.0,1
11,2,person,275.5,535.54,0.0,0.0,1
13,2,person,804.96,637.41,-0.0,0.0,1
14,2,person,1786.55,556.26,0.0,0.0,1
1,3,person,1222.18,644.68,0.0,-0.0,1
2,3,person,669.78,647.33,-0.0,0.0,1
3,3,person,403.04,667.58,-0.0,0.0,1
4,3,person,1685.32,607.73,0.0,-0.0,1
6,3,person,926.74,622.86,0.0,-0.0,1
7,3,person,1481.19,622.17,0.0,-0.0,1
8,3,person,1365.89,569.79,-0.0,-0.0,1
9,3,person,1789.88,546.79,-0.0,0.0,1
10,3,person,525.9,649.7,-0.0,-0.0,1
11,3,person,274.64,529.65,0.0,-0.0,1
13,3,person,798.45,639.36,-0.0,0.0,1
14,3,person,1854.8,571.03,0.0,0.0,1
16,3,person,312.16,679.27,0.0,-0.0,1
17,3,person,1355.38,578.55,0.0,0.0,1
1,4,person,1214.61,649.52,0.0,0.0,1
2,4,person,674.71,645.63,-0.0,-0.0,1
3,4,person,368.01,663.68,-0.0,-0.0,1
4,4,person,1687.14,615.46,0.0,-0.0,1
6,4,person,930.78,570.0,0.0,-0.0,1
7,4,person,1481.19,622.17,0.0,-0.0,1
8,4,person,1402.76,581.34,0.0,0.0,1
9,4,person,1794.1,539.15,-0.0,0.0,1
10,4,person,525.9,649.7,-0.0,-0.0,1
11,4,person,265.84,558.4,-0.0,0.0,1
13,4,person,793.83,638.8,-0.0,0.0,1
14,4,person,1855.6,577.42,0.0,0.0,1
16,4,person,312.16,679.27,0.0,-0.0,1
17,4,person,1344.14,586.81,-0.0,0.0,1
18,4,person,533.88,694.0,-0.0,-0.0,1
1,5,person,1216.56,650.1,0.0,0.0,1
2,5,person,672.4,651.16,-0.0,0.0,1
3,5,person,353.53,664.61,-0.0,-0.0,1
4,5,person,1681.77,616.37,-0.0,-0.0,1
6,5,person,926.31,573.62,0.0,-0.0,1
7,5,person,1562.77,592.39,0.0,-0.0,1
8,5,person,1383.69,617.06,0.0,0.0,1
9,5,person,1879.88,514.87,0.0,-0.0,1
10,5,person,525.9,649.7,-0.0,-0.0,1
11,5,person,265.84,558.4,-0.0,0.0,1
13,5,person,787.48,638.32,-0.0,0.0,1
14,5,person,1801.7,544.43,0.0,-0.0,1
16,5,person,312.16,679.27,0.0,-0.0,1
17,5,person,1344.29,587.72,-0.0,0.0,1
18,5,person,527.06,704.59,-0.0,0.0,1
19,5,person,1089.55,513.41,-0.0,-0.0,1
20,5,person,1481.09,632.0,0.0,-0.0,1
21,5,person,1607.67,562.04,0.0,0.0,1
1,6,person,1224.8,647.78,0.0,0.0,1
2,6,person,660.94,653.96,-0.0,0.0,1
3,6,person,343.07,666.88,-0.0,0.0,1
4,6,person,1678.68,618.45,-0.0,-0.0,1
6,6,person,928.68,572.88,0.0,-0.0,1
7,6,person,1562.71,592.73,0.0,-0.0,1
8,6,person,1345.64,593.06,-0.0,0.0,1
9,6,person,1879.88,514.87,0.0,-0.0,1
10,6,person,525.9,649.7,-0.0,-0.0,1
11,6,person,265.84,558.4,-0.0,0.0,1
13,6,person,784.9,635.81,-0.0,0.0,1
14,6,person,1803.57,547.64,0.0,-0.0,1
16,6,person,312.16,679.27,0.0,-0.0,1
17,6,person,1344.29,587.72,-0.0,0.0,1
18,6,person,507.59,712.81,-0.0,0.0,1
19,6,person,1087.54,512.44,-0.0,-0.0,1
20,6,person,1480.39,630.35,0.0,-0.0,1
21,6,person,1606.75,561.32,-0.0,0.0,1
1,7,person,1251.36,632.78,0.0,-0.0,1
2,7,person,645.78,661.79,-0.0,0.0,1
3,7,person,343.07,666.88,-0.0,0.0,1
4,7,person,1677.65,620.73,-0.0,0.0,1
6,7,person,926.51,570.61,0.0,-0.0,1
7,7,person,1565.31,582.02,0.0,-0.0,1
8,7,person,1344.02,597.41,-0.0,0.0,1
9,7,person,1881.99,515.46,0.0,-0.0,1
10,7,person,525.9,649.7,-0.0,-0.0,1
11,7,person,265.84,558.4,-0.0,0.0,1
13,7,person,777.12,650.8,-0.0,0.0,1
14,7,person,1803.23,552.16,0.0,0.0,1
16,7,person,326.24,672.27,0.0,-0.0,1
17,7,person,1391.03,586.51,0.0,0.0,1
