track_id,label,start_frame,end_frame,length_pts,path_length_px,avg_speed_px_per_frame
1,person,2,147,146,1545.09,10.656
2,person,2,110,109,1121.96,10.388
3,person,2,18,17,65.75,4.109
4,person,2,165,164,1541.48,9.457
6,person,2,19,18,64.39,3.788
7,person,2,161,160,2650.58,16.67
8,person,2,214,213,2448.03,11.547
9,person,2,214,213,3010.94,14.203
10,person,2,70,69,563.86,8.292
11,person,2,16,15,36.02,2.573
13,person,2,25,24,68.01,2.957
14,person,2,158,157,1882.95,12.07
16,person,3,97,95,640.05,6.809
17,person,3,73,71,748.04,10.686
18,person,4,51,48,471.95,10.041
19,person,5,91,87,590.69,6.868
20,person,5,119,115,2049.98,17.982
21,person,5,162,158,2051.71,13.068
22,person,10,67,58,391.97,6.877
23,person,10,135,126,1129.93,9.039
24,person,12,35,24,213.66,9.289
26,person,10,25,16,18.61,1.24
27,person,29,99,71,492.0,7.029
28,person,29,70,42,367.4,8.961
30,person,36,80,45,276.67,6.288
31,person,35,72,38,481.43,13.012
32,person,35,52,18,166.99,9.823
33,person,38,69,32,143.71,4.636
35,person,41,64,24,91.12,3.962
37,person,52,81,30,125.56,4.33
39,person,52,309,258,3275.81,12.746
40,person,55,192,138,2064.6,15.07
41,dog,54,66,13,0.0,0.0
44,person,59,88,30,126.92,4.377
46,person,73,85,13,0.0,0.0
50,person,80,158,79,718.97,9.218
51,person,82,293,212,2242.94,10.63
53,person,83,309,227,2684.33,11.878
54,person,82,120,39,416.27,10.954
55,person,87,142,56,539.01,9.8
58,person,92,94,3,1.62,0.81
59,person,98,100,3,1.39,0.693
61,person,104,106,3,2.11,1.053
62,person,109,126,18,79.4,4.67
63,person,110,119,10,12.35,1.372
64,person,115,127,13,0.0,0.0
65,person,118,208,91,1468.02,16.311
67,person,123,127,5,5.18,1.295
68,person,125,214,90,544.11,6.114
69,person,129,267,139,1758.26,12.741
70,person,131,133,3,1.57,0.786
71,person,137,309,173,2191.18,12.739
72,person,137,149,13,17.72,1.476
73,person,143,212,70,416.11,6.031
74,person,148,216,69,807.59,11.876
75,person,154,166,13,0.0,0.0
76,person,150,262,113,719.62,6.425
77,person,153,182,30,53.67,1.851
78,person,156,215,60,375.09,6.357
80,person,162,192,31,174.78,5.826
82,person,168,227,60,442.14,7.494
86,person,170,278,109,1043.45,9.662
87,person,171,206,36,66.7,1.906
88,person,170,309,140,2575.25,18.527
89,person,171,211,41,193.94,4.849
90,person,170,308,139,1268.06,9.189
91,car,170,215,46,53.09,1.18
93,person,179,209,31,437.78,14.593
94,person,182,308,127,858.56,6.814
96,person,186,212,27,129.8,4.992
97,person,196,216,21,32.71,1.636
104,person,211,245,35,65.74,1.934
106,person,215,264,50,257.92,5.264
107,person,230,232,3,1.58,0.791
108,person,235,285,51,339.49,6.79
109,person,235,242,8,8.22,1.174
110,person,236,278,43,206.53,4.917
111,person,236,248,13,0.0,0.0
112,person,239,249,11,5.03,0.503
113,person,243,308,66,436.91,6.722
114,person,247,308,62,312.64,5.125
115,person,249,254,6,5.87,1.174
116,person,258,272,15,21.06,1.504
117,person,258,308,51,752.47,15.049
120,person,258,279,22,14.65,0.698
121,person,270,293,24,75.49,3.282
122,person,273,285,13,0.0,0.0
123,person,276,278,3,1.45,0.724
124,person,282,288,7,6.25,1.041
125,person,292,308,17,28.54,1.784
126,person,296,308,13,136.66,11.389
127,person,296,308,13,55.86,4.655
128,person,302,308,7,70.76,11.794
129,person,301,308,8,71.8,10.257
130,person,301,308,8,76.0,10.857
131,person,304,308,5,0.0,0.0
132,person,305,307,3,0.78,0.392
133,person,307,308,2,2.04,2.044
134,person,308,308,1,0.0,0.0
