frame,track_id,label,cx,cy,vx,vy,confirmed
2,1,car,1392.78,797.80,0.000,0.000,1
2,2,car,1748.16,879.35,-0.000,0.000,1
2,3,car,1585.06,788.85,0.000,0.000,1
2,4,car,994.94,773.38,-0.000,0.000,1
2,5,car,397.89,785.47,-0.000,0.000,1
2,6,car,1163.14,779.13,-0.000,0.000,1
2,7,car,1040.61,774.12,-0.000,0.000,1
2,8,car,875.88,775.72,0.000,0.000,1
2,9,car,953.29,770.07,0.000,-0.000,1
2,10,car,571.93,765.97,-0.000,-0.000,1
2,12,car,1082.05,778.69,0.000,0.000,1
2,13,car,928.54,777.42,0.000,-0.000,1
2,15,truck,878.25,759.12,0.000,-0.000,1
2,16,person,519.66,767.40,-0.000,-0.000,1
3,1,car,1392.78,797.80,0.000,0.000,1
3,2,car,1748.25,880.03,-0.000,0.000,1
3,3,car,1680.90,806.78,0.000,0.000,1
3,4,car,1040.91,774.55,0.000,0.000,1
3,5,car,383.21,785.45,-0.000,0.000,1
3,6,car,1163.14,779.13,-0.000,0.000,1
3,7,car,1082.03,778.87,0.000,0.000,1
3,8,car,927.02,778.06,0.000,0.000,1
3,9,car,994.91,774.70,0.000,0.000,1
3,10,car,565.29,765.87,-0.000,-0.000,1
3,12,car,1163.05,779.14,0.000,0.000,1
3,13,car,952.07,770.78,0.000,-0.000,1
3,15,truck,877.93,765.16,0.000,0.000,1
3,16,person,519.66,767.40,-0.000,-0.000,1
4,1,car,1394.83,798.60,0.000,0.000,1
4,2,car,1748.25,880.03,-0.000,0.000,1
4,3,car,1680.90,806.78,0.000,0.000,1
4,4,car,1040.45,774.55,0.000,0.000,1
4,5,car,383.21,785.45,-0.000,0.000,1
4,6,car,1163.61,779.42,0.000,0.000,1
4,7,car,1082.45,778.99,0.000,0.000,1
4,8,car,927.01,777.62,0.000,0.000,1
4,9,car,994.84,775.78,0.000,0.000,1
4,10,car,555.13,767.97,-0.000,0.000,1
4,12,car,1163.05,779.14,0.000,0.000,1
4,13,car,953.02,771.36,0.000,-0.000,1
4,15,truck,878.57,759.24,0.000,-0.000,1
4,16,person,519.66,767.40,-0.000,-0.000,1
5,1,car,1395.46,798.70,0.000,0.000,1
5,2,car,1748.65,881.51,0.000,0.000,1
5,3,car,1680.41,809.10,0.000,0.000,1
5,4,car,1040.00,775.15,0.000,0.000,1
5,5,car,383.21,785.45,-0.000,0.000,1
5,6,car,1163.68,779.99,0.000,0.000,1
5,7,car,1082.19,779.40,0.000,0.000,1
5,8,car,927.91,777.64,0.000,0.000,1
5,9,car,995.56,776.86,0.000,0.000,1
5,10,car,547.55,768.45,-0.000,0.000,1
5,12,car,1163.05,779.14,0.000,0.000,1
5,13,car,952.56,772.11,0.000,-0.000,1
5,14,car,356.37,787.21,-0.000,0.000,1
5,15,truck,877.76,769.38,0.000,0.000,1
5,16,person,519.66,767.40,-0.000,-0.000,1
5,19,car,1590.03,791.55,0.000,-0.000,1
5,21,car,876.52,777.41,0.000,0.000,1
6,3,car,1682.58,809.12,0.000,0.000,1
6,4,car,1039.91,774.39,0.000,0.000,1
6,5,car,383.21,785.45,-0.000,0.000,1
6,7,car,1082.58,780.05,0.000,0.000,1
6,8,car,929.46,776.42,0.000,0.000,1
6,9,car,995.18,777.25,0.000,0.000,1
6,10,car,539.38,767.41,-0.000,0.000,1
6,12,car,1163.05,779.14,0.000,0.000,1
6,13,car,952.17,772.67,0.000,-0.000,1
6,14,car,338.70,787.13,-0.000,0.000,1
6,15,truck,878.68,760.10,0.000,-0.000,1
6,16,person,519.66,767.40,-0.000,-0.000,1
6,19,car,1592.69,792.26,0.000,0.000,1
6,21,car,876.36,778.05,0.000,0.000,1
6,23,truck,1749.27,881.84,0.000,0.000,1
6,24,truck,1592.49,792.33,0.000,0.000,1
7,3,car,1593.91,792.51,0.000,0.000,1
7,4,car,1040.64,775.68,0.000,0.000,1
7,5,car,383.21,785.45,-0.000,0.000,1
7,7,car,1083.30,779.35,0.000,0.000,1
7,8,car,926.96,778.46,0.000,0.000,1
7,9,car,995.02,777.78,0.000,0.000,1
7,10,car,530.80,767.86,-0.000,0.000,1
7,12,car,1164.60,780.33,0.000,0.000,1
7,13,car,952.76,772.75,0.000,-0.000,1
7,14,car,325.58,788.58,-0.000,0.000,1
7,15,truck,878.28,760.65,0.000,-0.000,1
7,16,person,519.66,767.40,-0.000,-0.000,1
7,19,car,1592.69,792.26,0.000,0.000,1
7,20,car,1748.40,883.87,0.000,0.000,1
7,21,car,876.48,778.84,0.000,0.000,1
7,23,truck,1749.34,882.79,0.000,0.000,1
7,24,truck,1593.63,792.66,0.000,0.000,1
8,3,car,1593.91,792.51,0.000,0.000,1
8,4,car,1040.66,776.24,0.000,0.000,1
8,5,car,383.21,785.45,-0.000,0.000,1
8,7,car,1082.70,780.04,0.000,0.000,1
