track_id,frame,label,cx,cy,vx,vy,confirmed
1,2,car,1392.78,797.8,0.0,0.0,1
2,2,car,1748.16,879.35,-0.0,0.0,1
3,2,car,1585.06,788.85,0.0,0.0,1
4,2,car,994.94,773.38,-0.0,0.0,1
5,2,car,397.89,785.47,-0.0,0.0,1
6,2,car,1163.14,779.13,-0.0,0.0,1
7,2,car,1040.61,774.12,-0.0,0.0,1
8,2,car,875.88,775.72,0.0,0.0,1
9,2,car,953.29,770.07,0.0,-0.0,1
10,2,car,571.93,765.97,-0.0,-0.0,1
12,2,car,1082.05,778.69,0.0,0.0,1
13,2,car,928.54,777.42,0.0,-0.0,1
15,2,truck,878.25,759.12,0.0,-0.0,1
16,2,person,519.66,767.4,-0.0,-0.0,1
1,3,car,1392.78,797.8,0.0,0.0,1
2,3,car,1748.25,880.03,-0.0,0.0,1
3,3,car,1680.9,806.78,0.0,0.0,1
4,3,car,1040.91,774.55,0.0,0.0,1
5,3,car,383.21,785.45,-0.0,0.0,1
6,3,car,1163.14,779.13,-0.0,0.0,1
7,3,car,1082.03,778.87,0.0,0.0,1
8,3,car,927.02,778.06,0.0,0.0,1
9,3,car,994.91,774.7,0.0,0.0,1
10,3,car,565.29,765.87,-0.0,-0.0,1
12,3,car,1163.05,779.14,0.0,0.0,1
13,3,car,952.07,770.78,0.0,-0.0,1
15,3,truck,877.93,765.16,0.0,0.0,1
16,3,person,519.66,767.4,-0.0,-0.0,1
1,4,car,1394.83,798.6,0.0,0.0,1
2,4,car,1748.25,880.03,-0.0,0.0,1
3,4,car,1680.9,806.78,0.0,0.0,1
4,4,car,1040.45,774.55,0.0,0.0,1
5,4,car,383.21,785.45,-0.0,0.0,1
6,4,car,1163.61,779.42,0.0,0.0,1
7,4,car,1082.45,778.99,0.0,0.0,1
8,4,car,927.01,777.62,0.0,0.0,1
9,4,car,994.84,775.78,0.0,0.0,1
10,4,car,555.13,767.97,-0.0,0.0,1
12,4,car,1163.05,779.14,0.0,0.0,1
13,4,car,953.02,771.36,0.0,-0.0,1
15,4,truck,878.57,759.24,0.0,-0.0,1
16,4,person,519.66,767.4,-0.0,-0.0,1
1,5,car,1395.46,798.7,0.0,0.0,1
2,5,car,1748.65,881.51,0.0,0.0,1
3,5,car,1680.41,809.1,0.0,0.0,1
4,5,car,1040.0,775.15,0.0,0.0,1
5,5,car,383.21,785.45,-0.0,0.0,1
