track_id,label,start_frame,end_frame,length_pts,path_length_px,avg_speed_px_per_frame
1,car,2,5,4,2.84,0.946
2,car,2,5,4,2.22,0.74
3,car,2,152,151,1607.02,10.713
4,car,2,53,52,366.56,7.187
5,car,2,35,34,184.68,5.596
6,car,2,5,4,1.13,0.376
7,car,2,157,156,1142.16,7.369
8,car,2,41,40,344.01,8.821
9,car,2,51,50,327.7,6.688
10,car,2,34,33,280.73,8.773
12,car,2,53,52,469.46,9.205
13,car,2,90,89,652.12,7.41
14,car,5,36,32,272.52,8.791
15,truck,2,17,16,38.26,2.551
16,person,2,14,13,0.0,0.0
19,car,5,225,221,1899.47,8.634
20,car,7,31,25,32.97,1.374
21,car,5,7,3,1.46,0.729
23,truck,6,8,3,1.52,0.758
24,truck,6,43,38,202.21,5.465
26,car,10,119,110,955.01,8.762
28,car,13,15,3,2.59,1.294
29,car,13,42,30,153.6,5.297
30,truck,14,86,73,965.88,13.415
33,car,18,40,23,46.41,2.11
35,truck,21,23,3,0.63,0.317
37,car,25,121,97,1000.8,10.425
38,car,27,39,13,0.0,0.0
40,car,25,152,128,803.01,6.323
41,truck,25,54,30,25.13,0.866
43,truck,31,33,3,1.34,0.669
45,car,34,63,30,45.15,1.557
47,car,33,91,59,389.89,6.722
50,car,35,38,4,2.67,0.892
52,truck,45,75,31,42.22,1.407
53,car,42,72,31,70.48,2.349
54,car,43,92,50,273.35,5.579
55,car,48,52,5,3.33,0.834
56,truck,50,93,44,363.64,8.457
57,car,54,135,82,573.29,7.078
59,car,57,59,3,1.2,0.598
60,truck,58,88,31,174.65,5.822
61,car,57,59,3,1.52,0.759
62,car,57,59,3,2.19,1.097
65,car,61,94,34,185.69,5.627
68,car,63,118,56,489.34,8.897
69,car,63,140,78,466.2,6.055
70,car,63,154,92,568.57,6.248
72,car,64,187,124,608.37,4.946
73,car,67,134,68,476.6,7.113
74,car,67,69,3,1.48,0.738
75,car,67,140,74,1340.89,18.368
77,truck,70,146,77,246.72,3.246
79,car,73,75,3,1.0,0.5
82,car,79,147,69,283.53,4.17
83,car,78,94,17,0.53,0.033
84,car,80,136,57,206.71,3.691
87,car,79,134,56,238.2,4.331
90,car,82,182,101,515.08,5.151
93,car,86,98,13,0.0,0.0
94,truck,86,99,14,12.62,0.971
95,car,90,154,65,935.09,14.611
97,person,90,113,24,13.73,0.597
101,car,93,139,47,501.25,10.897
102,car,93,225,133,2276.88,17.249
107,truck,98,104,7,7.71,1.284
108,car,99,225,127,387.32,3.074
109,truck,99,124,26,127.71,5.108
110,car,100,149,50,137.62,2.809
111,car,100,155,56,225.0,4.091
112,bus,100,159,60,178.19,3.02
114,car,103,105,3,1.93,0.963
115,car,103,151,49,194.19,4.046
116,truck,106,225,120,951.16,7.993
117,truck,106,120,15,20.22,1.444
119,truck,108,112,5,5.41,1.353
120,truck,109,184,76,382.45,5.099
121,car,110,198,89,432.28,4.912
122,car,108,142,35,192.3,5.656
124,car,118,140,23,22.55,1.025
126,car,123,141,19,12.32,0.685
127,person,121,135,15,3.12,0.223
128,car,123,125,3,2.35,1.177
129,car,123,219,97,838.4,8.733
130,car,124,198,75,59.47,0.804
134,car,127,139,13,0.0,0.0
136,truck,131,177,47,662.85,14.41
137,person,130,175,46,52.6,1.169
138,truck,130,198,69,379.79,5.585
142,truck,142,174,33,48.84,1.526
143,truck,142,168,27,24.53,0.943
150,car,152,181,30,91.24,3.146
151,car,155,225,71,484.48,6.921
152,car,156,207,52,160.37,3.144
153,car,156,168,13,0.0,0.0
154,car,157,212,56,270.7,4.922
155,car,158,196,39,118.5,3.118
156,car,159,225,67,346.17,5.245
157,car,159,174,16,22.86,1.524
158,truck,159,171,13,0.0,0.0
159,truck,159,203,45,583.14,13.253
160,car,160,225,66,503.9,7.752
161,car,159,225,67,950.29,14.398
162,car,159,188,30,72.52,2.501
163,car,162,222,61,367.23,6.12
164,truck,160,175,16,35.45,2.363
165,car,161,163,3,0.57,0.284
166,car,170,197,28,57.79,2.14
167,car,172,225,54,586.24,11.061
171,car,175,201,27,107.56,4.137
173,car,174,200,27,25.2,0.969
176,car,182,225,44,828.99,19.279
177,car,178,180,3,0.64,0.319
178,truck,178,180,3,0.58,0.291
183,truck,184,189,6,1.63,0.327
184,car,184,186,3,1.03,0.514
186,car,186,188,3,1.51,0.754
188,car,189,206,18,15.58,0.916
191,car,190,225,36,410.51,11.729
192,car,190,225,36,248.32,7.095
194,car,192,211,20,29.39,1.547
195,person,194,225,32,76.55,2.469
197,bus,200,225,26,61.57,2.463
200,car,213,225,13,19.5,1.625
203,car,215,217,3,2.11,1.054
207,car,218,225,8,0.0,0.0
212,car,219,225,7,7.82,1.303
217,car,223,225,3,3.56,1.779
218,car,223,225,3,4.24,2.121
223,person,225,225,1,0.0,0.0
