track_id,frame,label,cx,cy,vx,vy,confirmed
1,2,bus,1252.96,560.61,-0.0,-0.0,1
2,2,person,442.25,679.64,-0.0,-0.0,1
3,2,person,380.55,674.25,0.0,0.0,1
4,2,person,394.09,703.36,-0.0,0.0,1
5,2,person,224.32,646.72,-0.0,0.0,1
6,2,person,299.59,654.17,0.0,0.0,1
7,2,person,498.1,635.91,-0.0,0.0,1
8,2,person,593.05,628.01,-0.0,0.0,1
9,2,person,581.83,626.71,-0.0,0.0,1
10,2,person,570.16,627.24,-0.0,0.0,1
11,2,person,346.29,673.19,0.0,0.0,1
12,2,person,286.22,656.53,0.0,0.0,1
13,2,person,254.41,653.9,-0.0,0.0,1
14,2,person,1219.8,504.95,0.0,0.0,1
15,2,person,221.23,614.87,-0.0,-0.0,1
18,2,person,397.45,617.12,-0.0,-0.0,1
19,2,person,556.95,623.21,-0.0,-0.0,1
1,3,bus,1252.89,560.23,-0.0,-0.0,1
2,3,person,441.73,680.52,-0.0,-0.0,1
3,3,person,392.46,679.78,0.0,0.0,1
4,3,person,394.09,703.36,-0.0,0.0,1
5,3,person,224.95,649.32,-0.0,0.0,1
6,3,person,294.37,656.64,-0.0,0.0,1
7,3,person,495.58,634.99,-0.0,0.0,1
8,3,person,594.86,626.92,-0.0,0.0,1
9,3,person,582.73,626.67,-0.0,0.0,1
10,3,person,569.37,625.91,-0.0,0.0,1
11,3,person,344.04,673.45,0.0,0.0,1
12,3,person,286.22,656.53,0.0,0.0,1
13,3,person,252.94,654.65,-0.0,0.0,1
14,3,person,1219.8,504.95,0.0,0.0,1
15,3,person,221.23,614.87,-0.0,-0.0,1
18,3,person,398.25,616.8,-0.0,-0.0,1
19,3,person,557.88,622.33,-0.0,-0.0,1
20,3,person,273.11,657.78,0.0,0.0,1
1,4,bus,1261.31,558.63,0.0,-0.0,1
2,4,person,441.73,680.52,-0.0,-0.0,1
3,4,person,391.88,677.02,0.0,0.0,1
4,4,person,438.46,684.68,0.0,-0.0,1
5,4,person,225.12,651.44,-0.0,0.0,1
6,4,person,292.67,657.18,-0.0,0.0,1
7,4,person,532.39,614.59,0.0,-0.0,1
8,4,person,603.49,627.54,-0.0,0.0,1
9,4,person,592.96,628.22,0.0,0.0,1
10,4,person,568.83,626.02,-0.0,0.0,1
11,4,person,341.4,674.94,0.0,0.0,1
12,4,person,286.22,656.53,0.0,0.0,1
13,4,person,252.73,655.94,-0.0,0.0,1
14,4,person,1219.8,504.95,0.0,0.0,1
