track_id,label,start_frame,end_frame,length_pts,path_length_px,avg_speed_px_per_frame
1,bus,2,37,36,96.13,2.747
2,person,2,42,41,202.92,5.073
3,person,2,53,52,179.82,3.526
4,person,2,36,35,65.19,1.917
5,person,2,49,48,131.08,2.789
6,person,2,16,15,17.04,1.217
7,person,2,98,97,438.3,4.566
8,person,2,99,98,320.3,3.302
9,person,2,94,93,397.9,4.325
10,person,2,278,277,1220.14,4.421
11,person,2,278,277,1365.16,4.946
12,person,2,79,78,148.56,1.929
13,person,2,35,34,42.67,1.293
14,person,2,66,65,923.95,14.437
15,person,2,76,75,179.09,2.42
16,person,5,278,274,1479.6,5.42
17,person,4,44,41,576.99,14.425
18,person,2,151,150,615.16,4.129
19,person,2,278,277,1328.18,4.812
20,person,3,54,52,111.82,2.193
21,person,5,58,54,208.67,3.937
22,person,4,11,8,8.27,1.181
23,person,5,37,33,130.18,4.068
24,person,6,15,10,11.96,1.329
26,person,27,39,13,13.96,1.163
27,person,27,30,4,3.44,1.147
28,person,27,29,3,0.83,0.415
29,person,34,102,69,245.45,3.61
30,person,38,63,26,327.05,13.082
31,bus,41,66,26,13.78,0.551
32,person,42,44,3,1.77,0.885
33,person,43,45,3,2.08,1.04
34,person,43,48,6,7.3,1.461
36,person,46,48,3,0.51,0.253
37,person,50,52,3,1.08,0.538
38,person,52,203,152,915.04,6.06
39,person,52,54,3,1.08,0.539
40,person,53,64,12,14.22,1.292
41,person,52,54,3,0.31,0.155
42,person,55,67,13,0.0,0.0
43,person,52,54,3,0.67,0.333
44,person,57,139,83,299.54,3.653
45,person,58,60,3,1.12,0.56
46,person,58,60,3,1.34,0.672
47,person,58,60,3,0.36,0.18
48,person,63,123,61,1092.22,18.204
51,person,64,66,3,0.7,0.348
52,person,64,66,3,0.5,0.251
53,person,65,109,45,116.91,2.657
54,person,65,67,3,1.3,0.648
55,person,65,67,3,1.46,0.729
56,person,68,70,3,3.32,1.659
57,person,68,70,3,1.32,0.662
58,person,70,107,38,92.39,2.497
60,person,71,137,67,336.18,5.094
61,person,70,72,3,0.89,0.443
62,person,73,101,29,83.48,2.981
63,person,72,200,129,2109.69,16.482
64,person,74,82,9,9.91,1.239
67,person,79,103,25,26.35,1.098
68,person,80,82,3,2.13,1.064
69,person,83,85,3,1.7,0.852
70,person,83,85,3,1.39,0.693
71,person,88,278,191,586.74,3.088
73,person,89,91,3,1.41,0.704
74,person,87,113,27,58.9,2.265
75,person,89,91,3,2.33,1.165
77,person,88,221,134,481.82,3.623
79,person,90,104,15,1.72,0.123
81,person,88,119,32,116.67,3.764
82,person,90,150,61,191.36,3.189
84,bus,91,151,61,215.6,3.593
86,person,88,144,57,198.54,3.545
92,person,102,104,3,1.41,0.704
94,person,105,185,81,287.9,3.599
95,person,105,136,32,113.31,3.655
96,person,106,108,3,1.02,0.511
97,person,108,278,171,532.56,3.133
98,person,108,132,25,103.72,4.322
100,person,110,132,23,69.58,3.163
101,person,113,115,3,1.24,0.62
102,person,113,115,3,2.19,1.097
103,person,113,115,3,1.06,0.531
104,person,113,150,38,408.24,11.033
105,person,115,152,38,79.45,2.147
107,person,121,179,59,170.98,2.948
108,person,119,121,3,2.64,1.321
109,person,119,197,79,1231.12,15.784
111,person,120,123,4,3.79,1.264
113,person,122,145,24,7.33,0.319
114,person,123,125,3,0.81,0.403
115,person,126,146,21,4.37,0.218
116,person,132,134,3,2.1,1.051
