seed,platforms,tasks,greedy_median_ms,greedy_all_ms,hungarian_median_ms,hungarian_all_ms,auction_median_ms,auction_all_ms
2026,3UAV+2UGV,10,0.1648,0.801;0.165;0.215;0.131;0.124,0.0434,0.073;0.044;0.043;0.035;0.034,1.2588,1.938;1.315;1.167;1.165;1.259
2027,3UAV+2UGV,10,0.1306,0.190;0.131;0.122;0.119;0.230,0.0393,0.208;0.052;0.039;0.035;0.035,1.2379,1.441;1.238;1.790;1.217;1.087
2028,3UAV+2UGV,10,0.1268,0.183;0.134;0.125;0.119;0.127,0.0354,0.052;0.041;0.035;0.034;0.034,1.1266,1.219;1.155;1.127;1.111;1.100
2029,3UAV+2UGV,10,0.1229,0.171;0.133;0.123;0.119;0.120,0.0347,0.058;0.038;0.035;0.033;0.033,1.0739,1.146;1.144;1.074;1.033;1.026
2030,3UAV+2UGV,10,0.1192,0.168;0.126;0.119;0.116;0.115,0.035,0.048;0.036;0.033;0.035;0.033,1.0901,1.227;1.090;1.041;1.046;1.560
2031,3UAV+2UGV,10,0.1348,0.327;0.310;0.135;0.123;0.118,0.0374,0.058;0.041;0.037;0.034;0.034,1.2306,1.392;1.516;1.231;1.153;1.122
2032,3UAV+2UGV,10,0.1199,0.185;0.128;0.120;0.120;0.117,0.0337,0.052;0.037;0.034;0.033;0.033,1.3436,1.153;1.113;1.648;1.344;1.464
2033,3UAV+2UGV,10,0.121,0.188;0.131;0.121;0.118;0.118,0.0339,0.057;0.038;0.034;0.033;0.032,1.4404,1.193;1.767;1.492;1.440;1.244
2034,3UAV+2UGV,10,0.1251,0.180;0.128;0.125;0.117;0.117,0.0379,0.053;0.038;0.046;0.035;0.037,1.1797,1.699;1.180;1.094;1.056;1.434
2035,3UAV+2UGV,10,0.1261,0.232;0.132;0.121;0.119;0.126,0.0348,0.056;0.038;0.035;0.034;0.034,1.2047,1.205;1.081;1.045;1.509;1.402
