frame,track_id,label,cx,cy,vx,vy,confirmed
2,1,car,217.15,229.58,-0.000,-0.000,1
2,2,car,426.24,218.53,-0.000,0.000,1
2,3,person,609.21,225.87,-0.000,-0.000,1
2,4,person,543.12,214.25,0.000,0.000,1
2,5,car,498.08,205.61,0.000,0.000,1
2,6,person,580.66,212.14,-0.000,-0.000,1
2,7,car,91.00,282.09,-0.000,0.000,1
2,8,car,363.52,205.91,-0.000,0.000,1
2,10,car,284.23,195.52,0.000,0.000,1
2,11,person,13.89,189.03,-0.000,-0.000,1
2,13,car,510.69,185.63,-0.000,-0.000,1
2,14,person,34.92,190.29,-0.000,0.000,1
2,16,person,325.67,193.97,0.000,0.000,1
2,17,truck,360.12,166.61,0.000,-0.000,1
2,18,person,267.80,186.96,-0.000,-0.000,1
2,19,person,55.73,181.77,-0.000,-0.000,1
2,20,car,440.87,167.53,0.000,-0.000,1
3,1,car,212.25,228.78,-0.000,-0.000,1
3,2,car,426.05,217.27,-0.000,-0.000,1
3,3,person,609.17,224.67,-0.000,-0.000,1
3,4,person,544.71,212.99,0.000,-0.000,1
3,5,car,497.64,204.22,-0.000,-0.000,1
3,6,person,580.72,211.13,0.000,-0.000,1
3,7,car,87.59,281.61,-0.000,0.000,1
3,8,car,364.82,204.54,0.000,-0.000,1
3,10,car,286.73,194.29,0.000,-0.000,1
3,11,person,14.03,189.15,0.000,-0.000,1
3,13,car,511.52,183.73,0.000,-0.000,1
3,14,person,35.23,190.90,-0.000,0.000,1
3,16,person,326.02,192.21,0.000,-0.000,1
3,17,truck,359.91,165.36,-0.000,-0.000,1
3,18,person,271.67,194.59,0.000,0.000,1
3,19,person,56.22,186.81,0.000,0.000,1
3,20,car,440.87,167.53,0.000,-0.000,1
3,23,bus,354.76,166.07,-0.000,-0.000,1
3,24,truck,285.21,194.51,0.000,-0.000,1
4,1,car,209.39,228.24,-0.000,-0.000,1
4,2,car,426.05,217.27,-0.000,-0.000,1
4,3,person,609.38,224.02,-0.000,-0.000,1
4,4,person,543.74,212.52,0.000,-0.000,1
4,5,car,511.61,183.36,0.000,-0.000,1
4,6,person,580.48,210.41,-0.000,-0.000,1
4,7,car,83.83,281.05,-0.000,0.000,1
4,8,car,364.82,204.54,0.000,-0.000,1
4,10,car,287.94,194.04,0.000,-0.000,1
4,11,person,13.52,188.94,-0.000,-0.000,1
4,12,bus,147.68,145.05,0.000,0.000,1
4,13,car,511.42,175.81,0.000,-0.000,1
4,14,person,35.08,188.21,-0.000,-0.000,1
4,16,person,325.81,192.25,0.000,-0.000,1
4,17,truck,360.20,165.24,0.000,-0.000,1
4,18,person,271.67,194.59,0.000,0.000,1
4,19,person,56.22,186.81,0.000,0.000,1
4,20,car,441.35,165.49,0.000,-0.000,1
4,22,car,364.36,204.22,0.000,0.000,1
4,23,bus,359.79,164.92,-0.000,-0.000,1
4,24,truck,284.78,193.99,0.000,-0.000,1
4,25,person,114.58,200.80,-0.000,0.000,1
4,27,person,268.06,185.24,0.000,0.000,1
5,1,car,206.65,228.43,-0.000,-0.000,1
5,2,car,426.05,217.27,-0.000,-0.000,1
5,3,person,604.58,223.22,-0.000,-0.000,1
5,5,car,512.43,182.81,0.000,-0.000,1
5,7,car,80.09,280.92,-0.000,0.000,1
5,8,car,364.82,204.54,0.000,-0.000,1
5,10,car,288.87,193.60,0.000,-0.000,1
5,12,bus,148.13,145.83,0.000,0.000,1
5,13,car,511.42,175.81,0.000,-0.000,1
5,14,person,35.08,188.21,-0.000,-0.000,1
5,18,person,271.67,194.59,0.000,0.000,1
5,19,person,56.55,186.19,0.000,0.000,1
5,20,car,441.77,165.55,0.000,-0.000,1
5,22,car,364.37,204.07,0.000,0.000,1
5,23,bus,355.05,164.71,-0.000,-0.000,1
5,24,truck,285.72,193.54,0.000,-0.000,1
5,25,person,114.32,206.50,-0.000,0.000,1
5,27,person,268.42,185.33,0.000,0.000,1
6,1,car,204.63,228.35,-0.000,-0.000,1
6,2,car,497.37,204.13,0.000,-0.000,1
6,3,person,604.53,222.64,-0.000,-0.000,1
6,5,car,512.03,183.42,0.000,-0.000,1
6,7,car,75.93,282.93,-0.000,0.000,1
6,8,car,364.82,204.54,0.000,-0.000,1
6,10,car,289.58,194.00,0.000,-0.000,1
6,12,bus,148.04,147.70,0.000,0.000,1
6,13,car,511.42,175.81,0.000,-0.000,1
6,14,person,36.84,195.70,-0.000,0.000,1
6,18,person,325.48,191.49,0.000,0.000,1
6,19,person,57.01,187.43,0.000,0.000,1
6,20,car,441.77,165.55,0.000,-0.000,1
6,22,car,363.77,203.92,0.000,0.000,1
6,23,bus,355.05,164.71,-0.000,-0.000,1
6,25,person,113.35,213.12,-0.000,0.000,1
6,27,person,268.01,185.59,0.000,0.000,1
6,28,car,424.85,216.83,-0.000,-0.000,1
7,1,car,204.76,228.79,-0.000,-0.000,1
7,2,car,497.37,204.13,0.000,-0.000,1
7,3,person,606.03,222.77,-0.000,-0.000,1
7,5,car,512.43,182.96,0.000,-0.000,1
7,7,car,72.13,284.70,-0.000,0.000,1
7,8,car,364.82,204.54,0.000,-0.000,1
7,10,car,287.10,193.88,0.000,-0.000,1
7,12,bus,148.27,148.03,0.000,0.000,1
7,13,car,511.42,175.81,0.000,-0.000,1
7,14,person,36.42,194.42,-0.000,0.000,1
7,18,person,325.76,191.45,0.000,0.000,1
7,19,person,57.42,187.87,0.000,0.000,1
7,22,car,364.05,204.04,0.000,0.000,1
7,23,bus,355.05,164.71,-0.000,-0.000,1
7,25,person,114.02,216.61,-0.000,0.000,1
7,27,person,268.47,185.67,0.000,0.000,1
7,28,car,424.71,217.23,-0.000,0.000,1
7,29,car,497.52,203.97,-0.000,-0.000,1
8,1,car,202.58,227.88,-0.000,-0.000,1
8,2,car,495.66,204.02,0.000,-0.000,1
8,3,person,602.07,221.35,-0.000,-0.000,1
8,5,car,511.54,183.55,0.000,-0.000,1
8,7,car,68.27,285.10,-0.000,0.000,1
8,8,car,288.93,193.46,-0.000,-0.000,1
8,10,car,287.10,193.88,0.000,-0.000,1
8,12,bus,147.91,149.07,0.000,0.000,1
8,13,car,511.42,175.81,0.000,-0.000,1
8,14,person,33.30,194.76,-0.000,0.000,1
8,18,person,325.25,191.96,0.000,0.000,1
8,19,person,56.22,189.16,0.000,0.000,1
8,22,car,363.69,203.77,0.000,0.000,1
8,23,bus,355.05,164.71,-0.000,-0.000,1
8,25,person,113.31,217.38,-0.000,0.000,1
8,27,person,268.05,185.82,0.000,0.000,1
8,28,car,423.06,217.56,-0.000,0.000,1
8,29,car,497.52,203.97,-0.000,-0.000,1
8,33,person,542.07,212.73,-0.000,0.000,1
8,34,person,579.28,212.47,-0.000,0.000,1
8,36,truck,360.15,164.07,-0.000,-0.000,1
9,1,car,202.31,228.29,-0.000,-0.000,1
9,2,car,495.66,204.02,0.000,-0.000,1
9,3,person,602.41,221.71,-0.000,-0.000,1
9,5,car,512.51,183.67,0.000,-0.000,1
9,7,car,64.97,286.32,-0.000,0.000,1
9,8,car,290.34,193.44,-0.000,-0.000,1
9,10,car,287.10,193.88,0.000,-0.000,1
9,12,bus,144.05,157.21,0.000,0.000,1
9,13,car,511.42,175.81,0.000,-0.000,1
9,14,person,33.30,194.76,-0.000,0.000,1
9,18,person,326.11,191.89,0.000,0.000,1
9,19,person,57.60,190.63,0.000,0.000,1
9,22,car,363.84,203.99,0.000,0.000,1
9,23,bus,355.05,164.71,-0.000,-0.000,1
9,25,person,114.48,217.14,-0.000,0.000,1
9,27,person,268.64,185.91,0.000,0.000,1
9,29,car,497.16,203.94,-0.000,-0.000,1
9,32,person,36.48,195.31,-0.000,0.000,1
9,33,person,544.96,212.59,0.000,0.000,1
9,34,person,580.16,214.75,-0.000,0.000,1
9,35,person,14.18,193.45,-0.000,0.000,1
9,36,truck,360.54,164.47,0.000,0.000,1
10,1,car,199.82,228.33,-0.000,-0.000,1
10,2,car,422.32,217.94,0.000,0.000,1
10,3,person,600.22,221.86,-0.000,-0.000,1
10,5,car,511.60,184.45,0.000,-0.000,1
10,7,car,59.50,287.53,-0.000,0.000,1
10,8,car,288.42,193.45,-0.000,-0.000,1
10,10,car,287.10,193.88,0.000,-0.000,1
10,12,bus,144.61,161.64,0.000,0.000,1
10,13,car,511.42,175.81,0.000,-0.000,1
10,14,person,34.25,193.95,-0.000,0.000,1
10,18,person,325.38,191.76,0.000,0.000,1
10,19,person,56.78,192.11,0.000,0.000,1
10,22,car,363.35,204.09,0.000,0.000,1
10,23,bus,355.05,164.71,-0.000,-0.000,1
10,25,person,114.32,217.47,-0.000,0.000,1
10,27,person,268.07,185.85,0.000,0.000,1
10,29,car,496.30,204.41,-0.000,0.000,1
10,32,person,36.48,195.31,-0.000,0.000,1
10,33,person,544.36,212.29,-0.000,-0.000,1
10,34,person,580.97,222.78,0.000,0.000,1
10,35,person,14.18,193.45,-0.000,0.000,1
10,36,truck,360.39,164.26,-0.000,-0.000,1
10,40,truck,284.42,193.40,-0.000,-0.000,1
11,1,car,198.18,228.54,-0.000,-0.000,1
11,2,car,422.17,217.80,0.000,0.000,1
11,3,person,600.44,222.06,-0.000,-0.000,1
11,5,car,511.82,183.98,0.000,-0.000,1
11,7,car,54.78,289.70,-0.000,0.000,1
11,8,car,288.42,193.45,-0.000,-0.000,1
11,10,car,289.85,193.50,0.000,-0.000,1
11,12,bus,145.01,159.14,0.000,0.000,1
11,14,person,34.52,194.41,-0.000,0.000,1
11,18,person,325.23,191.58,0.000,0.000,1
11,19,person,57.00,193.53,0.000,0.000,1
11,22,car,363.44,203.57,0.000,0.000,1
11,23,bus,355.05,164.71,-0.000,-0.000,1
11,25,person,114.38,217.11,-0.000,0.000,1
11,27,person,268.03,186.83,0.000,0.000,1
11,32,person,36.48,195.31,-0.000,0.000,1
11,33,person,545.13,212.19,0.000,-0.000,1
11,34,person,582.48,223.50,0.000,0.000,1
11,35,person,14.18,193.45,-0.000,0.000,1
11,38,car,441.42,165.43,-0.000,-0.000,1
11,39,person,12.42,194.83,0.000,0.000,1
11,40,truck,284.90,193.27,0.000,-0.000,1
12,1,car,195.21,228.92,-0.000,-0.000,1
