track_id,label,start_frame,end_frame,length_pts,path_length_px,avg_speed_px_per_frame
1,car,2,37,36,49.23,1.406
2,car,2,41,40,242.75,6.224
3,person,2,14,13,18.46,1.539
4,person,2,4,3,3.11,1.553
5,car,2,31,30,65.14,2.246
6,person,2,4,3,1.77,0.885
7,car,2,24,23,43.98,1.999
8,car,2,24,23,86.88,3.949
10,car,2,15,14,13.73,1.056
11,person,2,4,3,0.74,0.368
12,bus,4,46,43,72.37,1.723
13,car,2,10,9,9.99,1.249
14,person,2,17,16,24.28,1.619
16,person,2,4,3,2.01,1.004
17,truck,2,4,3,1.58,0.791
18,person,2,20,19,66.87,3.715
19,person,2,13,12,15.76,1.433
20,car,2,6,5,2.52,0.63
22,car,4,38,35,79.83,2.348
23,bus,3,25,23,30.6,1.391
24,truck,3,5,3,1.72,0.858
25,person,4,42,39,83.93,2.209
27,person,4,51,48,125.34,2.667
28,car,6,8,3,2.11,1.053
29,car,7,10,4,1.34,0.447
32,person,9,57,49,59.99,1.25
33,person,8,17,10,12.38,1.375
34,person,8,29,22,54.99,2.619
35,person,9,39,31,45.28,1.509
36,truck,8,10,3,0.82,0.408
38,car,11,80,70,366.86,5.317
39,person,11,18,8,8.65,1.235
40,truck,10,18,9,0.56,0.069
42,person,13,27,15,5.68,0.406
43,person,13,25,13,0.0,0.0
44,car,14,16,3,1.21,0.605
45,car,14,16,3,1.5,0.749
46,car,16,18,3,1.51,0.756
47,truck,14,16,3,1.39,0.696
48,truck,15,17,3,0.51,0.257
51,person,15,60,46,107.81,2.396
52,person,15,41,27,58.5,2.25
53,person,17,28,12,8.47,0.77
55,person,17,19,3,0.92,0.462
57,person,19,21,3,1.08,0.541
58,truck,20,22,3,2.14,1.069
60,person,21,23,3,0.78,0.389
61,car,22,24,3,3.15,1.575
62,person,22,25,4,0.57,0.19
63,person,23,27,5,1.05,0.263
64,truck,24,63,40,153.71,3.941
66,car,26,28,3,0.97,0.486
67,car,27,106,80,355.89,4.505
68,truck,26,29,4,3.3,1.099
69,person,27,29,3,1.47,0.733
70,car,28,42,15,4.21,0.3
71,person,29,42,14,1.51,0.116
72,person,29,55,27,10.18,0.391
75,truck,29,45,17,35.3,2.206
76,bus,30,38,9,11.57,1.447
77,person,31,39,9,10.15,1.269
78,car,34,37,4,0.35,0.116
79,person,33,35,3,0.35,0.177
80,car,33,62,30,41.88,1.444
81,person,33,35,3,0.23,0.116
82,car,35,40,6,0.63,0.127
83,bus,36,63,28,38.27,1.417
84,truck,33,35,3,3.06,1.53
86,person,33,36,4,0.3,0.1
87,person,33,35,3,0.81,0.406
88,person,34,46,13,0.0,0.0
89,person,37,76,40,126.56,3.245
90,car,34,71,38,145.34,3.928
91,person,35,37,3,0.9,0.451
92,car,37,55,19,5.04,0.28
94,person,38,40,3,0.31,0.155
