track_id,frame,label,cx,cy,vx,vy,confirmed
1,59,truck,468.8,247.51,0.0,-0.0,1
1,60,truck,469.6,247.7,0.0,-0.0,1
1,61,truck,470.08,247.78,0.0,-0.0,1
1,62,truck,470.34,247.85,0.0,0.0,1
1,63,truck,470.34,247.85,0.0,0.0,1
2,68,truck,471.02,247.35,-0.0,0.0,1
2,69,truck,469.04,247.39,-0.0,0.0,1
2,70,truck,469.04,247.39,-0.0,0.0,1
2,71,truck,469.04,247.39,-0.0,0.0,1
2,72,truck,474.06,247.6,0.0,0.0,1
2,73,truck,475.09,247.51,0.0,0.0,1
2,74,truck,475.09,247.51,0.0,0.0,1
2,75,truck,475.11,247.59,0.0,0.0,1
2,76,truck,473.76,247.65,0.0,0.0,1
2,77,truck,472.1,247.93,0.0,0.0,1
2,78,truck,472.9,248.06,0.0,0.0,1
2,79,truck,477.2,248.25,0.0,0.0,1
2,80,truck,478.47,248.06,0.0,0.0,1
2,81,truck,478.69,248.01,0.0,0.0,1
2,82,truck,478.71,247.78,0.0,0.0,1
2,83,truck,479.86,247.99,0.0,0.0,1
2,84,truck,478.49,248.21,0.0,0.0,1
3,88,truck,480.92,248.05,0.0,-0.0,1
3,89,truck,481.26,248.12,0.0,0.0,1
3,90,truck,481.76,248.09,0.0,-0.0,1
4,90,truck,627.62,229.06,0.0,0.0,1
4,91,truck,627.24,228.97,0.0,0.0,1
4,92,truck,627.24,228.97,0.0,0.0,1
4,93,truck,627.14,229.29,-0.0,0.0,1
4,94,truck,627.14,229.29,-0.0,0.0,1
5,94,truck,485.49,248.3,0.0,-0.0,1
4,95,truck,627.14,229.29,-0.0,0.0,1
5,95,truck,485.57,248.11,0.0,-0.0,1
4,96,truck,627.14,229.29,-0.0,0.0,1
5,96,truck,485.29,248.36,0.0,0.0,1
4,97,truck,627.14,229.29,-0.0,0.0,1
4,98,truck,486.6,248.46,-0.0,0.0,1
4,99,truck,486.61,248.32,-0.0,0.0,1
4,100,truck,486.55,248.31,-0.0,0.0,1
4,101,truck,486.94,248.61,-0.0,0.0,1
4,102,truck,488.18,248.75,-0.0,0.0,1
4,103,truck,488.18,248.75,-0.0,0.0,1
4,104,truck,488.18,248.75,-0.0,0.0,1
4,105,truck,488.18,248.75,-0.0,0.0,1
4,106,truck,488.18,248.75,-0.0,0.0,1
4,107,truck,492.84,248.89,-0.0,0.0,1
4,108,truck,493.15,248.87,-0.0,0.0,1
4,109,truck,493.15,248.87,-0.0,0.0,1
4,110,truck,493.15,248.87,-0.0,0.0,1
4,111,truck,493.15,248.87,-0.0,0.0,1
4,112,truck,493.15,248.87,-0.0,0.0,1
4,113,truck,493.15,248.87,-0.0,0.0,1
4,114,truck,493.15,248.87,-0.0,0.0,1
4,115,truck,493.15,248.87,-0.0,0.0,1
4,116,truck,493.15,248.87,-0.0,0.0,1
4,117,truck,493.15,248.87,-0.0,0.0,1
