frame,track_id,label,cx,cy,vx,vy,confirmed
2,2,person,584.86,270.62,0.000,-0.000,1
2,3,person,54.07,259.49,0.000,-0.000,1
3,1,person,53.60,280.59,-0.000,-0.000,1
3,2,person,584.58,272.44,0.000,-0.000,1
3,3,person,52.46,260.35,-0.000,-0.000,1
3,4,person,581.92,202.22,-0.000,-0.000,1
4,1,person,53.60,280.59,-0.000,-0.000,1
4,2,person,582.35,272.06,-0.000,-0.000,1
4,3,person,51.63,257.07,-0.000,-0.000,1
4,4,person,584.50,207.47,0.000,0.000,1
5,1,person,53.60,280.59,-0.000,-0.000,1
5,2,person,584.15,272.63,0.000,-0.000,1
5,3,person,52.04,256.15,-0.000,-0.000,1
5,4,person,584.64,208.36,0.000,0.000,1
6,1,person,53.60,280.59,-0.000,-0.000,1
6,2,person,584.06,272.84,0.000,0.000,1
6,3,person,52.27,255.16,-0.000,-0.000,1
6,4,person,584.64,208.36,0.000,0.000,1
7,1,person,53.60,280.59,-0.000,-0.000,1
7,2,person,580.63,273.56,-0.000,0.000,1
7,3,person,52.31,252.48,-0.000,-0.000,1
7,4,person,580.31,207.45,-0.000,0.000,1
8,1,person,53.60,280.59,-0.000,-0.000,1
8,2,person,580.65,275.75,-0.000,0.000,1
8,3,person,50.77,252.13,-0.000,-0.000,1
8,4,person,580.20,206.05,-0.000,0.000,1
9,1,person,53.60,280.59,-0.000,-0.000,1
9,2,person,579.80,274.98,-0.000,0.000,1
9,3,person,51.69,252.06,-0.000,-0.000,1
9,4,person,578.39,204.21,-0.000,0.000,1
10,1,person,52.28,202.50,-0.000,-0.000,1
10,2,person,580.84,274.67,-0.000,0.000,1
10,3,person,51.62,252.38,-0.000,-0.000,1
10,4,person,578.90,209.07,-0.000,0.000,1
11,1,person,52.28,202.50,-0.000,-0.000,1
11,2,person,576.50,274.40,-0.000,0.000,1
11,3,person,50.59,254.46,-0.000,-0.000,1
11,4,person,558.30,206.19,-0.000,0.000,1
12,1,person,52.28,202.50,-0.000,-0.000,1
12,2,person,581.27,270.31,-0.000,-0.000,1
12,3,person,51.25,253.68,-0.000,-0.000,1
12,4,person,558.30,206.19,-0.000,0.000,1
13,1,person,52.28,202.50,-0.000,-0.000,1
13,2,person,581.48,270.75,-0.000,-0.000,1
13,3,person,51.05,253.85,-0.000,-0.000,1
13,4,person,582.56,202.05,0.000,-0.000,1
14,1,person,52.28,202.50,-0.000,-0.000,1
14,2,person,580.26,268.27,-0.000,-0.000,1
14,3,person,50.70,252.65,-0.000,-0.000,1
14,4,person,582.56,202.05,0.000,-0.000,1
15,1,person,52.28,202.50,-0.000,-0.000,1
15,2,person,580.19,269.46,-0.000,-0.000,1
15,3,person,49.91,252.76,-0.000,-0.000,1
15,4,person,582.56,202.05,0.000,-0.000,1
16,1,person,52.28,202.50,-0.000,-0.000,1
16,2,person,581.30,268.63,-0.000,-0.000,1
16,3,person,50.21,253.76,-0.000,-0.000,1
16,4,person,582.56,202.05,0.000,-0.000,1
16,6,person,581.20,206.96,0.000,0.000,1
17,1,person,52.28,202.50,-0.000,-0.000,1
17,2,person,578.09,265.13,-0.000,-0.000,1
17,3,person,50.88,253.62,-0.000,-0.000,1
17,4,person,582.56,202.05,0.000,-0.000,1
17,6,person,581.20,206.96,0.000,0.000,1
18,1,person,50.36,196.45,-0.000,-0.000,1
18,2,person,580.20,265.60,-0.000,-0.000,1
18,3,person,50.88,255.05,-0.000,-0.000,1
18,4,person,581.02,200.51,-0.000,-0.000,1
18,6,person,581.20,206.96,0.000,0.000,1
19,1,person,50.36,196.45,-0.000,-0.000,1
19,2,person,574.20,264.13,-0.000,-0.000,1
19,3,person,50.17,254.51,-0.000,-0.000,1
19,4,person,581.02,200.51,-0.000,-0.000,1
19,6,person,569.91,205.23,-0.000,0.000,1
20,1,person,50.36,196.45,-0.000,-0.000,1
20,2,person,580.31,262.78,-0.000,-0.000,1
20,3,person,49.73,254.49,-0.000,-0.000,1
20,4,person,580.25,205.33,-0.000,0.000,1
20,6,person,569.91,205.23,-0.000,0.000,1
21,1,person,50.36,196.45,-0.000,-0.000,1
21,2,person,581.28,262.80,-0.000,-0.000,1
21,3,person,50.97,256.78,-0.000,-0.000,1
21,4,person,582.00,205.18,0.000,0.000,1
21,6,person,569.91,205.23,-0.000,0.000,1
22,1,person,50.36,196.45,-0.000,-0.000,1
22,2,person,582.01,264.22,-0.000,-0.000,1
22,3,person,49.69,256.23,-0.000,-0.000,1
22,4,person,582.94,204.62,0.000,0.000,1
22,6,person,569.91,205.23,-0.000,0.000,1
23,1,person,50.36,196.45,-0.000,-0.000,1
23,2,person,581.11,263.62,-0.000,-0.000,1
23,3,person,50.42,254.92,-0.000,-0.000,1
23,4,person,582.25,203.11,0.000,-0.000,1
23,6,person,569.91,205.23,-0.000,0.000,1
24,1,person,50.36,196.45,-0.000,-0.000,1
24,2,person,579.66,263.75,-0.000,-0.000,1
24,3,person,50.54,254.35,-0.000,-0.000,1
24,4,person,582.25,203.11,0.000,-0.000,1
24,6,person,579.33,258.12,-0.000,0.000,1
25,1,person,50.36,196.45,-0.000,-0.000,1
25,2,person,581.26,266.61,-0.000,-0.000,1
25,3,person,50.57,256.54,-0.000,-0.000,1
25,4,person,582.16,216.44,0.000,0.000,1
25,6,person,579.33,258.12,-0.000,0.000,1
26,1,person,50.36,196.45,-0.000,-0.000,1
26,2,person,579.63,264.19,-0.000,-0.000,1
26,3,person,51.15,254.17,-0.000,-0.000,1
26,4,person,579.04,216.19,-0.000,0.000,1
26,6,person,579.33,258.12,-0.000,0.000,1
27,1,person,50.36,196.45,-0.000,-0.000,1
27,2,person,580.36,265.06,-0.000,-0.000,1
27,3,person,51.05,254.61,-0.000,-0.000,1
27,4,person,580.27,209.29,-0.000,0.000,1
27,6,person,579.33,258.12,-0.000,0.000,1
28,1,person,50.36,196.45,-0.000,-0.000,1
28,2,person,578.10,265.62,-0.000,-0.000,1
28,3,person,50.75,254.07,-0.000,-0.000,1
28,4,person,580.27,209.29,-0.000,0.000,1
28,6,person,576.57,287.60,-0.000,0.000,1
29,1,person,50.36,196.45,-0.000,-0.000,1
29,2,person,580.39,266.11,-0.000,-0.000,1
29,3,person,49.99,253.07,-0.000,-0.000,1
29,4,person,580.62,227.26,-0.000,0.000,1
29,6,person,576.57,287.60,-0.000,0.000,1
30,1,person,50.36,196.45,-0.000,-0.000,1
30,2,person,580.94,266.82,-0.000,-0.000,1
30,3,person,48.11,250.88,-0.000,-0.000,1
30,4,person,580.62,227.26,-0.000,0.000,1
30,6,person,576.57,287.60,-0.000,0.000,1
31,1,person,50.36,196.45,-0.000,-0.000,1
31,2,person,580.95,268.48,-0.000,-0.000,1
31,3,person,48.08,249.43,-0.000,-0.000,1
31,4,person,580.62,227.26,-0.000,0.000,1
31,6,person,576.57,287.60,-0.000,0.000,1
32,1,person,50.36,196.45,-0.000,-0.000,1
32,2,person,575.99,259.50,-0.000,-0.000,1
32,3,person,47.69,248.69,-0.000,-0.000,1
32,4,person,580.62,227.26,-0.000,0.000,1
32,6,person,580.08,270.53,0.000,0.000,1
33,1,person,50.36,196.45,-0.000,-0.000,1
33,2,person,575.99,259.50,-0.000,-0.000,1
33,3,person,47.59,248.26,-0.000,-0.000,1
33,4,person,578.89,241.23,-0.000,0.000,1
33,6,person,580.21,274.30,0.000,0.000,1
34,1,person,50.36,196.45,-0.000,-0.000,1
34,2,person,575.99,259.50,-0.000,-0.000,1
34,3,person,47.25,246.63,-0.000,-0.000,1
34,4,person,579.63,221.21,-0.000,0.000,1
34,6,person,580.49,279.20,0.000,0.000,1
35,1,person,50.09,244.15,-0.000,0.000,1
35,2,person,575.99,259.50,-0.000,-0.000,1
35,3,person,47.25,246.63,-0.000,-0.000,1
35,4,person,579.16,208.56,-0.000,0.000,1
35,6,person,580.73,282.01,0.000,0.000,1
36,1,person,50.09,244.15,-0.000,0.000,1
36,2,person,575.99,259.50,-0.000,-0.000,1
36,3,person,47.53,244.77,-0.000,-0.000,1
36,4,person,578.09,216.97,-0.000,0.000,1
36,6,person,579.53,281.75,-0.000,0.000,1
37,1,person,48.65,243.81,-0.000,0.000,1
37,2,person,575.99,259.50,-0.000,-0.000,1
37,3,person,47.53,244.77,-0.000,-0.000,1
37,4,person,573.06,218.74,-0.000,0.000,1
37,6,person,578.31,282.11,-0.000,0.000,1
38,1,person,49.51,244.15,-0.000,0.000,1
38,2,person,575.99,259.50,-0.000,-0.000,1
38,3,person,47.53,244.77,-0.000,-0.000,1
38,4,person,573.06,218.74,-0.000,0.000,1
38,6,person,577.72,283.39,-0.000,0.000,1
39,1,person,50.54,243.85,-0.000,0.000,1
39,2,person,575.99,259.50,-0.000,-0.000,1
39,3,person,47.53,244.77,-0.000,-0.000,1
39,4,person,573.06,218.74,-0.000,0.000,1
39,6,person,577.76,283.28,-0.000,0.000,1
40,1,person,50.50,241.37,-0.000,0.000,1
40,2,person,575.99,259.50,-0.000,-0.000,1
40,3,person,47.53,244.77,-0.000,-0.000,1
40,4,person,573.06,218.74,-0.000,0.000,1
40,6,person,577.87,285.83,-0.000,0.000,1
41,1,person,50.50,241.37,-0.000,0.000,1
41,2,person,575.99,259.50,-0.000,-0.000,1
41,3,person,48.62,244.39,-0.000,-0.000,1
41,4,person,573.06,218.74,-0.000,0.000,1
41,6,person,575.84,288.16,-0.000,0.000,1
42,1,person,50.50,241.37,-0.000,0.000,1
42,2,person,575.99,259.50,-0.000,-0.000,1
42,3,person,48.53,244.72,-0.000,-0.000,1
42,4,person,573.06,218.74,-0.000,0.000,1
42,6,person,577.21,286.43,-0.000,0.000,1
43,1,person,50.50,241.37,-0.000,0.000,1
43,2,person,575.99,259.50,-0.000,-0.000,1
43,3,person,48.80,245.46,-0.000,-0.000,1
43,4,person,575.11,221.00,-0.000,0.000,1
43,6,person,577.02,285.71,-0.000,0.000,1
44,1,person,50.50,241.37,-0.000,0.000,1
44,2,person,573.63,243.31,-0.000,-0.000,1
44,3,person,47.83,245.69,-0.000,-0.000,1
44,4,person,575.11,221.00,-0.000,0.000,1
44,6,person,576.33,285.01,-0.000,0.000,1
45,1,person,50.50,241.37,-0.000,0.000,1
45,2,person,573.63,243.31,-0.000,-0.000,1
45,3,person,46.82,247.21,-0.000,-0.000,1
45,4,person,571.48,218.21,-0.000,0.000,1
45,6,person,577.66,282.88,-0.000,0.000,1
46,1,person,49.66,247.62,-0.000,0.000,1
46,2,person,571.00,262.32,-0.000,-0.000,1
46,3,person,46.82,247.21,-0.000,-0.000,1
46,4,person,564.03,220.95,-0.000,0.000,1
46,6,person,563.87,279.94,-0.000,0.000,1
47,1,person,51.26,248.00,-0.000,0.000,1
47,2,person,571.00,262.32,-0.000,-0.000,1
47,3,person,52.54,272.30,0.000,0.000,1
47,4,person,564.03,220.95,-0.000,0.000,1
47,6,person,560.74,273.85,-0.000,0.000,1
48,1,person,51.61,247.34,-0.000,0.000,1
48,2,person,574.04,268.47,-0.000,-0.000,1
48,3,person,52.54,272.30,0.000,0.000,1
48,4,person,564.03,220.95,-0.000,0.000,1
48,6,person,560.74,273.85,-0.000,0.000,1
49,1,person,53.09,245.97,-0.000,0.000,1
49,2,person,574.04,268.47,-0.000,-0.000,1
49,3,person,52.54,272.30,0.000,0.000,1
49,4,person,568.61,224.53,-0.000,0.000,1
49,6,person,569.82,280.00,-0.000,0.000,1
50,1,person,54.49,247.02,0.000,0.000,1
50,2,person,574.04,268.47,-0.000,-0.000,1
50,3,person,52.54,272.30,0.000,0.000,1
50,4,person,569.52,219.89,-0.000,0.000,1
50,6,person,570.41,276.13,-0.000,0.000,1
51,1,person,53.53,246.61,0.000,0.000,1
51,2,person,574.04,268.47,-0.000,-0.000,1
51,3,person,52.54,272.30,0.000,0.000,1
51,4,person,568.09,225.17,-0.000,0.000,1
51,6,person,569.49,276.34,-0.000,0.000,1
52,1,person,52.98,247.70,-0.000,0.000,1
52,2,person,574.04,268.47,-0.000,-0.000,1
52,3,person,52.54,272.30,0.000,0.000,1
52,4,person,566.83,225.64,-0.000,0.000,1
52,6,person,566.72,274.26,-0.000,0.000,1
53,1,person,52.98,247.70,-0.000,0.000,1
53,2,person,567.46,270.77,-0.000,0.000,1
53,3,person,52.54,272.30,0.000,0.000,1
53,4,person,566.01,217.95,-0.000,0.000,1
53,6,person,566.72,274.26,-0.000,0.000,1
54,1,person,52.98,247.70,-0.000,0.000,1
54,2,person,573.19,277.27,-0.000,0.000,1
54,3,person,45.32,248.88,-0.000,-0.000,1
54,4,person,570.57,223.00,-0.000,0.000,1
54,6,person,571.86,245.28,-0.000,0.000,1
55,1,person,52.98,247.70,-0.000,0.000,1
55,2,person,574.42,280.85,-0.000,0.000,1
55,3,person,42.61,248.53,-0.000,-0.000,1
55,4,person,570.71,218.46,-0.000,0.000,1
55,6,person,571.86,245.28,-0.000,0.000,1
56,1,person,45.66,246.76,-0.000,0.000,1
56,2,person,575.32,288.04,-0.000,0.000,1
56,3,person,42.61,248.53,-0.000,-0.000,1
56,4,person,570.71,218.46,-0.000,0.000,1
56,6,person,571.86,245.28,-0.000,0.000,1
57,1,person,45.31,246.77,-0.000,0.000,1
57,2,person,575.95,295.14,-0.000,0.000,1
57,3,person,42.61,248.53,-0.000,-0.000,1
57,4,person,570.71,218.46,-0.000,0.000,1
57,6,person,571.86,245.28,-0.000,0.000,1
58,1,person,48.89,244.01,-0.000,0.000,1
58,2,person,578.15,296.07,-0.000,0.000,1
58,3,person,42.61,248.53,-0.000,-0.000,1
58,4,person,570.71,218.46,-0.000,0.000,1
58,6,person,571.86,245.28,-0.000,0.000,1
59,1,person,50.68,241.76,-0.000,0.000,1
59,2,person,576.49,297.02,-0.000,0.000,1
59,3,person,42.61,248.53,-0.000,-0.000,1
59,4,person,570.71,218.46,-0.000,0.000,1
59,6,person,571.86,245.28,-0.000,0.000,1
60,1,person,52.46,238.81,0.000,0.000,1
60,2,person,578.21,297.21,-0.000,0.000,1
60,3,person,42.61,248.53,-0.000,-0.000,1
60,4,person,570.71,218.46,-0.000,0.000,1
60,6,person,571.86,245.28,-0.000,0.000,1
61,1,person,51.63,242.58,0.000,0.000,1
61,2,person,579.72,295.45,-0.000,0.000,1
61,3,person,42.61,248.53,-0.000,-0.000,1
61,4,person,575.02,228.88,-0.000,0.000,1
