frame,track_id,label,cx,cy,vx,vy,confirmed
2,1,person,54.93,272.40,-0.000,0.000,1
2,2,person,584.19,272.05,-0.000,-0.000,1
2,3,person,54.81,213.83,-0.000,-0.000,1
3,1,person,54.20,274.35,-0.000,0.000,1
3,2,person,584.40,272.45,-0.000,-0.000,1
3,3,person,54.02,212.62,-0.000,-0.000,1
3,4,person,578.07,201.16,0.000,0.000,1
4,1,person,53.66,258.36,-0.000,-0.000,1
4,2,person,583.97,272.19,-0.000,-0.000,1
4,3,person,53.72,203.72,-0.000,-0.000,1
4,4,person,582.42,201.35,0.000,0.000,1
5,1,person,53.58,267.95,-0.000,-0.000,1
5,3,person,53.72,203.72,-0.000,-0.000,1
5,4,person,582.42,201.35,0.000,0.000,1
6,1,person,53.01,255.18,-0.000,-0.000,1
6,3,person,53.72,203.72,-0.000,-0.000,1
6,4,person,582.42,201.35,0.000,0.000,1
7,1,person,52.67,253.18,-0.000,-0.000,1
7,3,person,53.72,203.72,-0.000,-0.000,1
7,4,person,582.42,201.35,0.000,0.000,1
7,5,person,581.47,203.04,-0.000,0.000,1
8,1,person,51.04,253.59,-0.000,-0.000,1
8,3,person,53.72,203.72,-0.000,-0.000,1
8,4,person,580.99,206.03,0.000,0.000,1
8,5,person,581.47,203.04,-0.000,0.000,1
8,6,person,581.85,275.01,-0.000,0.000,1
9,1,person,51.30,252.93,-0.000,-0.000,1
9,3,person,53.72,203.72,-0.000,-0.000,1
9,4,person,582.23,206.24,0.000,0.000,1
9,5,person,581.47,203.04,-0.000,0.000,1
9,6,person,582.40,274.61,-0.000,0.000,1
10,1,person,51.42,252.97,-0.000,-0.000,1
10,3,person,53.72,203.72,-0.000,-0.000,1
10,4,person,581.33,206.87,0.000,0.000,1
10,5,person,581.47,203.04,-0.000,0.000,1
10,6,person,582.18,273.67,-0.000,0.000,1
11,1,person,49.51,255.42,-0.000,-0.000,1
11,3,person,53.72,203.72,-0.000,-0.000,1
11,4,person,581.88,205.93,0.000,0.000,1
11,5,person,581.47,203.04,-0.000,0.000,1
12,1,person,49.83,253.57,-0.000,-0.000,1
12,3,person,53.72,203.72,-0.000,-0.000,1
12,4,person,579.94,203.85,0.000,0.000,1
12,5,person,581.47,203.04,-0.000,0.000,1
13,1,person,49.80,255.39,-0.000,-0.000,1
13,3,person,53.72,203.72,-0.000,-0.000,1
13,4,person,579.94,203.85,0.000,0.000,1
13,5,person,582.50,198.72,-0.000,0.000,1
14,1,person,50.28,252.76,-0.000,-0.000,1
14,3,person,53.72,203.72,-0.000,-0.000,1
14,4,person,580.27,201.26,0.000,0.000,1
14,5,person,582.50,198.72,-0.000,0.000,1
