track_id,frame,label,cx,cy,vx,vy,confirmed
1,2,person,54.93,272.4,-0.0,0.0,1
2,2,person,584.19,272.05,-0.0,-0.0,1
3,2,person,54.81,213.83,-0.0,-0.0,1
1,3,person,54.2,274.35,-0.0,0.0,1
2,3,person,584.4,272.45,-0.0,-0.0,1
3,3,person,54.02,212.62,-0.0,-0.0,1
4,3,person,578.07,201.16,0.0,0.0,1
1,4,person,53.66,258.36,-0.0,-0.0,1
2,4,person,583.97,272.19,-0.0,-0.0,1
3,4,person,53.72,203.72,-0.0,-0.0,1
4,4,person,582.42,201.35,0.0,0.0,1
1,5,person,53.58,267.95,-0.0,-0.0,1
3,5,person,53.72,203.72,-0.0,-0.0,1
4,5,person,582.42,201.35,0.0,0.0,1
1,6,person,53.01,255.18,-0.0,-0.0,1
3,6,person,53.72,203.72,-0.0,-0.0,1
4,6,person,582.42,201.35,0.0,0.0,1
1,7,person,52.67,253.18,-0.0,-0.0,1
3,7,person,53.72,203.72,-0.0,-0.0,1
4,7,person,582.42,201.35,0.0,0.0,1
5,7,person,581.47,203.04,-0.0,0.0,1
1,8,person,51.04,253.59,-0.0,-0.0,1
3,8,person,53.72,203.72,-0.0,-0.0,1
4,8,person,580.99,206.03,0.0,0.0,1
5,8,person,581.47,203.04,-0.0,0.0,1
6,8,person,581.85,275.01,-0.0,0.0,1
1,9,person,51.3,252.93,-0.0,-0.0,1
3,9,person,53.72,203.72,-0.0,-0.0,1
4,9,person,582.23,206.24,0.0,0.0,1
5,9,person,581.47,203.04,-0.0,0.0,1
6,9,person,582.4,274.61,-0.0,0.0,1
1,10,person,51.42,252.97,-0.0,-0.0,1
3,10,person,53.72,203.72,-0.0,-0.0,1
4,10,person,581.33,206.87,0.0,0.0,1
5,10,person,581.47,203.04,-0.0,0.0,1
6,10,person,582.18,273.67,-0.0,0.0,1
1,11,person,49.51,255.42,-0.0,-0.0,1
3,11,person,53.72,203.72,-0.0,-0.0,1
4,11,person,581.88,205.93,0.0,0.0,1
5,11,person,581.47,203.04,-0.0,0.0,1
1,12,person,49.83,253.57,-0.0,-0.0,1
3,12,person,53.72,203.72,-0.0,-0.0,1
4,12,person,579.94,203.85,0.0,0.0,1
5,12,person,581.47,203.04,-0.0,0.0,1
1,13,person,49.8,255.39,-0.0,-0.0,1
3,13,person,53.72,203.72,-0.0,-0.0,1
4,13,person,579.94,203.85,0.0,0.0,1
5,13,person,582.5,198.72,-0.0,0.0,1
1,14,person,50.28,252.76,-0.0,-0.0,1
3,14,person,53.72,203.72,-0.0,-0.0,1
4,14,person,580.27,201.26,0.0,0.0,1
5,14,person,582.5,198.72,-0.0,0.0,1
7,14,person,581.64,268.93,-0.0,-0.0,1
1,15,person,48.94,253.17,-0.0,-0.0,1
3,15,person,53.72,203.72,-0.0,-0.0,1
4,15,person,579.5,201.76,0.0,0.0,1
5,15,person,582.5,198.72,-0.0,0.0,1
7,15,person,581.03,269.94,-0.0,-0.0,1
1,16,person,49.05,254.44,-0.0,-0.0,1
3,16,person,53.72,203.72,-0.0,-0.0,1
4,16,person,579.5,201.76,0.0,0.0,1
5,16,person,581.96,197.68,-0.0,0.0,1
7,16,person,582.78,268.77,-0.0,-0.0,1
1,17,person,51.04,253.85,-0.0,-0.0,1
4,17,person,579.5,201.76,0.0,0.0,1
5,17,person,579.86,199.04,-0.0,0.0,1
7,17,person,581.87,264.89,-0.0,-0.0,1
1,18,person,49.68,256.05,-0.0,-0.0,1
4,18,person,579.5,201.76,0.0,0.0,1
5,18,person,581.36,199.27,-0.0,0.0,1
7,18,person,582.82,266.6,-0.0,-0.0,1
1,19,person,49.28,255.03,-0.0,-0.0,1
5,19,person,581.36,199.27,-0.0,0.0,1
7,19,person,581.88,265.5,-0.0,-0.0,1
1,20,person,49.4,254.45,-0.0,-0.0,1
5,20,person,582.38,201.96,-0.0,0.0,1
7,20,person,583.31,265.29,0.0,-0.0,1
1,21,person,50.29,257.04,-0.0,-0.0,1
5,21,person,580.36,203.91,-0.0,0.0,1
7,21,person,582.63,266.06,-0.0,-0.0,1
1,22,person,49.2,256.62,-0.0,-0.0,1
5,22,person,581.37,198.87,-0.0,0.0,1
7,22,person,582.64,265.99,-0.0,-0.0,1
1,23,person,49.23,255.99,-0.0,-0.0,1
5,23,person,580.93,181.32,-0.0,-0.0,1
7,23,person,582.34,264.3,-0.0,-0.0,1
1,24,person,50.35,255.3,-0.0,-0.0,1
5,24,person,581.7,191.79,-0.0,0.0,1
7,24,person,582.57,263.49,-0.0,-0.0,1
1,25,person,48.76,256.53,-0.0,-0.0,1
5,25,person,579.67,197.42,-0.0,0.0,1
7,25,person,582.63,267.93,-0.0,-0.0,1
1,26,person,49.07,255.05,-0.0,-0.0,1
5,26,person,578.58,198.33,-0.0,0.0,1
7,26,person,581.0,264.5,-0.0,-0.0,1
1,27,person,49.34,254.72,-0.0,-0.0,1
5,27,person,580.18,195.58,-0.0,0.0,1
7,27,person,582.01,265.35,-0.0,-0.0,1
1,28,person,49.24,255.59,-0.0,-0.0,1
5,28,person,581.38,203.89,-0.0,0.0,1
7,28,person,582.99,267.1,0.0,-0.0,1
1,29,person,48.66,254.27,-0.0,-0.0,1
5,29,person,579.33,196.48,-0.0,0.0,1
7,29,person,580.89,267.58,-0.0,-0.0,1
5,30,person,581.04,202.1,-0.0,0.0,1
7,30,person,582.13,269.99,-0.0,-0.0,1
5,31,person,578.71,201.78,-0.0,0.0,1
7,31,person,581.33,269.57,-0.0,-0.0,1
5,32,person,580.25,203.7,-0.0,0.0,1
7,32,person,581.71,272.09,-0.0,0.0,1
5,33,person,578.37,207.94,-0.0,0.0,1
7,33,person,580.07,276.39,-0.0,0.0,1
9,33,person,48.56,249.31,0.0,-0.0,1
5,34,person,578.51,211.04,-0.0,0.0,1
7,34,person,578.68,279.23,-0.0,0.0,1
9,34,person,47.51,247.97,-0.0,-0.0,1
5,35,person,579.6,212.77,-0.0,0.0,1
7,35,person,580.22,279.55,-0.0,0.0,1
9,35,person,49.41,245.23,0.0,-0.0,1
5,36,person,579.47,213.18,-0.0,0.0,1
7,36,person,579.53,282.91,-0.0,0.0,1
9,36,person,47.93,245.65,-0.0,-0.0,1
5,37,person,578.67,213.95,-0.0,0.0,1
7,37,person,578.8,281.66,-0.0,0.0,1
9,37,person,47.89,244.01,-0.0,-0.0,1
5,38,person,578.9,212.3,-0.0,0.0,1
7,38,person,579.35,283.02,-0.0,0.0,1
9,38,person,48.29,244.12,0.0,-0.0,1
5,39,person,579.29,216.1,-0.0,0.0,1
7,39,person,579.03,283.13,-0.0,0.0,1
9,39,person,49.03,243.52,0.0,-0.0,1
5,40,person,578.21,215.61,-0.0,0.0,1
7,40,person,578.27,287.17,-0.0,0.0,1
9,40,person,48.57,242.53,0.0,-0.0,1
5,41,person,576.38,217.84,-0.0,0.0,1
7,41,person,576.2,290.93,-0.0,0.0,1
9,41,person,46.02,244.31,-0.0,-0.0,1
5,42,person,577.6,218.01,-0.0,0.0,1
7,42,person,577.55,288.62,-0.0,0.0,1
9,42,person,46.31,243.96,-0.0,-0.0,1
5,43,person,577.96,220.29,-0.0,0.0,1
7,43,person,578.16,285.55,-0.0,0.0,1
9,43,person,47.71,245.58,-0.0,-0.0,1
5,44,person,577.31,219.2,-0.0,0.0,1
7,44,person,577.44,285.19,-0.0,0.0,1
9,44,person,47.06,246.6,-0.0,-0.0,1
5,45,person,578.18,217.82,-0.0,0.0,1
7,45,person,578.11,284.84,-0.0,0.0,1
