track_id,label,start_frame,end_frame,length_pts,path_length_px,avg_speed_px_per_frame
1,person,2,29,28,75.62,2.801
2,person,2,4,3,0.95,0.477
3,person,2,16,15,10.35,0.739
4,person,3,18,16,19.07,1.271
5,person,7,155,149,353.74,2.39
6,person,8,10,3,1.65,0.823
7,person,14,114,101,246.45,2.464
9,person,33,84,52,94.94,1.862
15,person,82,223,142,298.21,2.115
16,person,88,96,9,11.61,1.451
17,person,99,137,39,57.32,1.508
18,person,102,159,58,130.27,2.285
19,person,118,220,103,215.42,2.112
21,person,163,165,3,1.12,0.561
22,person,169,188,20,36.71,1.932
23,person,173,268,96,144.34,1.519
24,person,192,194,3,1.21,0.604
26,person,198,290,93,209.89,2.281
28,person,224,313,90,260.81,2.93
29,person,225,313,89,234.69,2.667
30,person,243,255,13,0.0,0.0
38,person,294,296,3,0.71,0.355
39,person,300,305,6,5.09,1.018
40,person,309,313,5,10.25,2.562
41,person,312,312,1,0.0,0.0
