TimeSec,TrackId,WorldX,WorldY,ClassName,SensorSupport,Hits,Locked,ClusterAllGhost,TruthId
0,1,22.1129217821866,30.1038964231948,person,4,1,0,0,1
0,2,25.7827220270971,1.34519293020433,person,1,1,0,1,0
0,3,61.8950113247952,50.0304656897038,vehicle,3,1,0,0,2
0,4,16.401557477378,74.3719001025303,person,1,1,0,1,0
0,5,101.726142673478,49.0443097997099,person,1,1,0,1,0
0.5,1,22.1518303656903,30.1379010046148,person,4,2,0,0,1
0.5,3,61.8621794838912,49.9393982229427,vehicle,3,2,0,0,2
0.5,6,54.9466616767332,33.6092567719797,person,1,1,0,1,0
0.5,7,14.9710355560657,39.3074905993869,person,1,1,0,1,0
0.5,8,25.9954953388804,10.3734392335524,person,1,1,0,1,0
1,1,22.1553204715229,30.1782470665171,person,4,3,1,0,1
1,9,17.9909748424874,40.9861956533346,person,1,1,0,1,0
1,3,61.8623089154361,49.9837565233826,vehicle,3,3,1,0,2
1,10,40.8576154660155,57.02831947231,person,1,1,0,1,0
1,11,64.8744903054031,62.6132652166543,person,1,1,0,1,0
1.5,1,22.1370497489804,30.3035803529451,person,4,4,1,0,1
1.5,3,61.91665306942,50.0040653188534,vehicle,3,4,1,0,2
1.5,12,58.3627066704723,-2.39247368213989,person,1,1,0,1,0
1.5,13,17.7044161287785,65.8524412863219,person,1,1,0,1,0
1.5,14,36.6099276849876,-23.8011702834969,person,1,1,0,1,0
2,1,22.3485230449647,30.3591441941528,person,4,5,1,0,1
2,15,-10.9998934651809,10.0668913376559,person,1,1,0,1,0
2,3,61.8568352097761,49.8887186432151,vehicle,3,5,1,0,2
2,16,65.6696442297795,78.3707445974983,person,1,1,0,1,0
2,17,65.5529283388764,40.2634118823422,person,1,1,0,1,0
2.5,1,22.5329553933809,30.4172254604497,person,4,6,1,0,1
2.5,3,61.7930834561134,49.8113495635253,vehicle,3,6,1,0,2
2.5,18,97.1337381895874,-4.99200626530439,person,1,1,0,1,0
2.5,19,-3.79219849222144,47.2235230423925,person,1,1,0,1,0
2.5,20,57.8433245304629,7.369761528209,person,1,1,0,1,0
3,1,22.5279444637489,30.4336315194945,person,4,7,1,0,1
3,21,12.4354415373579,0.301101891549138,person,1,1,0,1,0
3,3,61.5874966883926,49.7458682912747,vehicle,3,7,1,0,2
3,22,31.4411089437446,83.5183351004164,person,1,1,0,1,0
3,23,88.9958991424376,31.0307690855906,person,1,1,0,1,0
3.5,1,22.5841992831235,30.5318646058305,person,4,8,1,0,1
3.5,3,61.4985187368808,49.7731154839009,vehicle,3,8,1,0,2
3.5,24,75.056021680098,29.3503654944908,person,1,1,0,1,0
3.5,25,9.63258479602614,19.0513070293746,person,1,1,0,1,0
3.5,26,28.0936926635935,34.7025225462591,person,1,1,0,1,0
4,1,22.7478455704711,30.7448401767477,person,4,9,1,0,1
4,27,31.1167170995884,21.4054486512347,person,1,1,0,1,0
4,3,61.4359580957538,49.7712030010946,vehicle,3,9,1,0,2
4,28,19.3940445979323,48.1964543716396,person,1,1,0,1,0
4,29,76.6729856685483,54.9580723506883,person,1,1,0,1,0
4.5,1,23.0095712619954,30.8391423342206,person,4,10,1,0,1
4.5,3,61.531792352861,49.6933956522603,vehicle,3,10,1,0,2
4.5,30,61.0001826306552,10.0573351414089,person,1,1,0,1,0
4.5,31,22.2756540851261,49.6049647601064,person,1,1,0,1,0
4.5,32,23.0369181548628,-7.37957407648486,person,1,1,0,1,0
5,1,22.969357604338,30.9225089742467,person,4,11,1,0,1
5,33,1.19185589110236,19.5612027149774,person,1,1,0,1,0
5,3,61.3798190857961,49.5971276933672,vehicle,3,11,1,0,2
5,34,56.6010026772105,60.7584249117778,person,1,1,0,1,0
5,35,47.4477998386605,49.7105697359787,person,1,1,0,1,0
5.5,1,23.0435421145053,30.9628097362576,person,4,12,1,0,1
5.5,3,61.2347277135703,49.4679058954495,vehicle,3,12,1,0,2
5.5,36,75.5304311086161,-12.3251949992122,person,1,1,0,1,0
5.5,37,-7.43486513234369,69.5512716238154,person,1,1,0,1,0
5.5,38,47.7051439565857,-1.37422596150241,person,1,1,0,1,0
6,1,23.1275185751445,31.1705012760136,person,4,13,1,0,1
6,39,-4.73260380486358,-12.6263206272898,person,1,1,0,1,0
6,3,61.0194234429563,49.3940465890013,vehicle,3,13,1,0,2
6,40,42.0470531137478,77.7336649493947,person,1,1,0,1,0
6,41,72.8345734360563,31.0248975968035,person,1,1,0,1,0
6.5,1,23.245041202987,31.1886371303809,person,4,14,1,0,1
6.5,3,61.1386029877931,49.3810346480368,vehicle,3,14,1,0,2
6.5,42,80.5764698843468,15.6690638367816,person,1,1,0,1,0
6.5,43,-4.40518104355465,31.9573207017641,person,1,1,0,1,0
6.5,44,50.2647594788408,26.6941170099534,person,1,1,0,1,0
7,1,23.3464922605838,31.3115232752471,person,4,15,1,0,1
7,45,25.1472059147448,4.84615163432991,person,1,1,0,1,0
7,3,61.0047670038343,49.386515309706,vehicle,3,15,1,0,2
7,46,18.0010044643574,70.2102270743154,person,1,1,0,1,0
7,47,98.6751330832075,53.5110090467093,person,1,1,0,1,0
7.5,1,23.4748444612501,31.3586378635,person,4,16,1,0,1
7.5,3,60.883128790008,49.2811913365952,vehicle,3,16,1,0,2
7.5,48,52.444711783466,29.1784216147842,person,1,1,0,1,0
7.5,49,35.9098631632606,29.3462612067254,person,1,1,0,1,0
7.5,50,27.2407230697692,7.49015104314591,person,1,1,0,1,0
8,1,23.5974569834918,31.4610152232722,person,4,17,1,0,1
8,51,12.3603458419552,39.9070019812479,person,1,1,0,1,0
8,3,60.798624462498,49.2558795602047,vehicle,3,17,1,0,2
8,52,42.6109650545464,59.314361905626,person,1,1,0,1,0
8,53,62.9978647742432,59.4208724208069,person,1,1,0,1,0
8.5,1,23.5864013976731,31.5272231819809,person,4,18,1,0,1
8.5,3,60.7495688724847,49.2344517412844,vehicle,3,18,1,0,2
8.5,54,61.7752218195808,-2.54404336260445,person,1,1,0,1,0
8.5,55,13.4381515624649,65.2836512389575,person,1,1,0,1,0
8.5,56,41.5236761180797,-21.9569733294966,person,1,1,0,1,0
9,1,23.8705246410314,31.616197213436,person,4,19,1,0,1
9,57,-8.7246812503733,6.77721982258821,person,1,1,0,1,0
9,3,60.6426450745084,49.2442890171754,vehicle,3,19,1,0,2
9,58,62.0718206420909,81.7403038096708,person,1,1,0,1,0
9,59,50.5640804220371,22.6057741404819,person,1,1,0,1,0
9.5,1,23.976092473744,31.7026562117621,person,4,20,1,0,1
9.5,3,60.551862194208,49.148344325886,vehicle,3,20,1,0,2
9.5,60,97.4244164229546,0.57124696153422,person,1,1,0,1,0
9.5,61,-1.99918831643448,45.1274088398828,person,1,1,0,1,0
9.5,62,55.2583473658998,9.81485572593199,person,1,1,0,1,0
10,1,24.0118486949862,31.7851941429182,person,4,21,1,0,1
10,63,13.2595103496903,2.69413986718457,person,1,1,0,1,0
10,3,60.6493826437926,49.1605131692698,vehicle,3,21,1,0,2
10,64,30.5800945635432,80.3569001910905,person,1,1,0,1,0
10,65,89.4124123074122,35.1608995514488,person,1,1,0,1,0
10.5,1,24.1328185102726,31.6362777110717,person,4,22,1,0,1
10.5,3,60.531044055722,49.1018263581173,vehicle,3,22,1,0,2
10.5,66,71.4733580168527,27.939599107956,person,1,1,0,1,0
10.5,67,13.6223596219162,21.6678532431787,person,1,1,0,1,0
11,1,24.1486989414912,31.8400502253079,person,4,23,1,0,1
11,68,27.2597567508404,23.6418765901843,person,1,1,0,1,0
11,3,60.3702407441269,49.0670282186203,vehicle,3,23,1,0,2
11,69,24.5725730307835,46.6334748601875,person,1,1,0,1,0
11,70,74.3583143678202,53.6855255075633,person,1,1,0,1,0
11.5,1,24.1597285929258,31.9422109235441,person,4,24,1,0,1
11.5,3,60.3415369940125,49.0492310289232,vehicle,3,24,1,0,2
11.5,71,38.4465654131852,4.67263988681087,person,1,1,0,1,0
11.5,72,19.4967346419171,51.0683681969162,person,1,1,0,1,0
11.5,73,26.8182025551622,-8.68357468365878,person,1,1,0,1,0
12,1,24.1984258989916,32.0664065539912,person,4,25,1,0,1
12,74,1.26135959221591,16.6810301468743,person,1,1,0,1,0
12,3,60.232812235405,49.0215863239977,vehicle,3,25,1,0,2
12,75,56.0586946839109,64.4216198543905,person,1,1,0,1,0
12,76,49.0029169656164,45.3662948398023,person,1,1,0,1,0
12.5,1,24.3647626184261,32.0923891071845,person,4,26,1,0,1
12.5,3,60.1252389142303,48.8695437859189,vehicle,3,26,1,0,2
12.5,77,78.4950839168925,-9.20503968350378,person,1,1,0,1,0
12.5,78,-10.1032450345846,65.0317877189678,person,1,1,0,1,0
12.5,79,46.9523933873738,1.04219427116481,person,1,1,0,1,0
13,1,24.5234637036053,32.0896913365471,person,4,27,1,0,1
13,80,0.183144918403132,-12.9919411165505,person,1,1,0,1,0
13,3,60.0509364248555,48.9348988178109,vehicle,3,27,1,0,2
13,81,42.6358500537325,100.887736959742,person,1,1,0,1,0
13,82,74.7740055851483,33.3250313484975,person,1,1,0,1,0
13.5,1,24.7254865201289,32.1410549047925,person,4,28,1,0,1
13.5,3,60.0581173610629,48.9953206441956,vehicle,3,28,1,0,2
13.5,83,77.8650557657108,16.1758317498341,person,1,1,0,1,0
13.5,84,-0.85815893655446,31.6758482350755,person,1,1,0,1,0
13.5,85,45.8323672583261,26.2128143386022,person,1,1,0,1,0
14,1,24.8024015016303,32.2549880174132,person,4,29,1,0,1
14,86,23.8335980563953,7.84789293619134,person,1,1,0,1,0
14,3,59.9563472015194,48.892451163028,vehicle,3,29,1,0,2
14,87,20.2685976479818,66.7332338279621,person,1,1,0,1,0
14,88,95.0320118041707,57.0634336841771,person,1,1,0,1,0
14.5,1,24.8513394937349,32.2680186257834,person,4,30,1,0,1
14.5,3,59.8326166858132,48.8075878423041,vehicle,3,30,1,0,2
14.5,89,50.98040368306,24.637450459033,person,1,1,0,1,0
14.5,90,36.3073724573196,35.0655818206307,person,1,1,0,1,0
14.5,91,29.0020088828534,5.21021747587892,person,1,1,0,1,0
15,1,24.9046047100155,32.3290204871732,person,4,31,1,0,1
15,92,7.34762871607186,37.8740905963261,person,1,1,0,1,0
15,3,59.6702859491764,48.8003912072969,vehicle,3,31,1,0,2
15,93,43.6145144171091,61.7577135739826,person,1,1,0,1,0
15,94,61.9781411633815,56.1607502193576,person,1,1,0,1,0
15.5,1,25.0929690181404,32.3046426731688,person,4,32,1,0,1
15.5,3,59.6170756310794,48.7502307558791,vehicle,3,32,1,0,2
15.5,95,64.8571783934244,-1.93948851178051,person,1,1,0,1,0
15.5,96,9.67581436998236,63.9259516589618,person,1,1,0,1,0
15.5,97,45.7016733620775,-19.3411363923744,person,1,1,0,1,0
16,1,25.1346484238744,32.3940300575496,person,4,33,1,0,1
16,98,-6.00360279969052,4.26548193570396,person,1,1,0,1,0
16,3,59.6263003834163,48.7218379465548,vehicle,3,33,1,0,2
16,99,58.1347818331615,84.1467200390634,person,1,1,0,1,0
16,100,55.8677432598241,20.901238777293,person,1,1,0,1,0
16.5,1,25.288559561058,32.3534255972003,person,4,34,1,0,1
16.5,3,59.4981686771477,48.60357364834,vehicle,3,34,1,0,2
16.5,101,96.6657260503819,5.76454793369297,person,1,1,0,1,0
16.5,102,0.10331684437985,43.7184403487371,person,1,1,0,1,0
16.5,103,52.4224803433906,11.4561584644489,person,1,1,0,1,0
17,1,25.3071618317472,32.4014437193199,person,4,35,1,0,1
17,104,27.331515252745,-15.7025014160853,person,1,1,0,1,0
17,3,59.5619538392836,48.7526926476151,vehicle,3,35,1,0,2
17,105,30.5135624341569,77.348979678116,person,1,1,0,1,0
17,106,88.9653508389159,38.9852788167285,person,1,1,0,1,0
17.5,1,25.483793791179,32.428258304129,person,4,36,1,0,1
17.5,3,59.451396955959,48.7827588093272,vehicle,3,36,1,0,2
17.5,107,68.5351026071656,25.9327987380895,person,1,1,0,1,0
17.5,108,16.7712580037673,24.8241472787059,person,1,1,0,1,0
17.5,109,21.3589857439418,25.8928836570119,person,1,1,0,1,0
18,1,25.4356117448427,32.4243763325914,person,4,37,1,0,1
18,109,22.6286199297185,25.2643660633381,person,1,2,0,1,0
18,3,59.4249643494913,48.7780765363817,vehicle,3,37,1,0,2
18,110,29.6383472184763,46.1539069943283,person,1,1,0,1,0
18,111,74.9239422925255,76.8661350256033,person,1,1,0,1,0
18.5,1,25.5453096741489,32.5199852729696,person,4,38,1,0,1
18.5,3,59.26191888129,48.7496480038272,vehicle,3,38,1,0,2
18.5,112,41.7262568540584,-0.0297282374610397,person,1,1,0,1,0
18.5,113,16.694663716176,51.7381616827302,person,1,1,0,1,0
18.5,114,30.4982095047593,-9.09666547040661,person,1,1,0,1,0
19,1,25.6430209234252,32.5149301186926,person,4,39,1,0,1
19,115,2.01335765269664,14.1489208254992,person,1,1,0,1,0
19,3,59.1427495014428,48.7135144921631,vehicle,3,39,1,0,2
19,116,54.8067219887679,67.5997950197248,person,1,1,0,1,0
19,117,51.2605962205412,41.7019504441912,person,1,1,0,1,0
19.5,1,25.826547636899,32.5487517843635,person,4,40,1,0,1
19.5,3,59.0027465912334,48.6860993441995,vehicle,3,40,1,0,2
19.5,118,80.572309193153,-5.78690211296607,person,1,1,0,1,0
19.5,119,-11.7145431712023,60.3732490889467,person,1,1,0,1,0
19.5,120,69.184960453977,-5.45170241155938,person,1,1,0,1,0
20,1,25.957902872157,32.5601063627195,person,4,41,1,0,1
20,121,4.75857345470974,-12.3948085004165,person,1,1,0,1,0
20,3,59.054873263341,48.7150247760439,vehicle,3,41,1,0,2
20,122,37.4368727201316,98.8865085904682,person,1,1,0,1,0
20,123,75.9577033302565,35.8165047857759,person,1,1,0,1,0
20.5,1,26.1464944221353,32.5697965976479,person,4,42,1,0,1
20.5,3,59.0772891326506,48.6209311535121,vehicle,3,42,1,0,2
20.5,124,75.3438980700655,15.9533816790754,person,1,1,0,1,0
20.5,125,2.37977688219979,32.1776331316662,person,1,1,0,1,0
20.5,126,41.8908941975941,24.9104123295703,person,1,1,0,1,0
