TimeSec,TargetId,ClassName,WorldX,WorldY
0,1,person,22,30
0,2,vehicle,62,50
0.5,1,person,22.1,30.0999733354666
0.5,2,vehicle,61.925,49.9550067496963
1,1,person,22.2,30.1997867349229
1,2,vehicle,61.85,49.9100539902808
1.5,1,person,22.3,30.2992805182223
1.5,2,vehicle,61.775,49.865182176203
2,1,person,22.4,30.3982955165356
2,2,vehicle,61.7,49.8204316890666
2.5,1,person,22.5,30.4966733269877
2.5,2,vehicle,61.625,49.7758428012896
3,1,person,22.6,30.5942565660678
3,2,vehicle,61.55,49.7314556398613
3.5,1,person,22.7,30.6908891214103
3.5,2,vehicle,61.475,49.6873101502309
4,1,person,22.8,30.7864164015403
4,2,vehicle,61.4,49.6434460603593
4.5,1,person,22.9,30.8806855831877
4.5,2,vehicle,61.325,49.5999028449668
5,1,person,23,30.9735458557716
5,2,vehicle,61.25,49.556719690008
5.5,1,person,23.1,31.064848662665
5.5,2,vehicle,61.175,49.5139354574077
6,1,person,23.2,31.1544479388537
6,2,vehicle,61.1,49.4715886500874
6.5,1,person,23.3,31.2422003446093
6.5,2,vehicle,61.025,49.4297173773153
7,1,person,23.4,31.3279654948022
7,2,vehicle,60.95,49.3883593204106
7.5,1,person,23.5,31.4116061834876
7.5,2,vehicle,60.875,49.3475516988332
8,1,person,23.6,31.492988603406
8,2,vehicle,60.8,49.3073312366878
8.5,1,person,23.7,31.5719825600462
8.5,2,vehicle,60.725,49.2677341296756
9,1,person,23.8,31.6484616799287
9,2,vehicle,60.65,49.2287960125203
9.5,1,person,23.9,31.7223036127764
9.5,2,vehicle,60.575,49.190551926899
10,1,person,24,31.7933902272488
10,2,vehicle,60.5,49.1530362899074
10.5,1,person,24.1,31.8616077999271
10.5,2,vehicle,60.425,49.1162828630866
11,1,person,24.2,31.9268471972474
11,2,vehicle,60.35,49.0803247220398
11.5,1,person,24.3,31.9890040500909
11.5,2,vehicle,60.275,49.045194226667
12,1,person,24.4,32.0479789207525
12,2,vehicle,60.2,49.0109229920428
12.5,1,person,24.5,32.1036774620197
12.5,2,vehicle,60.125,48.977541859965
13,1,person,24.6,32.1560105681083
13,2,vehicle,60.05,48.9450808711994
13.5,1,person,24.7,32.2048945172124
13.5,2,vehicle,59.975,48.9135692384448
14,1,person,24.8,32.2502511054413
14,2,vehicle,59.9,48.8830353200437
14.5,1,person,24.9,32.2920077719294
14.5,2,vehicle,59.825,48.8535065944617
15,1,person,25,32.3300977149181
15,2,vehicle,59.75,48.8250096355588
15.5,1,person,25.1,32.3644599986239
15.5,2,vehicle,59.675,48.7975700886743
16,1,person,25.2,32.3950396507231
16,2,vehicle,59.6,48.7712126475485
16.5,1,person,25.3,32.4217877502957
16.5,2,vehicle,59.525,48.7459610320992
17,1,person,25.4,32.4446615060883
17,2,vehicle,59.45,48.721837967076
17.5,1,person,25.5,32.4636243249711
17.5,2,vehicle,59.375,48.698865161609
18,1,person,25.6,32.4786458704792
18,2,vehicle,59.3,48.6770632896726
18.5,1,person,25.7,32.4897021113441
18.5,2,vehicle,59.225,48.6564519714799
19,1,person,25.8,32.496775359939
19,2,vehicle,59.15,48.6370497558262
19.5,1,person,25.9,32.4998543005749
19.5,2,vehicle,59.075,48.6188741033958
20,1,person,26,32.4989340076038
20,2,vehicle,59,48.6019413710492
20.5,1,person,26.1,32.4940159532979
20.5,2,vehicle,58.925,48.5862667971025
21,1,person,26.2,32.4851080054952
21,2,vehicle,58.85,48.5718644876142
21.5,1,person,26.3,32.4722244150118
21.5,2,vehicle,58.775,48.5587474036909
22,1,person,26.4,32.455385792844
22,2,vehicle,58.7,48.5469273498226
22.5,1,person,26.5,32.4346190771955
22.5,2,vehicle,58.625,48.53641496326
23,1,person,26.6,32.4099574903811
23,2,vehicle,58.55,48.5272197044415
23.5,1,person,26.7,32.381440485679
23.5,2,vehicle,58.475,48.5193498484792
24,1,person,26.8,32.3491136842133
24,2,vehicle,58.4,48.5128124777125
24.5,1,person,26.9,32.3130288019704
24.5,2,vehicle,58.325,48.5076134753336
25,1,person,27,32.2732435670642
25,2,vehicle,58.25,48.5037575200939
25.5,1,person,27.1,32.2298216273835
25.5,2,vehicle,58.175,48.5012480820928
26,1,person,27.2,32.1828324487688
26,2,vehicle,58.1,48.5000874196551
26.5,1,person,27.3,32.1323512038822
26.5,2,vehicle,58.025,48.5002765772986
27,1,person,27.4,32.0784586519467
27,2,vehicle,57.95,48.5018153847942
27.5,1,person,27.5,32.021241009549
27.5,2,vehicle,57.875,48.5047024573191
28,1,person,27.6,31.960789812711
28,2,vehicle,57.8,48.5089351967029
