frame,track_id,label,cx,cy,vx,vy,confirmed
3,12,person,444.54,837.16,-0.488,-0.007,1
3,13,person,347.51,818.58,-0.233,0.146,1
3,14,person,303.43,797.13,-0.204,-0.387,1
3,15,car,1396.46,688.79,0.026,-0.185,1
3,17,car,640.36,652.12,-0.019,0.047,1
3,19,person,518.33,690.88,-0.321,-0.001,1
3,24,person,738.59,631.55,-0.210,0.103,1
3,31,person,692.85,551.53,-0.210,0.035,1
3,34,person,266.37,575.20,-0.356,-0.082,1
3,36,person,607.92,553.58,-0.174,0.009,1
3,39,person,341.80,525.40,-0.147,-0.049,1
3,46,person,724.35,379.64,-0.113,0.114,1
4,12,person,444.52,837.16,-0.488,-0.007,1
4,13,person,347.50,818.59,-0.233,0.146,1
4,14,person,303.42,797.11,-0.204,-0.387,1
4,15,car,1396.46,688.78,0.026,-0.185,1
4,17,car,640.36,652.12,-0.019,0.047,1
4,19,person,518.31,690.88,-0.321,-0.001,1
4,20,person,1745.47,638.41,0.155,-0.128,1
4,24,person,733.44,629.60,-0.543,-0.016,1
4,26,person,434.51,676.64,-0.332,0.043,1
4,31,person,692.84,551.53,-0.210,0.035,1
4,34,person,266.35,575.19,-0.356,-0.082,1
4,36,person,602.32,551.61,-0.485,-0.121,1
4,39,person,341.79,525.40,-0.147,-0.049,1
4,46,person,724.35,379.64,-0.113,0.114,1
4,72,car,1207.01,440.90,0.253,0.115,1
4,74,car,369.93,425.27,-0.215,-0.060,1
5,12,person,444.50,837.16,-0.488,-0.007,1
5,13,person,347.49,818.60,-0.233,0.146,1
5,14,person,303.42,797.09,-0.204,-0.387,1
5,15,car,1396.46,688.77,0.026,-0.185,1
5,17,car,640.36,652.13,-0.019,0.047,1
5,19,person,518.30,690.88,-0.321,-0.001,1
5,20,person,1745.48,638.41,0.155,-0.128,1
5,24,person,728.65,628.57,-0.965,-0.103,1
5,26,person,425.94,674.33,-0.800,-0.081,1
5,31,person,692.83,551.53,-0.210,0.035,1
5,34,person,266.34,575.19,-0.356,-0.082,1
5,36,person,602.30,551.60,-0.485,-0.121,1
5,39,person,341.78,525.39,-0.147,-0.049,1
5,46,person,724.35,379.65,-0.113,0.114,1
5,72,car,1207.02,440.90,0.253,0.115,1
5,74,car,361.50,420.68,-0.634,-0.345,1
5,80,person,1257.24,803.44,0.158,-0.110,1
5,82,person,844.82,736.52,-0.023,0.355,1
5,94,person,1310.44,555.38,0.246,0.182,1
5,95,person,1850.09,519.21,0.074,-0.037,1
6,12,person,444.48,837.16,-0.488,-0.007,1
6,13,person,347.48,818.60,-0.233,0.146,1
6,14,person,303.41,797.08,-0.204,-0.387,1
6,15,car,1396.46,688.77,0.026,-0.185,1
6,17,car,640.36,652.13,-0.019,0.047,1
6,19,person,518.29,690.88,-0.321,-0.001,1
6,20,person,1745.49,638.40,0.155,-0.128,1
6,24,person,728.61,628.56,-0.965,-0.103,1
6,26,person,425.91,674.33,-0.800,-0.081,1
6,31,person,692.82,551.53,-0.210,0.035,1
6,34,person,266.32,575.19,-0.356,-0.082,1
6,36,person,602.29,551.60,-0.485,-0.121,1
6,39,person,341.78,525.39,-0.147,-0.049,1
6,46,person,724.34,379.65,-0.113,0.114,1
6,72,car,1207.03,440.91,0.253,0.115,1
6,74,car,361.47,420.67,-0.634,-0.345,1
6,80,person,1257.25,803.44,0.158,-0.110,1
6,82,person,839.85,740.63,-0.312,0.576,1
6,94,person,1310.45,555.39,0.246,0.182,1
6,95,person,1850.09,519.21,0.074,-0.037,1
6,113,person,285.13,788.70,-0.113,-0.025,1
6,115,person,1158.32,671.69,0.104,0.018,1
6,128,person,852.81,475.71,-0.087,0.230,1
7,12,person,444.46,837.16,-0.488,-0.007,1
7,13,person,347.47,818.61,-0.233,0.146,1
7,14,person,303.40,797.06,-0.204,-0.387,1
7,15,car,1396.46,688.76,0.026,-0.185,1
7,17,car,640.36,652.13,-0.019,0.047,1
7,19,person,518.27,690.88,-0.321,-0.001,1
7,20,person,1745.49,638.40,0.155,-0.128,1
7,24,person,728.58,628.56,-0.965,-0.103,1
7,26,person,425.88,674.32,-0.800,-0.081,1
7,31,person,692.82,551.53,-0.210,0.035,1
7,34,person,266.31,575.18,-0.356,-0.082,1
7,36,person,602.27,551.59,-0.485,-0.121,1
7,39,person,341.77,525.39,-0.147,-0.049,1
7,46,person,724.34,379.66,-0.113,0.114,1
7,72,car,1207.04,440.91,0.253,0.115,1
7,74,car,361.45,420.65,-0.634,-0.345,1
7,80,person,1257.25,803.43,0.158,-0.110,1
7,82,person,834.66,745.48,-0.672,0.873,1
7,87,person,404.89,666.24,-0.111,-0.126,1
7,94,person,1310.46,555.39,0.246,0.182,1
7,95,person,1850.09,519.21,0.074,-0.037,1
7,113,person,280.13,793.07,-0.318,0.272,1
7,115,person,1162.52,674.73,0.382,0.270,1
7,117,person,643.54,828.93,-0.112,0.022,1
7,128,person,852.80,475.72,-0.087,0.230,1
7,150,person,585.79,658.04,-0.300,0.329,1
8,12,person,444.44,837.16,-0.488,-0.007,1
8,13,person,347.46,818.61,-0.233,0.146,1
8,14,person,303.39,797.05,-0.204,-0.387,1
8,15,car,1396.46,688.75,0.026,-0.185,1
8,17,car,640.36,652.13,-0.019,0.047,1
8,19,person,518.26,690.88,-0.321,-0.001,1
8,20,person,1745.50,638.39,0.155,-0.128,1
8,24,person,728.54,628.55,-0.965,-0.103,1
8,26,person,425.84,674.32,-0.800,-0.081,1
8,31,person,692.81,551.53,-0.210,0.035,1
8,34,person,266.30,575.18,-0.356,-0.082,1
8,36,person,602.25,551.59,-0.485,-0.121,1
8,39,person,341.77,525.39,-0.147,-0.049,1
8,46,person,724.33,379.66,-0.113,0.114,1
