frame,track_id,label,cx,cy,vx,vy,confirmed
3,6,car,995.15,995.85,3.000,0.085,1
3,8,car,818.97,947.66,-0.183,-0.183,1
3,30,car,922.73,572.86,0.776,-0.034,1
4,6,car,1057.81,997.21,7.691,0.166,1
4,8,car,859.71,941.81,3.701,-0.523,1
4,30,car,927.16,571.07,1.025,-0.135,1
4,59,person,589.17,547.18,-0.110,-0.014,1
4,60,car,286.43,371.58,-0.181,-0.119,1
5,6,car,1058.13,997.22,7.691,0.166,1
5,8,car,859.87,941.79,3.701,-0.523,1
5,30,car,911.79,569.48,0.097,-0.237,1
5,41,car,989.33,777.30,-0.055,0.074,1
5,59,person,584.99,546.44,-0.330,-0.053,1
5,60,car,283.98,368.09,-0.332,-0.305,1
5,70,person,1765.17,609.29,-0.010,0.070,1
6,6,car,1058.45,997.23,7.691,0.166,1
6,8,car,860.02,941.77,3.701,-0.523,1
6,30,car,943.47,567.64,2.225,-0.358,1
6,41,car,993.94,777.76,0.218,0.113,1
6,59,person,580.65,545.86,-0.596,-0.088,1
6,60,car,281.50,363.38,-0.496,-0.594,1
6,70,person,1765.17,609.29,-0.010,0.070,1
6,89,car,1596.17,547.50,0.187,-0.033,1
7,6,car,1058.77,997.23,7.691,0.166,1
7,8,car,860.18,941.75,3.701,-0.523,1
7,30,car,924.88,565.70,1.174,-0.486,1
7,41,car,993.95,777.76,0.218,0.113,1
7,59,person,575.56,545.02,-0.932,-0.142,1
7,60,car,278.70,358.80,-0.690,-0.887,1
7,70,person,1765.17,609.29,-0.010,0.070,1
7,89,car,1603.55,545.29,0.570,-0.153,1
7,95,car,1024.04,288.00,0.841,-0.164,1
7,99,car,1267.49,1010.70,2.484,0.096,1
7,100,car,1001.29,921.41,1.703,-0.154,1
8,6,car,1059.09,997.24,7.691,0.166,1
8,8,car,860.33,941.73,3.701,-0.523,1
8,30,car,944.16,563.72,2.303,-0.612,1
8,41,car,993.96,777.77,0.218,0.113,1
8,59,person,570.20,543.77,-1.312,-0.223,1
8,60,car,275.77,353.97,-0.897,-1.202,1
8,70,person,1765.17,609.30,-0.010,0.070,1
8,89,car,1603.57,545.29,0.570,-0.153,1
8,95,car,1037.27,286.72,1.719,-0.245,1
8,99,car,1320.14,1015.98,6.248,0.412,1
8,100,car,1007.95,926.95,2.199,0.218,1
8,121,car,1536.62,564.14,0.246,-0.014,1
9,6,car,1059.42,997.25,7.691,0.166,1
9,8,car,860.48,941.71,3.701,-0.523,1
9,30,car,942.90,561.73,2.232,-0.737,1
9,41,car,993.97,777.77,0.218,0.113,1
9,59,person,570.14,543.76,-1.312,-0.223,1
9,60,car,272.48,348.71,-1.137,-1.546,1
9,70,person,1765.17,609.30,-0.010,0.070,1
9,77,car,1491.10,483.05,0.118,-0.062,1
9,89,car,1603.59,545.28,0.570,-0.153,1
9,95,car,1049.05,276.00,2.612,-0.960,1
9,99,car,1320.40,1015.99,6.248,0.412,1
9,100,car,1008.04,926.96,2.199,0.218,1
9,121,car,1536.63,564.14,0.246,-0.014,1
9,123,car,1777.58,436.53,0.312,-0.080,1
10,6,car,1059.74,997.25,7.691,0.166,1
10,8,car,860.64,941.68,3.701,-0.523,1
10,30,car,954.06,560.04,2.790,-0.838,1
10,41,car,993.98,777.78,0.218,0.113,1
10,59,person,570.09,543.75,-1.312,-0.223,1
10,60,car,269.05,344.53,-1.393,-1.822,1
10,70,person,1765.17,609.30,-0.010,0.070,1
10,77,car,1491.10,483.05,0.118,-0.062,1
10,89,car,1603.62,545.27,0.570,-0.153,1
10,95,car,1049.16,275.96,2.612,-0.960,1
10,99,car,1320.67,1016.01,6.248,0.412,1
10,100,car,1008.13,926.97,2.199,0.218,1
10,114,car,818.57,122.26,1.827,-1.557,1
10,121,car,1550.08,562.20,1.242,-0.179,1
10,123,car,1777.60,436.53,0.312,-0.080,1
10,141,car,1634.21,539.15,0.224,-0.046,1
11,6,car,1060.06,997.26,7.691,0.166,1
11,8,car,860.79,941.66,3.701,-0.523,1
11,30,car,954.18,560.00,2.790,-0.838,1
11,41,car,993.99,777.78,0.218,0.113,1
11,59,person,570.03,543.74,-1.312,-0.223,1
11,60,car,265.89,339.54,-1.636,-2.148,1
11,70,person,1765.17,609.31,-0.010,0.070,1
11,77,car,1491.11,483.05,0.118,-0.062,1
11,89,car,1603.64,545.27,0.570,-0.153,1
11,95,car,1069.83,283.27,4.346,-0.424,1
11,99,car,1320.93,1016.03,6.248,0.412,1
11,100,car,1008.22,926.98,2.199,0.218,1
11,107,car,1760.00,564.73,0.006,-0.038,1
11,112,car,1062.98,288.70,0.059,-0.424,1
11,114,car,835.07,123.32,3.450,-1.449,1
11,121,car,1550.13,562.20,1.242,-0.179,1
11,123,car,1777.61,436.52,0.312,-0.080,1
11,138,car,1897.05,565.00,-0.125,-0.033,1
11,139,car,1466.24,563.21,0.232,-0.072,1
11,141,car,1634.22,539.15,0.224,-0.046,1
11,150,car,1098.69,918.22,0.151,0.194,1
11,158,person,554.19,541.02,-0.106,-0.036,1
12,6,car,1060.38,997.27,7.691,0.166,1
12,8,car,860.95,941.64,3.701,-0.523,1
12,14,car,1740.01,802.47,0.049,0.211,1
12,26,car,1839.63,774.92,0.174,1.239,1
12,30,car,954.30,559.97,2.790,-0.838,1
12,41,car,994.00,777.79,0.218,0.113,1
12,59,person,569.98,543.73,-1.312,-0.223,1
12,60,car,262.51,333.93,-1.902,-2.514,1
12,70,person,1765.17,609.31,-0.010,0.070,1
12,77,car,1491.11,483.04,0.118,-0.062,1
12,89,car,1603.66,545.26,0.570,-0.153,1
12,95,car,1075.11,284.35,4.795,-0.345,1
12,99,car,1321.19,1016.04,6.248,0.412,1
12,100,car,1008.31,926.98,2.199,0.218,1
12,107,car,1760.00,564.72,0.006,-0.038,1
12,112,car,1065.51,281.42,0.232,-0.818,1
12,114,car,835.21,123.26,3.450,-1.449,1
12,121,car,1550.18,562.19,1.242,-0.179,1
12,123,car,1777.62,436.52,0.312,-0.080,1
12,138,car,1897.04,565.00,-0.125,-0.033,1
12,139,car,1466.25,563.21,0.232,-0.072,1
12,141,car,1634.23,539.15,0.224,-0.046,1
12,150,car,1105.66,925.46,0.505,0.565,1
12,158,person,548.82,540.38,-0.320,-0.069,1
12,161,car,835.39,1030.31,0.841,0.145,1
12,174,car,1194.53,542.33,0.136,-0.055,1
12,176,car,1089.48,507.54,0.164,-0.061,1
12,177,car,880.17,420.04,-0.011,-0.094,1
13,6,car,1060.70,997.28,7.691,0.166,1
13,8,car,1029.95,967.45,28.686,1.729,1
13,14,car,1740.01,802.48,0.049,0.211,1
13,26,car,1838.60,779.14,0.102,1.637,1
13,30,car,941.99,554.11,2.227,-1.184,1
13,41,car,994.01,777.79,0.218,0.113,1
13,59,person,569.92,543.72,-1.312,-0.223,1
13,60,car,258.74,327.43,-2.207,-2.939,1
13,70,person,1765.17,609.31,-0.010,0.070,1
13,77,car,1491.12,483.04,0.118,-0.062,1
13,89,car,1603.69,545.26,0.570,-0.153,1
13,95,car,1095.18,264.91,6.523,-1.741,1
13,99,car,1321.45,1016.06,6.248,0.412,1
13,100,car,1008.41,926.99,2.199,0.218,1
13,107,car,1760.00,564.72,0.006,-0.038,1
13,112,car,1065.52,281.38,0.232,-0.818,1
13,114,car,862.00,119.07,6.653,-1.871,1
13,121,car,1550.23,562.18,1.242,-0.179,1
13,123,car,1777.64,436.52,0.312,-0.080,1
13,138,car,1897.04,565.00,-0.125,-0.033,1
13,139,car,1466.26,563.20,0.232,-0.072,1
13,141,car,1634.23,539.15,0.224,-0.046,1
13,150,car,1105.68,925.49,0.505,0.565,1
13,158,person,548.81,540.38,-0.320,-0.069,1
13,161,car,835.42,1030.32,0.841,0.145,1
13,174,car,1194.53,542.33,0.136,-0.055,1
13,176,car,1089.49,507.53,0.164,-0.061,1
13,177,car,880.17,420.03,-0.011,-0.094,1
13,188,car,1832.50,870.83,0.066,0.011,1
13,198,car,1667.00,530.85,0.198,-0.053,1
14,6,car,1061.02,997.28,7.691,0.166,1
14,8,car,1070.01,970.13,36.504,1.962,1
14,14,car,1740.01,802.49,0.049,0.211,1
14,26,car,1838.61,779.21,0.102,1.637,1
14,30,car,942.08,554.06,2.227,-1.184,1
14,41,car,994.02,777.80,0.218,0.113,1
14,59,person,569.87,543.71,-1.312,-0.223,1
14,60,car,254.82,321.84,-2.535,-3.310,1
14,70,person,1765.17,609.31,-0.010,0.070,1
14,77,car,1491.12,483.04,0.118,-0.062,1
14,89,car,1603.71,545.25,0.570,-0.153,1
14,95,car,1115.71,276.01,8.431,-0.865,1
14,99,car,1321.71,1016.08,6.248,0.412,1
14,100,car,1008.50,927.00,2.199,0.218,1
14,107,car,1760.00,564.72,0.006,-0.038,1
14,112,car,1070.23,266.22,0.627,-1.785,1
14,114,car,862.27,118.99,6.653,-1.871,1
14,121,car,1550.29,562.17,1.242,-0.179,1
14,123,car,1777.65,436.51,0.312,-0.080,1
14,138,car,1897.03,565.00,-0.125,-0.033,1
14,139,car,1466.26,563.20,0.232,-0.072,1
14,141,car,1634.24,539.14,0.224,-0.046,1
14,150,car,1105.70,925.51,0.505,0.565,1
14,157,car,1530.98,470.85,0.067,-0.022,1
14,158,person,548.80,540.38,-0.320,-0.069,1
14,161,car,835.46,1030.32,0.841,0.145,1
14,174,car,1194.54,542.33,0.136,-0.055,1
14,176,car,1089.50,507.53,0.164,-0.061,1
14,177,car,880.17,420.03,-0.011,-0.094,1
14,188,car,1833.45,871.87,0.117,0.065,1
14,198,car,1667.01,530.85,0.198,-0.053,1
14,201,car,1016.74,556.69,-2.069,-0.842,1
14,203,car,1713.01,479.39,0.283,-0.042,1
14,205,car,644.35,314.45,-0.030,-0.183,1
14,220,car,1583.33,549.35,0.141,-0.020,1
15,6,car,1061.34,997.29,7.691,0.166,1
15,8,car,1089.73,971.33,41.702,2.064,1
15,14,car,1740.01,802.50,0.049,0.211,1
15,26,car,1838.61,779.28,0.102,1.637,1
15,30,car,942.18,554.01,2.227,-1.184,1
15,41,car,994.02,777.80,0.218,0.113,1
15,59,person,569.81,543.70,-1.312,-0.223,1
15,60,car,251.47,317.86,-2.822,-3.575,1
15,70,person,1765.17,609.32,-0.010,0.070,1
15,77,car,1491.13,483.04,0.118,-0.062,1
15,80,car,425.14,758.15,-0.190,0.017,1
15,89,car,1603.74,545.24,0.570,-0.153,1
15,95,car,1118.22,279.06,8.649,-0.627,1
15,99,car,1321.97,1016.10,6.248,0.412,1
15,100,car,1008.59,927.01,2.199,0.218,1
15,107,car,1760.00,564.72,0.006,-0.038,1
15,112,car,1070.25,266.15,0.627,-1.785,1
15,114,car,862.55,118.91,6.653,-1.871,1
15,121,car,1550.34,562.17,1.242,-0.179,1
15,123,car,1777.66,436.51,0.312,-0.080,1
15,138,car,1897.03,564.99,-0.125,-0.033,1
15,139,car,1466.27,563.20,0.232,-0.072,1
15,141,car,1634.25,539.14,0.224,-0.046,1
15,150,car,1105.72,925.53,0.505,0.565,1
15,157,car,1530.99,470.85,0.067,-0.022,1
15,158,person,548.78,540.37,-0.320,-0.069,1
15,161,car,835.49,1030.33,0.841,0.145,1
15,174,car,1194.55,542.33,0.136,-0.055,1
15,176,car,1089.50,507.53,0.164,-0.061,1
15,177,car,880.16,420.02,-0.011,-0.094,1
15,188,car,1834.10,873.19,0.159,0.145,1
15,198,car,1667.02,530.85,0.198,-0.053,1
15,201,car,1015.56,550.60,-2.140,-1.237,1
15,203,car,1713.02,479.39,0.283,-0.042,1
15,205,car,644.34,314.44,-0.030,-0.183,1
15,220,car,1583.34,549.35,0.141,-0.020,1
15,241,person,529.19,535.36,-0.075,-0.029,1
16,6,car,1061.66,997.30,7.691,0.166,1
16,8,car,1113.77,973.33,49.320,2.243,1
16,14,car,1740.02,802.51,0.049,0.211,1
16,26,car,1838.61,779.35,0.102,1.637,1
16,30,car,942.27,553.96,2.227,-1.184,1
16,41,car,994.03,777.81,0.218,0.113,1
16,59,person,569.76,543.69,-1.312,-0.223,1
16,60,car,247.71,312.35,-3.153,-3.938,1
16,70,person,1765.17,609.32,-0.010,0.070,1
16,77,car,1491.13,483.03,0.118,-0.062,1
16,80,car,418.50,758.06,-0.611,0.012,1
16,89,car,1603.76,545.24,0.570,-0.153,1
16,91,car,1141.64,510.07,-0.382,-0.217,1
16,95,car,1127.16,281.17,9.516,-0.464,1
16,99,car,1322.23,1016.11,6.248,0.412,1
16,100,car,1008.68,927.02,2.199,0.218,1
16,107,car,1760.00,564.72,0.006,-0.038,1
16,112,car,1070.28,266.08,0.627,-1.785,1
16,114,car,862.83,118.83,6.653,-1.871,1
16,121,car,1550.39,562.16,1.242,-0.179,1
16,123,car,1777.68,436.51,0.312,-0.080,1
16,138,car,1897.02,564.99,-0.125,-0.033,1
16,139,car,1466.28,563.19,0.232,-0.072,1
16,141,car,1634.26,539.14,0.224,-0.046,1
16,150,car,1105.75,925.56,0.505,0.565,1
16,157,car,1530.99,470.85,0.067,-0.022,1
16,158,person,548.77,540.37,-0.320,-0.069,1
16,161,car,835.53,1030.33,0.841,0.145,1
16,174,car,1194.55,542.32,0.136,-0.055,1
16,176,car,1089.51,507.53,0.164,-0.061,1
16,177,car,880.16,420.02,-0.011,-0.094,1
16,188,car,1834.11,873.20,0.159,0.145,1
16,198,car,1667.03,530.84,0.198,-0.053,1
16,201,car,1015.80,547.38,-2.115,-1.485,1
16,203,car,1713.04,479.39,0.283,-0.042,1
16,205,car,644.34,314.43,-0.030,-0.183,1
16,220,car,1583.34,549.35,0.141,-0.020,1
16,223,car,1688.96,428.18,0.161,0.311,1
16,241,person,522.73,532.96,-0.358,-0.153,1
16,255,car,1871.18,742.91,0.159,-0.316,1
17,6,car,1061.98,997.30,7.691,0.166,1
17,8,car,1146.36,975.65,60.836,2.457,1
17,14,car,1741.28,805.49,0.139,0.606,1
17,26,car,1845.58,776.58,0.822,1.261,1
17,30,car,942.36,553.91,2.227,-1.184,1
17,41,car,994.04,777.81,0.218,0.113,1
17,43,car,49.26,819.80,-1.946,2.399,1
17,59,person,569.70,543.68,-1.312,-0.223,1
17,60,car,243.48,306.22,-3.539,-4.336,1
17,70,person,1765.17,609.32,-0.010,0.070,1
17,77,car,1491.14,483.03,0.118,-0.062,1
17,80,car,418.48,758.06,-0.611,0.012,1
17,89,car,1603.78,545.23,0.570,-0.153,1
17,91,car,1141.63,510.06,-0.382,-0.217,1
17,95,car,1127.56,281.15,9.516,-0.464,1
17,99,car,1322.49,1016.13,6.248,0.412,1
17,100,car,1008.77,927.03,2.199,0.218,1
17,107,car,1760.00,564.72,0.006,-0.038,1
17,112,car,1070.30,266.00,0.627,-1.785,1
17,114,car,863.11,118.75,6.653,-1.871,1
17,121,car,1550.44,562.15,1.242,-0.179,1
17,123,car,1777.69,436.50,0.312,-0.080,1
17,138,car,1897.02,564.99,-0.125,-0.033,1
17,139,car,1466.29,563.19,0.232,-0.072,1
17,141,car,1634.27,539.14,0.224,-0.046,1
17,150,car,1105.77,925.58,0.505,0.565,1
17,157,car,1530.99,470.85,0.067,-0.022,1
17,158,person,548.76,540.37,-0.320,-0.069,1
17,161,car,835.56,1030.34,0.841,0.145,1
17,174,car,1194.56,542.32,0.136,-0.055,1
17,176,car,1089.52,507.52,0.164,-0.061,1
17,177,car,880.16,420.02,-0.011,-0.094,1
17,188,car,1834.12,873.21,0.159,0.145,1
17,198,car,1667.03,530.84,0.198,-0.053,1
17,201,car,1014.35,544.64,-2.221,-1.707,1
17,203,car,1713.05,479.38,0.283,-0.042,1
17,205,car,644.34,314.42,-0.030,-0.183,1
17,211,car,1640.27,954.28,0.241,0.181,1
17,220,car,1583.35,549.35,0.141,-0.020,1
17,223,car,1693.08,436.16,0.407,0.779,1
17,241,person,515.40,530.52,-0.665,-0.292,1
17,255,car,1871.19,742.90,0.159,-0.316,1
17,257,car,1658.05,604.14,0.106,0.058,1
17,273,car,1066.56,810.71,0.051,0.028,1
18,6,car,1062.30,997.31,7.691,0.166,1
18,8,car,1184.45,977.78,75.640,2.660,1
18,14,car,1739.82,806.81,0.034,0.784,1
18,26,car,1846.51,777.83,0.918,1.417,1
18,30,car,942.45,553.86,2.227,-1.184,1
18,41,car,994.05,777.82,0.218,0.113,1
18,43,car,49.18,819.90,-1.946,2.399,1
18,59,person,569.65,543.67,-1.312,-0.223,1
