frame,track_id,label,cx,cy,vx,vy,confirmed
3,7,person,934.79,951.17,0.057,0.019,1
3,8,person,920.50,951.34,0.026,0.063,1
3,10,car,1069.00,907.19,0.105,0.073,1
3,11,car,1181.95,923.87,0.153,0.118,1
3,12,car,1450.36,878.20,0.095,0.048,1
3,14,person,1127.59,854.64,0.089,0.070,1
3,16,car,1412.78,840.33,0.196,0.089,1
3,19,car,1110.97,828.82,0.130,0.062,1
3,27,person,1003.66,722.95,0.122,-0.097,1
3,37,person,1074.05,536.50,0.084,0.000,1
3,65,car,358.66,338.85,0.045,0.038,1
3,74,person,1012.74,255.54,0.052,-0.055,1
4,7,person,934.79,951.17,0.057,0.019,1
4,8,person,920.50,951.34,0.026,0.063,1
4,10,car,1069.00,907.19,0.105,0.073,1
4,11,car,1181.96,923.87,0.153,0.118,1
4,12,car,1450.36,878.20,0.095,0.048,1
4,13,person,1225.75,821.50,0.107,0.027,1
4,14,person,1134.36,857.36,0.342,0.180,1
4,16,car,1421.39,843.34,0.601,0.232,1
4,19,car,1110.97,828.82,0.130,0.062,1
4,27,person,1006.42,723.94,0.307,-0.044,1
4,37,person,1074.05,536.50,0.084,0.000,1
4,65,car,358.67,338.85,0.045,0.038,1
4,74,person,1012.75,255.54,0.052,-0.055,1
4,115,person,956.33,78.23,0.144,-0.083,1
4,141,car,1555.18,657.88,0.174,0.041,1
4,147,car,1192.33,569.84,0.114,0.011,1
4,150,car,1413.10,518.58,0.063,-0.124,1
4,160,car,1738.00,535.00,0.001,0.028,1
4,166,person,1259.46,491.39,0.129,-0.222,1
5,7,person,934.79,951.17,0.057,0.019,1
5,8,person,920.50,951.34,0.026,0.063,1
5,10,car,1069.01,907.20,0.105,0.073,1
5,11,car,1181.96,923.87,0.153,0.118,1
5,12,car,1450.37,878.21,0.095,0.048,1
5,13,person,1225.76,821.50,0.107,0.027,1
5,14,person,1134.37,857.37,0.342,0.180,1
5,16,car,1421.41,843.35,0.601,0.232,1
5,19,car,1110.98,828.83,0.130,0.062,1
5,27,person,1006.43,723.94,0.307,-0.044,1
5,37,person,1074.06,536.50,0.084,0.000,1
5,65,car,358.67,338.85,0.045,0.038,1
5,74,person,1012.75,255.54,0.052,-0.055,1
5,115,person,956.34,78.23,0.144,-0.083,1
5,141,car,1555.19,657.88,0.174,0.041,1
5,147,car,1192.34,569.84,0.114,0.011,1
5,150,car,1413.10,518.57,0.063,-0.124,1
5,160,car,1738.00,535.00,0.001,0.028,1
5,166,person,1259.47,491.38,0.129,-0.222,1
6,7,person,934.79,951.17,0.057,0.019,1
6,8,person,920.50,951.34,0.026,0.063,1
6,10,car,1069.01,907.20,0.105,0.073,1
6,11,car,1181.97,923.88,0.153,0.118,1
6,12,car,1450.37,878.21,0.095,0.048,1
6,13,person,1225.76,821.50,0.107,0.027,1
6,14,person,1138.07,861.45,0.494,0.375,1
6,16,car,1421.43,843.36,0.601,0.232,1
6,19,car,1110.98,828.83,0.130,0.062,1
6,27,person,1006.44,723.94,0.307,-0.044,1
6,37,person,1074.06,536.50,0.084,0.000,1
6,65,car,358.67,338.85,0.045,0.038,1
6,74,person,1012.75,255.53,0.052,-0.055,1
6,115,person,957.97,82.80,0.342,0.160,1
6,129,car,1555.99,967.09,1.405,0.992,1
6,141,car,1555.19,657.88,0.174,0.041,1
6,147,car,1197.18,571.79,0.335,0.124,1
6,150,car,1413.10,518.57,0.063,-0.124,1
6,160,car,1750.40,541.56,0.579,0.341,1
6,166,person,1259.47,491.37,0.129,-0.222,1
6,227,person,1005.02,1021.76,0.217,0.033,1
6,229,car,1645.15,944.06,0.363,0.227,1
6,232,car,1195.73,931.68,-0.034,-0.148,1
6,233,car,1635.98,906.50,0.150,0.001,1
6,259,car,1404.50,441.37,0.264,-0.041,1
6,272,person,1072.97,399.00,0.149,0.000,1
6,283,car,1317.23,152.84,0.126,-0.238,1
6,289,car,1479.42,365.18,0.728,-0.372,1
7,7,person,934.80,951.17,0.057,0.019,1
7,8,person,920.50,951.35,0.026,0.063,1
7,10,car,1069.01,907.20,0.105,0.073,1
7,11,car,1181.97,923.88,0.153,0.118,1
7,12,car,1450.37,878.21,0.095,0.048,1
7,13,person,1225.76,821.50,0.107,0.027,1
7,14,person,1146.73,864.33,0.936,0.516,1
7,16,car,1421.45,843.36,0.601,0.232,1
7,19,car,1110.99,828.83,0.130,0.062,1
7,27,person,1013.94,724.77,0.928,0.015,1
7,37,person,1074.06,536.50,0.084,0.000,1
7,65,car,358.67,338.86,0.045,0.038,1
7,74,person,1012.75,255.53,0.052,-0.055,1
7,115,person,957.98,82.80,0.342,0.160,1
7,129,car,1609.20,974.52,5.209,1.479,1
7,141,car,1555.20,657.89,0.174,0.041,1
7,147,car,1197.19,571.79,0.335,0.124,1
7,150,car,1413.11,518.56,0.063,-0.124,1
7,160,car,1754.94,544.16,0.816,0.496,1
7,166,person,1279.14,488.75,1.028,-0.297,1
7,175,person,1455.41,389.70,-0.102,-0.332,1
7,179,person,972.04,618.21,0.113,-1.615,1
7,227,person,1008.94,1023.85,0.665,0.148,1
7,229,car,1645.16,944.06,0.363,0.227,1
7,232,car,1195.73,931.68,-0.034,-0.148,1
7,233,car,1645.68,911.88,0.825,0.352,1
7,259,car,1404.51,441.37,0.264,-0.041,1
7,272,person,1072.98,399.00,0.149,0.000,1
7,283,car,1325.21,149.99,0.446,-0.439,1
7,289,car,1479.44,365.16,0.728,-0.372,1
7,293,car,1749.88,936.14,0.520,0.016,1
7,297,car,1107.24,873.58,0.106,0.062,1
7,302,person,1583.88,839.17,0.200,0.020,1
7,313,car,1229.17,510.83,0.018,-0.018,1
7,325,person,1024.89,251.95,0.068,-0.043,1
7,334,car,1012.49,111.68,0.106,0.034,1
8,7,person,934.80,951.17,0.057,0.019,1
8,8,person,920.50,951.35,0.026,0.063,1
8,10,car,1069.02,907.20,0.105,0.073,1
8,11,car,1181.98,923.89,0.153,0.118,1
8,12,car,1450.38,878.21,0.095,0.048,1
8,13,person,1225.77,821.50,0.107,0.027,1
8,14,person,1146.76,864.35,0.936,0.516,1
8,16,car,1421.48,843.37,0.601,0.232,1
