frame,track_id,label,cx,cy,vx,vy,confirmed
4,5,car,82.65,281.83,-0.683,0.346,1
5,5,car,82.63,281.84,-0.683,0.346,1
6,5,car,82.61,281.85,-0.683,0.346,1
7,5,car,82.58,281.86,-0.683,0.346,1
7,24,person,62.02,300.80,-0.456,0.048,1
7,26,person,17.22,298.10,-0.214,0.075,1
8,5,car,82.56,281.87,-0.683,0.346,1
8,24,person,62.00,300.80,-0.456,0.048,1
8,26,person,17.21,298.10,-0.214,0.075,1
9,5,car,82.54,281.89,-0.683,0.346,1
9,24,person,61.99,300.80,-0.456,0.048,1
9,26,person,17.21,298.10,-0.214,0.075,1
9,30,car,52.62,232.36,-0.314,0.009,1
10,5,car,82.52,281.90,-0.683,0.346,1
10,19,person,35.81,307.81,-0.276,0.483,1
10,24,person,61.97,300.81,-0.456,0.048,1
10,26,person,17.20,298.10,-0.214,0.075,1
10,30,car,52.61,232.36,-0.314,0.009,1
11,5,car,82.49,281.91,-0.683,0.346,1
11,19,person,30.05,308.91,-0.440,0.578,1
11,24,person,61.96,300.81,-0.456,0.048,1
11,26,person,17.19,298.11,-0.214,0.075,1
11,30,car,44.46,234.69,-0.856,0.174,1
12,5,car,82.47,281.92,-0.683,0.346,1
12,19,person,30.03,308.93,-0.440,0.578,1
12,24,person,61.94,300.81,-0.456,0.048,1
12,26,person,17.19,298.11,-0.214,0.075,1
12,30,car,40.46,238.86,-1.192,0.556,1
13,5,car,82.45,281.93,-0.683,0.346,1
13,19,person,30.02,308.95,-0.440,0.578,1
13,24,person,41.93,291.82,-1.702,-0.472,1
13,26,person,17.18,298.11,-0.214,0.075,1
13,30,car,40.42,238.88,-1.192,0.556,1
14,5,car,82.42,281.94,-0.683,0.346,1
14,19,person,38.35,309.78,-0.125,0.675,1
14,24,person,41.87,291.81,-1.702,-0.472,1
14,26,person,17.17,298.11,-0.214,0.075,1
14,30,car,40.38,238.90,-1.192,0.556,1
15,5,car,82.40,281.96,-0.683,0.346,1
15,19,person,31.09,311.22,-0.453,0.853,1
15,24,person,41.82,291.79,-1.702,-0.472,1
15,26,person,17.16,298.12,-0.214,0.075,1
15,30,car,40.34,238.92,-1.192,0.556,1
16,5,car,82.38,281.97,-0.683,0.346,1
16,19,person,31.08,311.25,-0.453,0.853,1
16,24,person,41.76,291.78,-1.702,-0.472,1
16,26,person,17.16,298.12,-0.214,0.075,1
16,30,car,40.31,238.93,-1.192,0.556,1
16,41,car,23.23,246.66,0.049,-0.008,1
17,5,car,82.36,281.98,-0.683,0.346,1
17,19,person,31.06,311.28,-0.453,0.853,1
17,24,person,41.70,291.76,-1.702,-0.472,1
17,26,person,17.15,298.12,-0.214,0.075,1
17,30,car,40.27,238.95,-1.192,0.556,1
17,41,car,21.31,247.50,-0.065,0.028,1
18,5,car,82.33,281.99,-0.683,0.346,1
18,19,person,31.05,311.31,-0.453,0.853,1
18,24,person,41.65,291.74,-1.702,-0.472,1
18,26,person,17.14,298.12,-0.214,0.075,1
18,30,car,40.23,238.97,-1.192,0.556,1
18,41,car,17.34,249.35,-0.328,0.118,1
18,43,car,44.88,333.99,-0.321,0.025,1
