frame,track_id,label,cx,cy,vx,vy,confirmed
3,12,car,333.84,196.17,0.010,-0.077,1
4,12,car,333.84,196.16,0.010,-0.077,1
5,12,car,333.84,196.16,0.010,-0.077,1
6,8,car,315.63,193.73,-0.244,-0.136,1
6,12,car,333.84,196.16,0.010,-0.077,1
7,8,car,315.62,193.72,-0.244,-0.136,1
7,12,car,333.84,196.15,0.010,-0.077,1
8,8,car,315.61,193.72,-0.244,-0.136,1
8,12,car,333.84,196.15,0.010,-0.077,1
9,8,car,315.60,193.71,-0.244,-0.136,1
9,12,car,333.84,196.15,0.010,-0.077,1
9,21,car,116.22,85.49,-0.796,0.016,1
9,62,car,63.09,112.50,-0.096,0.072,1
10,8,car,315.59,193.71,-0.244,-0.136,1
10,12,car,333.84,196.14,0.010,-0.077,1
10,21,car,116.18,85.49,-0.796,0.016,1
10,62,car,63.08,112.50,-0.096,0.072,1
11,8,car,315.58,193.70,-0.244,-0.136,1
11,12,car,333.84,196.14,0.010,-0.077,1
11,21,car,116.15,85.49,-0.796,0.016,1
11,62,car,63.08,112.50,-0.096,0.072,1
11,70,person,218.50,20.46,-0.133,-0.282,1
12,8,car,315.57,193.70,-0.244,-0.136,1
12,12,car,333.84,196.14,0.010,-0.077,1
12,21,car,116.12,85.49,-0.796,0.016,1
12,62,car,63.07,112.51,-0.096,0.072,1
12,70,person,218.50,20.45,-0.133,-0.282,1
13,4,car,613.86,308.70,0.002,-0.005,1
13,8,car,315.56,193.69,-0.244,-0.136,1
13,12,car,333.84,196.13,0.010,-0.077,1
13,21,car,116.08,85.49,-0.796,0.016,1
13,62,car,63.07,112.51,-0.096,0.072,1
13,70,person,218.49,20.44,-0.133,-0.282,1
13,78,car,58.05,136.40,0.024,0.086,1
14,4,car,610.26,306.45,-0.146,-0.070,1
14,8,car,315.55,193.68,-0.244,-0.136,1
14,12,car,333.84,196.13,0.010,-0.077,1
14,21,car,116.05,85.49,-0.796,0.016,1
14,44,car,212.47,15.14,-0.231,0.069,1
14,62,car,63.07,112.51,-0.096,0.072,1
14,70,person,218.48,20.43,-0.133,-0.282,1
14,78,car,58.06,136.40,0.024,0.086,1
15,4,car,610.25,306.45,-0.146,-0.070,1
15,8,car,315.54,193.68,-0.244,-0.136,1
15,12,car,333.84,196.13,0.010,-0.077,1
15,21,car,116.02,85.50,-0.796,0.016,1
15,44,car,212.46,15.14,-0.231,0.069,1
15,62,car,63.06,112.52,-0.096,0.072,1
15,70,person,218.48,20.41,-0.133,-0.282,1
15,78,car,58.06,136.41,0.024,0.086,1
16,4,car,607.58,304.65,-0.247,-0.137,1
16,8,car,318.26,193.51,-0.015,-0.146,1
16,12,car,333.84,196.12,0.010,-0.077,1
16,21,car,115.98,85.50,-0.796,0.016,1
16,44,car,210.66,12.86,-0.376,-0.068,1
16,62,car,63.06,112.52,-0.096,0.072,1
16,70,person,218.47,20.40,-0.133,-0.282,1
16,78,car,58.06,136.41,0.024,0.086,1
17,4,car,607.57,304.64,-0.247,-0.137,1
17,8,car,320.09,193.50,0.242,-0.146,1
17,12,car,333.84,196.12,0.010,-0.077,1
17,21,car,115.95,85.50,-0.796,0.016,1
17,25,car,266.15,32.00,1.370,-0.612,1
17,41,person,595.37,126.93,0.014,0.308,1
17,44,car,210.64,12.85,-0.376,-0.068,1
17,62,car,63.05,112.52,-0.096,0.072,1
17,70,person,218.47,20.39,-0.133,-0.282,1
17,78,car,58.06,136.41,0.024,0.086,1
17,84,car,129.50,131.91,-0.048,-0.073,1
18,4,car,607.56,304.64,-0.247,-0.137,1
18,8,car,320.10,193.50,0.242,-0.146,1
18,12,car,333.84,196.12,0.010,-0.077,1
18,18,car,605.20,111.47,-0.544,-0.330,1
18,21,car,115.92,85.50,-0.796,0.016,1
18,25,car,266.21,31.97,1.370,-0.612,1
18,41,person,595.37,126.94,0.014,0.308,1
18,44,car,210.63,12.85,-0.376,-0.068,1
18,62,car,63.05,112.52,-0.096,0.072,1
18,70,person,218.46,20.38,-0.133,-0.282,1
18,78,car,58.06,136.42,0.024,0.086,1
18,84,car,127.14,133.48,-0.155,0.016,1
18,87,car,63.35,74.20,-0.239,-0.146,1
19,4,car,607.55,304.63,-0.247,-0.137,1
19,8,car,319.65,195.72,0.106,0.061,1
19,18,car,605.17,111.46,-0.544,-0.330,1
19,21,car,115.88,85.50,-0.796,0.016,1
19,25,car,266.27,31.95,1.370,-0.612,1
19,41,person,595.10,122.27,-0.001,0.167,1
19,44,car,210.61,12.85,-0.376,-0.068,1
19,62,car,63.05,112.53,-0.096,0.072,1
19,70,person,218.46,20.37,-0.133,-0.282,1
19,78,car,58.06,136.42,0.024,0.086,1
19,84,car,122.44,133.49,-0.381,0.016,1
19,87,car,63.34,74.19,-0.239,-0.146,1
20,4,car,607.54,304.63,-0.247,-0.137,1
20,8,car,319.56,194.00,0.074,-0.105,1
20,18,car,605.15,111.44,-0.544,-0.330,1
20,21,car,115.85,85.50,-0.796,0.016,1
20,25,car,266.33,31.92,1.370,-0.612,1
20,41,person,595.10,122.28,-0.001,0.167,1
20,44,car,210.59,12.84,-0.376,-0.068,1
20,62,car,63.04,112.53,-0.096,0.072,1
20,70,person,218.45,20.35,-0.133,-0.282,1
20,78,car,58.06,136.42,0.024,0.086,1
20,84,car,122.42,133.49,-0.381,0.016,1
20,87,car,63.33,74.18,-0.239,-0.146,1
20,92,car,271.24,20.94,0.130,0.048,1
21,4,car,607.53,304.62,-0.247,-0.137,1
21,8,car,319.85,195.87,0.184,0.082,1
21,18,car,605.13,111.43,-0.544,-0.330,1
21,21,car,115.82,85.50,-0.796,0.016,1
21,25,car,270.59,27.05,1.741,-1.219,1
21,41,person,595.10,122.29,-0.001,0.167,1
21,44,car,210.58,12.84,-0.376,-0.068,1
21,62,car,63.04,112.53,-0.096,0.072,1
21,70,person,218.45,20.34,-0.133,-0.282,1
21,78,car,58.06,136.43,0.024,0.086,1
21,84,car,122.41,133.50,-0.381,0.016,1
21,87,car,63.32,74.18,-0.239,-0.146,1
21,92,car,271.24,20.94,0.130,0.048,1
21,94,car,51.73,63.82,0.142,-0.108,1
22,4,car,607.52,304.61,-0.247,-0.137,1
22,8,car,319.85,195.87,0.184,0.082,1
22,18,car,605.10,111.42,-0.544,-0.330,1
22,21,car,115.79,85.50,-0.796,0.016,1
22,25,car,270.87,29.00,1.755,-0.948,1
22,41,person,595.10,122.30,-0.001,0.167,1
22,44,car,210.56,12.84,-0.376,-0.068,1
22,62,car,63.03,112.54,-0.096,0.072,1
22,70,person,218.44,20.33,-0.133,-0.282,1
22,78,car,58.06,136.43,0.024,0.086,1
22,84,car,122.39,133.50,-0.381,0.016,1
22,87,car,63.31,74.17,-0.239,-0.146,1
22,92,car,271.25,20.94,0.130,0.048,1
22,94,car,51.74,63.82,0.142,-0.108,1
23,4,car,607.51,304.61,-0.247,-0.137,1
23,8,car,319.86,195.88,0.184,0.082,1
23,18,car,605.08,111.40,-0.544,-0.330,1
23,21,car,115.75,85.50,-0.796,0.016,1
23,25,car,270.94,28.96,1.755,-0.948,1
23,41,person,595.10,122.30,-0.001,0.167,1
23,44,car,210.55,12.84,-0.376,-0.068,1
