frame,track_id,label,cx,cy,vx,vy,confirmed
25,18,car,475.20,386.19,0.026,0.027,1
26,18,car,475.39,388.24,0.038,0.151,1
27,18,car,475.77,391.80,0.067,0.397,1
27,20,car,575.02,397.36,0.546,0.344,1
28,18,car,474.98,394.07,0.002,0.554,1
28,20,car,576.88,400.91,0.715,0.565,1
28,46,person,684.05,398.83,0.072,0.012,1
29,18,car,474.98,394.10,0.002,0.554,1
29,20,car,579.15,402.28,0.937,0.668,1
29,46,person,686.27,400.85,0.216,0.131,1
30,18,car,474.98,394.12,0.002,0.554,1
30,20,car,580.33,403.06,1.061,0.737,1
30,41,car,347.62,371.54,-0.017,0.287,1
30,46,person,688.55,401.58,0.381,0.188,1
31,18,car,474.98,394.14,0.002,0.554,1
31,20,car,582.63,404.29,1.318,0.860,1
31,41,car,346.91,371.52,-0.057,0.284,1
31,46,person,691.20,402.79,0.546,0.294,1
31,48,car,300.63,335.71,-0.015,0.035,1
32,18,car,474.98,394.17,0.002,0.554,1
32,20,car,585.08,406.66,1.609,1.129,1
32,41,car,346.97,374.83,-0.054,0.599,1
32,46,person,694.15,404.19,0.720,0.434,1
32,48,car,300.63,335.71,-0.015,0.035,1
33,18,car,474.98,394.19,0.002,0.554,1
33,20,car,588.23,408.52,2.026,1.390,1
33,41,car,346.96,374.85,-0.054,0.599,1
33,46,person,696.01,405.67,0.848,0.602,1
33,48,car,300.63,335.71,-0.015,0.035,1
34,18,car,474.98,394.21,0.002,0.554,1
34,20,car,588.31,408.58,2.026,1.390,1
34,41,car,346.96,374.88,-0.054,0.599,1
34,46,person,696.04,405.69,0.848,0.602,1
34,48,car,300.63,335.72,-0.015,0.035,1
35,18,car,474.98,394.24,0.002,0.554,1
35,20,car,588.40,408.64,2.026,1.390,1
35,41,car,346.96,374.90,-0.054,0.599,1
35,46,person,696.08,405.72,0.848,0.602,1
35,48,car,300.63,335.72,-0.015,0.035,1
35,58,car,467.33,242.32,0.011,0.042,1
36,18,car,474.98,394.26,0.002,0.554,1
36,20,car,588.48,408.70,2.026,1.390,1
36,41,car,346.96,374.93,-0.054,0.599,1
36,46,person,696.11,405.74,0.848,0.602,1
36,48,car,300.63,335.72,-0.015,0.035,1
36,58,car,467.75,243.06,0.032,0.078,1
36,60,car,709.62,409.67,0.049,0.055,1
36,62,car,309.01,379.14,-0.032,0.018,1
37,18,car,474.98,394.28,0.002,0.554,1
37,20,car,588.57,408.76,2.026,1.390,1
37,41,car,346.95,374.95,-0.054,0.599,1
37,46,person,696.15,405.77,0.848,0.602,1
37,48,car,300.63,335.72,-0.015,0.035,1
37,58,car,466.06,243.94,-0.064,0.127,1
37,60,car,713.08,410.86,0.225,0.127,1
37,61,car,343.87,385.85,-0.050,0.072,1
37,62,car,309.00,379.98,-0.032,0.053,1
38,18,car,474.98,394.30,0.002,0.554,1
38,20,car,588.65,408.81,2.026,1.390,1
38,41,car,346.95,374.98,-0.054,0.599,1
38,46,person,696.18,405.79,0.848,0.602,1
38,48,car,300.63,335.72,-0.015,0.035,1
38,58,car,465.72,245.20,-0.081,0.194,1
38,60,car,713.09,410.87,0.225,0.127,1
38,61,car,343.01,387.75,-0.097,0.146,1
38,62,car,308.07,381.82,-0.085,0.133,1
39,18,car,474.98,394.33,0.002,0.554,1
39,20,car,588.74,408.87,2.026,1.390,1
39,41,car,346.95,375.00,-0.054,0.599,1
39,46,person,696.22,405.82,0.848,0.602,1
39,48,car,300.63,335.72,-0.015,0.035,1
39,58,car,465.89,245.99,-0.073,0.233,1
39,60,car,713.10,410.87,0.225,0.127,1
39,61,car,343.00,387.76,-0.097,0.146,1
39,62,car,307.40,384.67,-0.126,0.251,1
40,18,car,474.98,394.35,0.002,0.554,1
40,20,car,588.82,408.93,2.026,1.390,1
40,41,car,346.95,375.03,-0.054,0.599,1
40,46,person,696.25,405.84,0.848,0.602,1
40,48,car,300.62,335.72,-0.015,0.035,1
40,58,car,466.26,247.24,-0.055,0.295,1
40,60,car,713.11,410.88,0.225,0.127,1
40,61,car,343.00,387.76,-0.097,0.146,1
40,62,car,305.92,386.73,-0.220,0.337,1
40,64,person,291.51,349.55,-0.031,0.039,1
41,18,car,474.98,394.37,0.002,0.554,1
41,20,car,588.90,408.99,2.026,1.390,1
41,41,car,346.95,375.05,-0.054,0.599,1
41,46,person,696.29,405.87,0.848,0.602,1
41,48,car,300.62,335.73,-0.015,0.035,1
41,58,car,467.02,247.71,-0.020,0.317,1
41,60,car,713.12,410.88,0.225,0.127,1
41,61,car,342.99,387.77,-0.097,0.146,1
41,62,car,305.05,389.05,-0.273,0.431,1
41,64,person,290.89,351.35,-0.060,0.100,1
42,18,car,474.98,394.40,0.002,0.554,1
42,20,car,588.99,409.05,2.026,1.390,1
42,41,car,346.94,375.08,-0.054,0.599,1
42,46,person,696.33,405.89,0.848,0.602,1
42,48,car,300.62,335.73,-0.015,0.035,1
42,58,car,467.32,249.11,-0.007,0.380,1
42,60,car,713.12,410.89,0.225,0.127,1
42,61,car,342.99,387.77,-0.097,0.146,1
42,62,car,304.40,392.13,-0.311,0.559,1
42,64,person,289.73,353.60,-0.118,0.182,1
43,18,car,474.98,394.42,0.002,0.554,1
43,20,car,589.07,409.10,2.026,1.390,1
43,41,car,346.94,375.10,-0.054,0.599,1
43,46,person,696.36,405.92,0.848,0.602,1
43,48,car,300.62,335.73,-0.015,0.035,1
43,58,car,467.74,250.28,0.012,0.431,1
43,60,car,713.13,410.89,0.225,0.127,1
43,61,car,342.99,387.78,-0.097,0.146,1
43,62,car,302.92,394.25,-0.399,0.652,1
43,64,person,288.98,355.69,-0.154,0.259,1
44,20,car,589.16,409.16,2.026,1.390,1
44,41,car,346.94,375.13,-0.054,0.599,1
44,46,person,696.40,405.94,0.848,0.602,1
44,48,car,300.62,335.73,-0.015,0.035,1
44,58,car,467.74,250.29,0.012,0.431,1
44,60,car,713.14,410.90,0.225,0.127,1
44,61,car,342.98,387.79,-0.097,0.146,1
44,62,car,302.04,396.84,-0.450,0.760,1
44,64,person,288.08,357.41,-0.195,0.319,1
44,66,car,339.00,405.57,0.000,0.142,1
45,20,car,589.24,409.22,2.026,1.390,1
45,41,car,346.94,375.15,-0.054,0.599,1
45,46,person,696.43,405.97,0.848,0.602,1
45,48,car,300.62,335.73,-0.015,0.035,1
45,58,car,469.01,253.70,0.068,0.577,1
45,60,car,713.15,410.90,0.225,0.127,1
45,61,car,342.98,387.79,-0.097,0.146,1
45,62,car,301.08,398.79,-0.503,0.837,1
45,64,person,287.41,359.63,-0.224,0.397,1
45,66,car,338.69,407.83,-0.015,0.297,1
46,20,car,589.33,409.28,2.026,1.390,1
46,41,car,346.93,375.18,-0.054,0.599,1
46,46,person,696.47,405.99,0.848,0.602,1
46,48,car,300.62,335.73,-0.015,0.035,1
46,58,car,469.32,254.87,0.082,0.630,1
46,60,car,713.16,410.91,0.225,0.127,1
46,61,car,342.97,387.80,-0.097,0.146,1
46,62,car,300.10,401.07,-0.558,0.924,1
46,64,person,285.93,362.02,-0.286,0.479,1
46,66,car,337.96,408.87,-0.053,0.385,1
47,20,car,589.41,409.33,2.026,1.390,1
47,41,car,346.93,375.20,-0.054,0.599,1
47,46,person,696.50,406.02,0.848,0.602,1
47,58,car,470.05,255.89,0.114,0.677,1
47,60,car,713.17,410.91,0.225,0.127,1
47,61,car,342.97,387.80,-0.097,0.146,1
47,62,car,299.11,403.79,-0.610,1.021,1
47,64,person,284.74,364.18,-0.335,0.555,1
47,65,person,465.00,382.17,0.001,0.120,1
47,66,car,337.96,408.89,-0.053,0.385,1
47,70,person,210.52,390.31,-0.031,0.041,1
48,20,car,589.50,409.39,2.026,1.390,1
48,46,person,696.54,406.04,0.848,0.602,1
48,58,car,470.64,257.19,0.140,0.734,1
48,60,car,713.18,410.92,0.225,0.127,1
48,61,car,342.96,387.81,-0.097,0.146,1
48,62,car,297.80,406.09,-0.678,1.101,1
48,64,person,283.35,368.07,-0.391,0.689,1
48,65,person,465.00,382.18,0.001,0.120,1
48,66,car,337.95,408.91,-0.053,0.385,1
48,70,person,209.27,393.54,-0.088,0.196,1
49,58,car,470.65,257.22,0.140,0.734,1
49,60,car,713.19,410.92,0.225,0.127,1
49,61,car,342.96,387.82,-0.097,0.146,1
49,62,car,296.67,408.21,-0.736,1.175,1
49,64,person,282.21,371.06,-0.436,0.783,1
49,65,person,465.00,382.18,0.001,0.120,1
49,66,car,337.95,408.92,-0.053,0.385,1
49,70,person,208.17,395.93,-0.147,0.311,1
50,58,car,470.65,257.25,0.140,0.734,1
50,60,car,713.20,410.93,0.225,0.127,1
50,61,car,342.96,387.82,-0.097,0.146,1
50,62,car,295.94,409.98,-0.773,1.239,1
50,64,person,280.84,374.39,-0.489,0.881,1
50,65,person,465.00,382.19,0.001,0.120,1
50,66,car,337.95,408.94,-0.053,0.385,1
50,68,car,480.80,254.46,0.050,0.048,1
50,70,person,206.79,398.73,-0.232,0.442,1
50,73,car,368.15,353.95,-0.015,0.091,1
51,58,car,470.66,257.28,0.140,0.734,1
51,60,car,713.21,410.93,0.225,0.127,1
51,61,car,342.95,387.83,-0.097,0.146,1
51,62,car,295.04,411.29,-0.818,1.294,1
51,64,person,279.38,376.61,-0.547,0.942,1
51,65,person,465.00,382.19,0.001,0.120,1
51,66,car,337.95,408.95,-0.053,0.385,1
51,68,car,481.23,255.72,0.070,0.107,1
51,70,person,206.78,398.74,-0.232,0.442,1
51,73,car,367.74,356.47,-0.045,0.251,1
51,75,car,717.11,87.52,0.147,-0.033,1
52,58,car,470.66,257.31,0.140,0.734,1
52,60,car,713.22,410.94,0.225,0.127,1
52,61,car,342.95,387.84,-0.097,0.146,1
52,62,car,294.06,412.72,-0.870,1.366,1
52,64,person,278.21,379.01,-0.593,1.007,1
52,65,person,465.00,382.20,0.001,0.120,1
52,66,car,337.94,408.97,-0.053,0.385,1
52,68,car,482.94,256.83,0.160,0.166,1
52,70,person,204.03,401.46,-0.415,0.567,1
52,73,car,367.28,358.35,-0.083,0.387,1
52,75,car,717.12,87.52,0.147,-0.033,1
53,58,car,470.67,257.34,0.140,0.734,1
53,61,car,342.94,387.84,-0.097,0.146,1
53,62,car,294.03,412.78,-0.870,1.366,1
53,64,person,278.19,379.05,-0.593,1.007,1
53,65,person,465.00,382.20,0.001,0.120,1
53,66,car,337.94,408.99,-0.053,0.385,1
53,68,car,489.11,256.63,0.487,0.154,1
53,70,person,204.02,401.49,-0.415,0.567,1
53,73,car,367.28,358.36,-0.083,0.387,1
53,75,car,717.12,87.52,0.147,-0.033,1
54,58,car,470.68,257.37,0.140,0.734,1
54,62,car,292.54,415.18,-0.953,1.531,1
54,64,person,275.87,384.09,-0.686,1.145,1
54,65,person,465.00,382.21,0.001,0.120,1
54,66,car,337.94,409.00,-0.053,0.385,1
54,68,car,487.27,259.27,0.405,0.284,1
54,70,person,204.00,401.51,-0.415,0.567,1
54,73,car,367.28,358.38,-0.083,0.387,1
54,75,car,717.13,87.52,0.147,-0.033,1
54,77,car,753.67,73.85,0.088,-0.024,1
55,58,car,470.68,257.40,0.140,0.734,1
55,62,car,292.50,415.25,-0.953,1.531,1
55,64,person,274.37,387.24,-0.745,1.234,1
55,65,person,465.00,382.21,0.001,0.120,1
55,66,car,337.94,409.02,-0.053,0.385,1
55,68,car,494.28,258.48,0.716,0.245,1
55,70,person,203.98,401.53,-0.415,0.567,1
55,73,car,365.88,365.93,-0.202,0.956,1
55,75,car,717.14,87.52,0.147,-0.033,1
55,76,person,463.67,407.30,0.022,0.078,1
55,77,car,756.12,73.31,0.228,-0.053,1
56,58,car,470.69,257.43,0.140,0.734,1
56,62,car,292.46,415.31,-0.953,1.531,1
56,64,person,272.57,389.25,-0.817,1.289,1
56,65,person,465.00,382.22,0.001,0.120,1
56,66,car,337.94,409.03,-0.053,0.385,1
56,68,car,494.31,258.49,0.716,0.245,1
56,70,person,203.96,401.56,-0.415,0.567,1
56,73,car,365.96,369.13,-0.195,1.178,1
56,75,car,717.14,87.51,0.147,-0.033,1
56,76,person,463.67,407.30,0.022,0.078,1
56,77,car,756.13,73.31,0.228,-0.053,1
57,58,car,470.69,257.46,0.140,0.734,1
57,62,car,292.42,415.37,-0.953,1.531,1
57,64,person,271.27,391.58,-0.869,1.353,1
57,65,person,465.00,382.22,0.001,0.120,1
57,66,car,337.93,409.05,-0.053,0.385,1
57,68,car,494.34,258.50,0.716,0.245,1
57,70,person,203.95,401.58,-0.415,0.567,1
57,73,car,365.36,371.85,-0.246,1.358,1
57,75,car,717.15,87.51,0.147,-0.033,1
57,76,person,463.67,407.30,0.022,0.078,1
57,77,car,756.14,73.31,0.228,-0.053,1
58,58,car,470.70,257.50,0.140,0.734,1
58,62,car,292.39,415.44,-0.953,1.531,1
58,64,person,270.16,394.96,-0.915,1.448,1
58,65,person,465.00,382.23,0.001,0.120,1
58,66,car,337.93,409.07,-0.053,0.385,1
58,68,car,494.37,258.52,0.716,0.245,1
58,70,person,203.93,401.61,-0.415,0.567,1
58,73,car,364.52,375.65,-0.319,1.601,1
58,75,car,717.15,87.51,0.147,-0.033,1
58,76,person,463.67,407.31,0.022,0.078,1
58,77,car,756.14,73.31,0.228,-0.053,1
58,81,car,544.83,238.83,0.044,-0.055,1
59,58,car,470.70,257.53,0.140,0.734,1
59,62,car,292.35,415.50,-0.953,1.531,1
59,64,person,268.83,397.16,-0.967,1.508,1
59,65,person,465.00,382.23,0.001,0.120,1
59,66,car,337.93,409.08,-0.053,0.385,1
59,68,car,494.40,258.53,0.716,0.245,1
59,70,person,203.91,401.63,-0.415,0.567,1
59,73,car,364.50,377.41,-0.319,1.703,1
59,75,car,717.16,87.51,0.147,-0.033,1
59,76,person,463.67,407.31,0.022,0.078,1
59,77,car,756.15,73.30,0.228,-0.053,1
59,81,car,545.56,239.81,0.082,-0.017,1
59,82,car,773.47,68.63,0.251,-0.019,1
60,58,car,470.71,257.56,0.140,0.734,1
60,62,car,292.31,415.56,-0.953,1.531,1
60,64,person,267.99,398.94,-1.000,1.558,1
60,65,person,465.00,382.24,0.001,0.120,1
60,66,car,337.93,409.10,-0.053,0.385,1
60,68,car,494.43,258.54,0.716,0.245,1
60,70,person,203.90,401.65,-0.415,0.567,1
60,73,car,363.57,381.57,-0.393,1.961,1
60,75,car,717.17,87.51,0.147,-0.033,1
60,76,person,463.67,407.31,0.022,0.078,1
60,77,car,756.16,73.30,0.228,-0.053,1
60,81,car,546.76,240.21,0.153,-0.004,1
60,82,car,775.02,69.84,0.340,0.058,1
61,58,car,470.72,257.59,0.140,0.734,1
61,62,car,292.27,415.63,-0.953,1.531,1
61,64,person,266.14,400.57,-1.072,1.607,1
61,65,person,465.00,382.24,0.001,0.120,1
61,66,car,337.92,409.11,-0.053,0.385,1
61,68,car,494.46,258.55,0.716,0.245,1
61,70,person,203.88,401.68,-0.415,0.567,1
61,73,car,362.30,384.29,-0.488,2.113,1
61,75,car,717.17,87.51,0.147,-0.033,1
61,76,person,463.67,407.32,0.022,0.078,1
61,77,car,756.17,73.30,0.228,-0.053,1
61,80,car,490.68,271.58,0.142,0.312,1
61,81,car,548.46,242.19,0.261,0.051,1
61,82,car,776.21,70.24,0.401,0.083,1
62,58,car,470.72,257.62,0.140,0.734,1
62,62,car,292.23,415.69,-0.953,1.531,1
62,64,person,264.50,401.81,-1.133,1.648,1
62,65,person,465.00,382.25,0.001,0.120,1
62,68,car,494.49,258.56,0.716,0.245,1
62,70,person,203.86,401.70,-0.415,0.567,1
62,73,car,361.80,386.90,-0.524,2.251,1
62,75,car,717.18,87.51,0.147,-0.033,1
62,76,person,463.67,407.32,0.022,0.078,1
62,77,car,756.18,73.30,0.228,-0.053,1
62,80,car,492.13,273.71,0.224,0.445,1
62,81,car,549.73,242.97,0.343,0.069,1
62,82,car,777.59,70.40,0.463,0.093,1
