frame,track_id,label,cx,cy,vx,vy,confirmed
2,1,car,218.87,229.95,-0.029,0.010,1
2,2,pedestrian,303.65,204.18,0.013,0.002,1
2,4,pedestrian,324.63,196.35,-0.000,0.002,1
2,5,car,503.26,202.79,0.020,-0.007,1
2,6,car,366.53,214.70,0.056,0.014,1
3,1,car,216.52,229.91,-0.134,0.008,1
3,2,pedestrian,303.67,203.74,0.013,-0.017,1
3,3,car,429.61,230.33,0.017,-0.154,1
3,4,pedestrian,324.52,193.79,-0.006,-0.135,1
3,5,car,503.14,201.69,0.016,-0.051,1
3,6,car,366.54,214.70,0.056,0.014,1
3,8,car,412.25,196.72,0.024,-0.071,1
3,9,pedestrian,14.78,190.86,0.014,-0.015,1
3,10,pedestrian,627.78,206.84,-0.076,0.008,1
3,11,people,626.17,205.83,-0.073,-0.015,1
3,12,people,609.46,188.49,-0.037,-0.022,1
4,1,car,215.09,229.79,-0.209,0.002,1
4,2,pedestrian,303.48,203.42,0.002,-0.032,1
4,3,car,428.34,233.10,-0.032,-0.056,1
4,4,pedestrian,324.52,193.79,-0.006,-0.135,1
4,5,car,503.80,200.59,0.047,-0.100,1
4,6,car,366.54,214.70,0.056,0.014,1
4,8,car,411.43,196.21,-0.004,-0.112,1
4,9,pedestrian,15.26,190.79,0.035,-0.018,1
4,10,pedestrian,625.28,205.96,-0.187,-0.028,1
4,11,people,624.80,205.33,-0.129,-0.035,1
4,12,people,608.51,187.12,-0.071,-0.078,1
4,13,pedestrian,585.42,208.06,-0.017,0.200,1
5,1,car,214.26,229.57,-0.254,-0.010,1
5,2,pedestrian,303.48,203.42,0.002,-0.032,1
5,3,car,427.79,234.29,-0.056,-0.005,1
5,4,pedestrian,324.95,187.97,0.017,-0.479,1
5,6,car,367.38,214.22,0.091,-0.013,1
5,8,car,410.77,195.87,-0.031,-0.148,1
5,9,pedestrian,15.18,191.70,0.032,0.020,1
5,10,pedestrian,626.00,204.13,-0.160,-0.110,1
5,11,people,622.85,203.82,-0.207,-0.102,1
5,12,people,608.11,185.29,-0.090,-0.166,1
5,13,pedestrian,585.42,208.07,-0.017,0.200,1
6,1,car,213.61,229.44,-0.290,-0.017,1
6,3,car,427.79,234.29,-0.056,-0.005,1
6,4,pedestrian,323.60,187.44,-0.061,-0.515,1
6,6,car,367.39,214.22,0.091,-0.013,1
6,8,car,410.77,195.86,-0.031,-0.148,1
6,10,pedestrian,625.99,204.12,-0.160,-0.110,1
6,11,people,622.84,203.82,-0.207,-0.102,1
6,12,people,608.10,185.28,-0.090,-0.166,1
6,13,pedestrian,585.42,208.08,-0.017,0.200,1
6,16,people,226.31,187.50,-0.036,-0.018,1
7,3,car,427.78,234.29,-0.056,-0.005,1
7,4,pedestrian,324.41,186.44,-0.006,-0.585,1
7,6,car,369.72,213.80,0.184,-0.039,1
7,8,car,409.90,195.94,-0.068,-0.138,1
7,10,pedestrian,625.99,204.12,-0.160,-0.110,1
7,11,people,622.84,203.81,-0.207,-0.102,1
7,12,people,607.28,179.00,-0.137,-0.506,1
7,13,pedestrian,585.42,208.08,-0.017,0.200,1
7,16,people,226.92,186.89,-0.002,-0.041,1
7,17,people,613.76,186.67,0.020,-0.270,1
7,18,people,601.45,221.27,0.042,0.130,1
8,3,car,424.18,233.40,-0.235,-0.050,1
8,4,pedestrian,324.41,186.42,-0.006,-0.585,1
8,6,car,369.72,213.80,0.184,-0.039,1
8,8,car,407.21,196.12,-0.184,-0.116,1
8,10,pedestrian,625.98,204.12,-0.160,-0.110,1
8,11,people,622.83,203.81,-0.207,-0.102,1
8,12,people,607.27,178.98,-0.137,-0.506,1
8,13,pedestrian,585.42,208.09,-0.017,0.200,1
8,16,people,226.92,186.89,-0.002,-0.041,1
8,17,people,613.76,186.66,0.020,-0.270,1
8,18,people,601.56,223.35,0.045,0.213,1
8,22,pedestrian,532.40,185.97,-0.024,0.089,1
9,3,car,424.07,235.00,-0.240,0.025,1
9,4,pedestrian,324.69,184.52,0.011,-0.730,1
9,6,car,373.63,213.32,0.317,-0.070,1
9,8,car,407.78,196.22,-0.159,-0.104,1
9,10,pedestrian,625.97,204.11,-0.160,-0.110,1
9,11,people,622.82,203.81,-0.207,-0.102,1
9,12,people,607.27,178.97,-0.137,-0.506,1
9,13,pedestrian,585.41,208.10,-0.017,0.200,1
9,16,people,226.92,186.89,-0.002,-0.041,1
9,17,people,613.76,186.65,0.020,-0.270,1
9,18,people,601.56,223.36,0.045,0.213,1
9,21,bicycle,460.65,118.06,-0.012,0.009,1
9,22,pedestrian,532.94,185.99,-0.001,0.090,1
10,3,car,423.12,235.03,-0.289,0.027,1
10,4,pedestrian,323.75,185.61,-0.047,-0.633,1
10,6,car,376.37,213.00,0.392,-0.090,1
10,8,car,407.99,196.17,-0.149,-0.109,1
10,10,pedestrian,619.34,202.04,-0.430,-0.217,1
10,11,people,622.82,203.80,-0.207,-0.102,1
10,12,people,605.05,179.65,-0.261,-0.457,1
10,13,pedestrian,585.41,208.10,-0.017,0.200,1
10,15,truck,150.38,136.36,0.322,-0.305,1
10,16,people,226.92,186.89,-0.002,-0.041,1
10,17,people,614.71,201.30,0.061,1.248,1
10,18,people,601.73,231.19,0.052,0.551,1
10,21,bicycle,460.44,117.93,-0.022,0.003,1
10,22,pedestrian,532.15,186.74,-0.041,0.123,1
10,24,car,204.46,229.36,-0.163,0.002,1
11,3,car,423.24,235.02,-0.282,0.026,1
11,4,pedestrian,323.27,185.55,-0.076,-0.636,1
