frame,track_id,label,cx,cy,vx,vy,confirmed
2,1,car,425.34,217.84,-0.004,0.000,1
2,2,car,218.46,229.92,-0.080,0.001,1
2,3,car,93.33,282.02,-0.191,0.001,1
2,4,car,364.71,204.95,0.005,-0.003,1
2,5,person,542.40,215.57,0.003,0.005,1
2,6,person,604.84,224.34,-0.000,0.000,1
2,7,car,497.26,203.37,0.002,0.001,1
2,8,person,580.31,215.73,0.004,-0.004,1
2,9,car,287.06,194.67,-0.009,-0.009,1
2,10,person,112.89,195.24,-0.004,0.009,1
3,1,car,425.15,217.59,-0.012,-0.011,1
3,2,car,215.25,229.42,-0.213,-0.020,1
3,3,car,90.23,282.06,-0.354,0.003,1
3,4,car,364.94,204.51,0.014,-0.021,1
3,5,person,542.36,214.86,0.001,-0.026,1
3,6,person,604.05,224.08,-0.029,-0.011,1
3,7,car,497.63,202.70,0.017,-0.026,1
3,8,person,580.53,214.86,0.013,-0.042,1
3,9,car,286.48,194.45,-0.034,-0.018,1
3,10,person,113.38,195.71,0.009,0.027,1
4,1,car,424.68,217.15,-0.035,-0.032,1
4,2,car,211.88,229.04,-0.364,-0.039,1
4,3,car,85.98,281.64,-0.605,-0.018,1
4,4,car,364.87,204.24,0.011,-0.034,1
4,5,person,542.31,214.35,-0.001,-0.052,1
4,6,person,603.44,223.72,-0.054,-0.028,1
4,7,car,497.30,202.13,0.001,-0.054,1
4,8,person,580.36,214.80,0.005,-0.045,1
4,9,car,286.78,194.47,-0.019,-0.017,1
4,10,person,113.33,198.58,0.008,0.144,1
5,2,car,208.68,229.11,-0.505,-0.035,1
5,3,car,81.99,281.68,-0.865,-0.016,1
5,10,person,113.81,202.46,0.021,0.284,1
6,2,car,206.06,229.00,-0.617,-0.041,1
6,3,car,77.90,283.06,-1.160,0.059,1
6,10,person,113.81,208.11,0.021,0.446,1
7,2,car,204.95,229.31,-0.663,-0.025,1
7,3,car,73.73,284.51,-1.493,0.140,1
7,10,person,114.03,212.90,0.028,0.548,1
8,2,car,203.01,229.44,-0.742,-0.018,1
8,3,car,68.98,285.36,-1.916,0.189,1
8,10,person,112.79,216.14,-0.008,0.601,1
8,11,car,423.24,217.29,-0.020,0.003,1
8,12,person,601.17,220.65,-0.023,-0.015,1
8,13,car,363.95,204.03,-0.024,-0.001,1
8,14,car,496.84,202.10,-0.022,0.007,1
8,15,person,542.66,213.46,-0.000,0.022,1
8,16,car,286.95,193.63,0.011,0.004,1
9,2,car,202.07,229.64,-0.780,-0.008,1
9,3,car,65.65,286.35,-2.249,0.250,1
9,10,person,113.97,217.09,0.025,0.615,1
9,11,car,423.32,217.51,-0.016,0.013,1
9,12,person,600.75,220.42,-0.042,-0.024,1
9,13,car,364.05,204.04,-0.020,-0.001,1
9,14,car,497.01,202.23,-0.015,0.012,1
9,15,person,542.73,212.82,0.002,-0.006,1
9,16,car,286.88,193.49,0.008,-0.002,1
10,2,car,200.17,229.78,-0.859,-0.002,1
10,3,car,61.07,287.43,-2.761,0.320,1
10,10,person,114.70,216.86,0.045,0.611,1
10,11,car,422.46,217.55,-0.058,0.014,1
10,12,person,600.64,220.87,-0.047,-0.002,1
10,13,car,363.63,204.09,-0.041,0.002,1
10,14,car,496.64,202.36,-0.033,0.019,1
10,15,person,543.14,212.68,0.023,-0.013,1
10,16,car,284.62,193.58,-0.115,0.002,1
11,2,car,198.31,229.85,-0.936,0.002,1
11,3,car,56.56,288.06,-3.333,0.361,1
11,10,person,115.22,216.51,0.060,0.606,1
11,16,car,282.27,193.26,-0.238,-0.014,1
12,2,car,196.26,230.11,-1.023,0.014,1
12,3,car,51.65,289.04,-4.049,0.429,1
12,10,person,114.04,213.82,0.026,0.567,1
12,16,car,281.88,193.28,-0.256,-0.013,1
13,2,car,194.55,230.28,-1.094,0.023,1
13,3,car,45.88,290.56,-5.047,0.536,1
13,10,person,113.96,210.22,0.024,0.508,1
13,16,car,281.92,193.49,-0.254,-0.002,1
14,2,car,192.67,230.23,-1.171,0.020,1
14,3,car,40.44,291.57,-6.185,0.609,1
14,10,person,115.11,209.30,0.056,0.490,1
14,16,car,281.51,193.34,-0.271,-0.010,1
