frame,track_id,future_step,future_frame,future_x,future_y,sigma_x,sigma_y
2,1,1,3,425.34,217.84,7.17,6.39
2,1,2,4,425.34,217.84,9.07,8.09
2,1,3,5,425.34,217.84,10.65,9.50
2,1,4,6,425.34,217.84,12.03,10.73
2,1,5,7,425.34,217.84,13.26,11.83
2,1,6,8,425.34,217.84,14.40,12.85
2,1,7,9,425.34,217.84,15.46,13.79
2,1,8,10,425.34,217.84,16.45,14.68
2,1,9,11,425.34,217.84,17.39,15.52
2,1,10,12,425.34,217.84,18.28,16.31
2,1,11,13,425.34,217.84,19.14,17.08
2,1,12,14,425.34,217.84,19.96,17.81
2,1,13,15,425.34,217.84,20.75,18.52
2,1,14,16,425.34,217.84,21.52,19.20
2,1,15,17,425.33,217.84,22.26,19.86
2,2,1,3,218.46,229.92,9.18,6.43
2,2,2,4,218.45,229.92,11.68,8.14
2,2,3,5,218.45,229.92,13.74,9.56
2,2,4,6,218.45,229.92,15.53,10.79
2,2,5,7,218.44,229.92,17.14,11.91
2,2,6,8,218.44,229.92,18.62,12.93
2,2,7,9,218.44,229.92,19.99,13.88
2,2,8,10,218.44,229.92,21.28,14.77
2,2,9,11,218.43,229.92,22.50,15.61
2,2,10,12,218.43,229.92,23.66,16.41
2,2,11,13,218.43,229.92,24.77,17.18
2,2,12,14,218.43,229.92,25.84,17.92
2,2,13,15,218.42,229.92,26.87,18.63
2,2,14,16,218.42,229.92,27.86,19.32
2,2,15,17,218.42,229.92,28.82,19.98
2,3,1,3,93.32,282.02,11.95,9.73
2,3,2,4,93.32,282.02,15.12,12.33
2,3,3,5,93.31,282.02,17.75,14.48
2,3,4,6,93.30,282.02,20.04,16.36
2,3,5,7,93.30,282.02,22.11,18.04
2,3,6,8,93.29,282.02,24.00,19.59
2,3,7,9,93.28,282.02,25.76,21.03
2,3,8,10,93.28,282.02,27.42,22.38
2,3,9,11,93.27,282.02,28.99,23.66
2,3,10,12,93.27,282.02,30.48,24.88
2,3,11,13,93.26,282.02,31.91,26.04
2,3,12,14,93.25,282.02,33.28,27.16
2,3,13,15,93.25,282.02,34.60,28.24
2,3,14,16,93.24,282.02,35.88,29.28
2,3,15,17,93.23,282.02,37.12,30.29
2,4,1,3,364.71,204.95,2.69,3.61
2,4,2,4,364.71,204.95,3.41,4.57
2,4,3,5,364.71,204.95,4.01,5.37
2,4,4,6,364.71,204.95,4.53,6.06
2,4,5,7,364.71,204.95,4.99,6.69
2,4,6,8,364.71,204.95,5.42,7.26
2,4,7,9,364.71,204.95,5.82,7.80
2,4,8,10,364.71,204.95,6.20,8.30
2,4,9,11,364.71,204.95,6.55,8.77
2,4,10,12,364.71,204.95,6.89,9.22
2,4,11,13,364.71,204.95,7.21,9.66
2,4,12,14,364.71,204.95,7.52,10.07
2,4,13,15,364.71,204.95,7.82,10.47
2,4,14,16,364.71,204.95,8.11,10.86
2,4,15,17,364.71,204.95,8.39,11.23
2,5,1,3,542.40,215.57,3.20,8.07
2,5,2,4,542.40,215.57,4.05,10.22
2,5,3,5,542.40,215.57,4.76,11.99
2,5,4,6,542.40,215.57,5.37,13.54
2,5,5,7,542.40,215.58,5.92,14.94
2,5,6,8,542.40,215.58,6.43,16.22
2,5,7,9,542.40,215.58,6.90,17.41
2,5,8,10,542.40,215.58,7.35,18.53
2,5,9,11,542.40,215.58,7.77,19.58
2,5,10,12,542.40,215.58,8.17,20.59
2,5,11,13,542.40,215.58,8.55,21.56
2,5,12,14,542.40,215.58,8.92,22.48
2,5,13,15,542.40,215.58,9.27,23.37
2,5,14,16,542.40,215.58,9.61,24.24
2,5,15,17,542.40,215.58,9.94,25.07
2,6,1,3,604.84,224.34,4.36,9.27
2,6,2,4,604.84,224.34,5.54,11.76
2,6,3,5,604.84,224.34,6.51,13.81
2,6,4,6,604.84,224.34,7.36,15.60
2,6,5,7,604.84,224.34,8.12,17.21
2,6,6,8,604.84,224.34,8.82,18.68
2,6,7,9,604.84,224.34,9.46,20.05
2,6,8,10,604.84,224.34,10.07,21.34
2,6,9,11,604.84,224.34,10.65,22.56
2,6,10,12,604.84,224.34,11.20,23.73
2,6,11,13,604.84,224.34,11.72,24.84
2,6,12,14,604.84,224.34,12.22,25.90
2,6,13,15,604.84,224.34,12.71,26.93
