frame,track_id,label,cx,cy,vx,vy,confirmed
2,2,pedestrian,609.01,231.31,0.000,0.000,1
2,3,pedestrian,538.74,221.97,-0.000,0.000,1
2,4,pedestrian,323.04,192.59,-0.000,0.000,1
2,5,pedestrian,583.03,214.56,-0.000,-0.000,1
2,6,pedestrian,300.63,198.47,-0.000,-0.000,1
2,7,pedestrian,117.74,201.76,0.000,-0.000,1
2,10,pedestrian,562.44,222.78,-0.000,0.000,1
2,12,pedestrian,531.20,198.09,0.000,-0.000,1
2,13,pedestrian,60.55,191.70,0.000,0.000,1
2,14,pedestrian,257.34,200.98,-0.000,-0.000,1
3,2,pedestrian,611.29,231.49,0.000,0.000,1
3,3,pedestrian,535.51,224.07,-0.000,0.000,1
3,4,pedestrian,323.45,191.60,0.000,-0.000,1
3,5,pedestrian,581.77,207.75,-0.000,-0.000,1
3,6,pedestrian,302.19,196.91,0.000,-0.000,1
3,7,pedestrian,117.80,208.84,0.000,0.000,1
3,10,pedestrian,565.65,227.38,-0.000,0.000,1
3,11,pedestrian,66.27,172.83,-0.000,-0.000,1
3,12,pedestrian,531.07,192.00,-0.000,-0.000,1
3,13,pedestrian,60.32,186.92,0.000,-0.000,1
3,14,pedestrian,257.27,201.09,-0.000,-0.000,1
3,20,pedestrian,234.18,201.92,0.000,0.000,1
4,2,pedestrian,609.36,230.98,0.000,0.000,1
4,3,pedestrian,535.22,223.15,-0.000,0.000,1
4,4,pedestrian,323.32,191.07,-0.000,-0.000,1
4,5,pedestrian,581.14,204.50,-0.000,-0.000,1
4,6,pedestrian,302.19,196.91,0.000,-0.000,1
4,7,pedestrian,117.64,213.06,0.000,0.000,1
4,10,pedestrian,564.82,226.19,-0.000,0.000,1
4,11,pedestrian,66.27,172.83,-0.000,-0.000,1
4,12,pedestrian,530.73,204.96,-0.000,0.000,1
4,13,pedestrian,60.36,184.65,0.000,-0.000,1
4,14,pedestrian,257.27,201.09,-0.000,-0.000,1
4,18,pedestrian,17.69,216.77,0.001,0.000,1
4,20,pedestrian,234.18,201.92,0.000,0.000,1
5,2,pedestrian,612.70,232.39,0.000,0.000,1
5,3,pedestrian,532.34,226.18,-0.000,0.000,1
5,4,pedestrian,323.32,191.07,-0.000,-0.000,1
5,5,pedestrian,581.52,196.91,-0.000,-0.000,1
5,6,pedestrian,324.67,190.13,0.000,-0.000,1
5,7,pedestrian,118.62,212.93,0.000,0.000,1
5,10,pedestrian,567.91,232.63,0.000,0.000,1
5,11,pedestrian,66.79,172.09,0.000,-0.000,1
5,12,pedestrian,530.49,198.71,-0.000,0.000,1
5,13,pedestrian,59.39,186.85,0.000,-0.000,1
5,14,pedestrian,302.90,197.12,0.000,-0.000,1
5,18,pedestrian,15.80,210.02,0.000,-0.000,1
