frame,track_id,future_step,future_frame,future_x,future_y,sigma_x,sigma_y
2,2,1,3,609.01,231.31,30.45,11.57
2,2,2,4,609.01,231.31,43.06,16.36
2,2,3,5,609.01,231.31,52.74,20.03
2,2,4,6,609.01,231.31,60.90,23.13
2,2,5,7,609.01,231.31,68.09,25.86
2,2,6,8,609.01,231.31,74.59,28.33
2,2,7,9,609.01,231.31,80.56,30.60
2,2,8,10,609.01,231.31,86.13,32.71
2,2,9,11,609.01,231.31,91.35,34.70
2,2,10,12,609.01,231.31,96.29,36.57
2,2,11,13,609.01,231.31,100.99,38.36
2,2,12,14,609.01,231.31,105.48,40.06
2,2,13,15,609.01,231.31,109.79,41.70
2,2,14,16,609.01,231.31,113.93,43.27
2,2,15,17,609.01,231.31,117.93,44.79
2,3,1,3,538.74,221.97,26.94,11.10
2,3,2,4,538.74,221.97,38.10,15.70
2,3,3,5,538.74,221.97,46.66,19.22
2,3,4,6,538.74,221.97,53.87,22.20
2,3,5,7,538.74,221.97,60.23,24.82
2,3,6,8,538.74,221.97,65.98,27.19
2,3,7,9,538.74,221.97,71.27,29.36
2,3,8,10,538.74,221.97,76.19,31.39
2,3,9,11,538.74,221.97,80.81,33.30
2,3,10,12,538.74,221.97,85.18,35.10
2,3,11,13,538.74,221.97,89.34,36.81
2,3,12,14,538.74,221.97,93.31,38.45
2,3,13,15,538.74,221.97,97.12,40.02
2,3,14,16,538.74,221.97,100.79,41.53
2,3,15,17,538.74,221.97,104.33,42.99
2,4,1,3,323.04,192.59,16.15,9.63
2,4,2,4,323.04,192.59,22.84,13.62
2,4,3,5,323.04,192.59,27.98,16.68
2,4,4,6,323.04,192.59,32.30,19.26
2,4,5,7,323.04,192.59,36.12,21.53
2,4,6,8,323.04,192.59,39.56,23.59
2,4,7,9,323.04,192.59,42.73,25.48
2,4,8,10,323.04,192.59,45.69,27.24
2,4,9,11,323.04,192.59,48.46,28.89
2,4,10,12,323.04,192.59,51.08,30.45
2,4,11,13,323.04,192.59,53.57,31.94
2,4,12,14,323.04,192.59,55.95,33.36
2,4,13,15,323.04,192.59,58.24,34.72
2,4,14,16,323.04,192.59,60.44,36.03
2,4,15,17,323.04,192.59,62.56,37.29
2,5,1,3,583.03,214.56,29.15,10.73
2,5,2,4,583.03,214.56,41.23,15.17
2,5,3,5,583.03,214.56,50.49,18.58
2,5,4,6,583.03,214.56,58.30,21.46
2,5,5,7,583.03,214.56,65.18,23.99
2,5,6,8,583.03,214.56,71.41,26.28
2,5,7,9,583.03,214.56,77.13,28.38
2,5,8,10,583.03,214.56,82.45,30.34
2,5,9,11,583.03,214.56,87.45,32.18
2,5,10,12,583.03,214.56,92.19,33.92
2,5,11,13,583.03,214.56,96.68,35.58
2,5,12,14,583.03,214.56,100.98,37.16
2,5,13,15,583.03,214.56,105.11,38.68
2,5,14,16,583.03,214.56,109.07,40.14
2,5,15,17,583.03,214.56,112.90,41.55
2,6,1,3,300.63,198.47,15.03,9.92
2,6,2,4,300.63,198.47,21.26,14.03
2,6,3,5,300.63,198.47,26.04,17.19
2,6,4,6,300.63,198.47,30.06,19.85
2,6,5,7,300.63,198.47,33.61,22.19
2,6,6,8,300.63,198.47,36.82,24.31
2,6,7,9,300.63,198.47,39.77,26.26
2,6,8,10,300.63,198.47,42.52,28.07
2,6,9,11,300.63,198.47,45.09,29.77
2,6,10,12,300.63,198.47,47.53,31.38
2,6,11,13,300.63,198.47,49.85,32.91
2,6,12,14,300.63,198.47,52.07,34.38
2,6,13,15,300.63,198.47,54.20,35.78
2,6,14,16,300.63,198.47,56.24,37.13
2,6,15,17,300.63,198.47,58.22,38.43
2,7,1,3,117.74,201.76,5.89,10.09
2,7,2,4,117.74,201.76,8.33,14.27
2,7,3,5,117.74,201.76,10.20,17.47
2,7,4,6,117.74,201.76,11.77,20.18
2,7,5,7,117.74,201.76,13.16,22.56
2,7,6,8,117.74,201.76,14.42,24.71
2,7,7,9,117.74,201.76,15.58,26.69
2,7,8,10,117.74,201.76,16.65,28.53
2,7,9,11,117.74,201.76,17.66,30.26
2,7,10,12,117.74,201.76,18.62,31.90
2,7,11,13,117.74,201.76,19.53,33.46
2,7,12,14,117.74,201.76,20.39,34.95
2,7,13,15,117.74,201.76,21.23,36.37
2,7,14,16,117.74,201.76,22.03,37.75
2,7,15,17,117.74,201.76,22.80,39.07
2,10,1,3,562.44,222.78,28.12,11.14
2,10,2,4,562.44,222.78,39.77,15.75
2,10,3,5,562.44,222.78,48.71,19.29
2,10,4,6,562.44,222.78,56.24,22.28
2,10,5,7,562.44,222.78,62.88,24.91
2,10,6,8,562.44,222.78,68.88,27.29
2,10,7,9,562.44,222.78,74.40,29.47
2,10,8,10,562.44,222.78,79.54,31.51
2,10,9,11,562.44,222.78,84.37,33.42
2,10,10,12,562.44,222.78,88.93,35.22
2,10,11,13,562.44,222.78,93.27,36.94
2,10,12,14,562.44,222.78,97.42,38.59
2,10,13,15,562.44,222.78,101.39,40.16
2,10,14,16,562.44,222.78,105.22,41.68
2,10,15,17,562.44,222.78,108.92,43.14
2,12,1,3,531.20,198.09,26.56,9.90
2,12,2,4,531.20,198.09,37.56,14.01
2,12,3,5,531.20,198.09,46.00,17.15
2,12,4,6,531.20,198.09,53.12,19.81
2,12,5,7,531.20,198.09,59.39,22.15
2,12,6,8,531.20,198.09,65.06,24.26
2,12,7,9,531.20,198.09,70.27,26.20
2,12,8,10,531.20,198.09,75.12,28.01
2,12,9,11,531.20,198.09,79.68,29.71
2,12,10,12,531.20,198.09,83.99,31.32
2,12,11,13,531.20,198.09,88.09,32.85
