frame,track_id,label,cx,cy,vx,vy,confirmed
4,6,car,78.00,285.50,-0.000,0.000,1
5,6,car,78.00,285.50,-0.000,0.000,1
5,17,person,155.50,325.50,-0.000,0.000,1
6,6,car,78.00,285.50,-0.000,0.000,1
6,17,person,150.00,333.50,-0.000,0.000,1
6,19,person,69.50,299.50,-0.000,0.000,1
6,20,person,18.01,298.00,-0.001,0.000,1
7,6,car,78.00,285.50,-0.000,0.000,1
7,17,person,142.00,335.50,-0.000,0.000,1
7,19,person,57.00,301.50,-0.000,0.000,1
7,20,person,16.01,298.50,-0.001,0.000,1
7,24,car,61.50,234.50,-0.000,0.000,1
8,6,car,49.00,305.50,-0.000,0.000,1
8,17,person,131.50,336.00,-0.000,0.000,1
8,19,person,57.00,301.50,-0.000,0.000,1
8,20,person,16.01,298.50,-0.001,0.000,1
8,24,car,54.00,232.00,-0.000,0.000,1
9,6,car,49.00,305.50,-0.000,0.000,1
9,17,person,124.00,332.00,-0.000,0.000,1
9,19,person,37.00,307.00,-0.001,0.000,1
9,20,person,16.01,298.50,-0.001,0.000,1
9,24,car,50.50,232.50,-0.000,0.000,1
10,6,car,49.00,305.50,-0.000,0.000,1
10,17,person,115.50,328.00,-0.000,0.000,1
10,19,person,34.50,308.50,-0.001,0.000,1
10,20,person,16.01,298.50,-0.001,0.000,1
10,24,car,44.50,227.00,-0.000,0.000,1
11,6,car,49.00,305.50,-0.000,0.000,1
11,17,person,107.00,336.50,-0.000,0.000,1
11,19,person,26.51,309.50,-0.001,0.000,1
11,20,person,16.01,298.50,-0.001,0.000,1
11,24,car,41.50,235.50,-0.000,0.000,1
12,6,car,38.50,241.00,-0.001,-0.000,1
12,17,person,95.00,330.00,-0.000,0.000,1
12,19,person,26.51,309.50,-0.001,0.000,1
12,20,person,12.50,338.50,-0.002,0.000,1
12,24,car,41.50,235.50,-0.000,0.000,1
13,6,car,38.50,241.00,-0.001,-0.000,1
13,17,person,86.50,340.00,-0.000,0.000,1
13,19,person,38.99,290.50,-0.000,-0.000,1
13,20,person,12.50,338.50,-0.002,0.000,1
13,24,car,41.50,235.50,-0.000,0.000,1
14,6,car,24.50,245.50,-0.001,-0.000,1
14,17,person,86.50,340.00,-0.000,0.000,1
14,19,person,40.50,310.00,-0.000,0.000,1
14,20,person,12.50,338.50,-0.002,0.000,1
14,24,car,41.50,235.50,-0.000,0.000,1
15,6,car,18.51,247.00,-0.002,-0.000,1
15,17,person,86.50,340.00,-0.000,0.000,1
15,19,person,27.51,312.00,-0.000,0.000,1
15,20,person,12.50,338.50,-0.002,0.000,1
15,24,car,41.50,235.50,-0.000,0.000,1
16,6,car,24.48,246.50,-0.001,-0.000,1
16,17,person,86.50,340.00,-0.000,0.000,1
16,19,person,27.51,312.00,-0.000,0.000,1
16,20,person,12.50,338.50,-0.002,0.000,1
16,24,car,41.50,235.50,-0.000,0.000,1
17,6,car,20.01,248.00,-0.001,-0.000,1
17,17,person,86.50,340.00,-0.000,0.000,1
17,19,person,27.51,312.00,-0.000,0.000,1
17,20,person,12.50,338.50,-0.002,0.000,1
17,24,car,41.50,235.50,-0.000,0.000,1
18,6,car,15.01,250.50,-0.002,-0.000,1
18,17,person,86.50,340.00,-0.000,0.000,1
18,19,person,27.51,312.00,-0.000,0.000,1
18,20,person,12.50,338.50,-0.002,0.000,1
18,24,car,41.50,235.50,-0.000,0.000,1
18,32,car,41.00,334.50,-0.000,0.000,1
19,6,car,15.01,250.50,-0.002,-0.000,1
19,17,person,86.50,340.00,-0.000,0.000,1
19,19,person,27.51,312.00,-0.000,0.000,1
19,20,person,12.50,338.50,-0.002,0.000,1
19,24,car,41.50,235.50,-0.000,0.000,1
19,32,car,27.51,347.00,-0.001,0.000,1
19,34,car,114.50,230.00,-0.000,0.000,1
20,6,car,15.01,250.50,-0.002,-0.000,1
20,17,person,86.50,340.00,-0.000,0.000,1
20,19,person,27.51,312.00,-0.000,0.000,1
20,20,person,12.50,338.50,-0.002,0.000,1
20,24,car,41.50,235.50,-0.000,0.000,1
20,32,car,19.51,351.50,-0.001,0.000,1
20,33,person,222.50,255.00,-0.000,-0.000,1
20,34,car,114.50,230.00,-0.000,0.000,1
21,6,car,15.01,250.50,-0.002,-0.000,1
21,17,person,86.50,340.00,-0.000,0.000,1
21,19,person,27.51,312.00,-0.000,0.000,1
21,20,person,12.50,338.50,-0.002,0.000,1
21,24,car,41.50,235.50,-0.000,0.000,1
21,32,car,19.00,351.50,-0.001,0.000,1
21,33,person,222.00,260.00,-0.000,0.000,1
21,34,car,114.50,230.00,-0.000,0.000,1
22,6,car,15.01,250.50,-0.002,-0.000,1
22,17,person,86.50,340.00,-0.000,0.000,1
22,19,person,27.51,312.00,-0.000,0.000,1
22,20,person,12.50,338.50,-0.002,0.000,1
22,24,car,41.50,235.50,-0.000,0.000,1
22,32,car,19.00,351.50,-0.001,0.000,1
22,33,person,219.00,260.00,-0.000,0.000,1
22,34,car,119.00,227.50,-0.000,0.000,1
22,35,car,233.00,195.50,-0.000,-0.000,1
23,6,car,15.01,250.50,-0.002,-0.000,1
23,17,person,86.50,340.00,-0.000,0.000,1
23,19,person,27.51,312.00,-0.000,0.000,1
23,20,person,12.50,338.50,-0.002,0.000,1
23,24,car,41.50,235.50,-0.000,0.000,1
23,32,car,19.00,351.50,-0.001,0.000,1
23,33,person,217.50,260.00,-0.000,0.000,1
23,34,car,106.00,235.00,-0.000,0.000,1
23,35,car,233.00,195.50,-0.000,-0.000,1
23,36,car,140.50,194.50,-0.000,0.000,1
24,6,car,15.01,250.50,-0.002,-0.000,1
24,17,person,86.50,340.00,-0.000,0.000,1
24,19,person,27.51,312.00,-0.000,0.000,1
24,20,person,12.50,338.50,-0.002,0.000,1
24,24,car,41.50,235.50,-0.000,0.000,1
24,32,car,19.00,351.50,-0.001,0.000,1
24,33,person,215.50,260.50,-0.000,0.000,1
24,34,car,104.00,231.50,-0.000,0.000,1
24,35,car,227.00,195.50,-0.000,-0.000,1
24,36,car,126.00,198.00,-0.000,0.000,1
24,38,person,603.50,255.00,-0.000,0.000,1
25,6,car,15.01,250.50,-0.002,-0.000,1
25,17,person,86.50,340.00,-0.000,0.000,1
25,19,person,27.51,312.00,-0.000,0.000,1
25,20,person,12.50,338.50,-0.002,0.000,1
25,24,car,41.50,235.50,-0.000,0.000,1
25,32,car,19.00,351.50,-0.001,0.000,1
25,33,person,217.50,260.50,-0.000,0.000,1
25,34,car,115.00,218.50,-0.000,-0.000,1
25,35,car,226.00,195.00,-0.000,-0.000,1
25,36,car,126.00,198.00,-0.000,0.000,1
25,38,person,607.00,263.50,-0.000,0.000,1
26,6,car,15.01,250.50,-0.002,-0.000,1
26,17,person,86.50,340.00,-0.000,0.000,1
26,19,person,27.51,312.00,-0.000,0.000,1
26,20,person,12.50,338.50,-0.002,0.000,1
26,24,car,41.50,235.50,-0.000,0.000,1
26,32,car,19.00,351.50,-0.001,0.000,1
26,33,person,213.00,260.00,-0.000,0.000,1
26,34,car,115.00,218.50,-0.000,-0.000,1
26,35,car,224.50,195.50,-0.000,-0.000,1
26,36,car,114.00,218.50,-0.000,0.000,1
26,38,person,606.00,263.00,-0.000,0.000,1
26,39,car,408.50,258.00,0.000,0.000,1
27,6,car,15.01,250.50,-0.002,-0.000,1
27,17,person,86.50,340.00,-0.000,0.000,1
27,19,person,27.51,312.00,-0.000,0.000,1
27,20,person,12.50,338.50,-0.002,0.000,1
27,32,car,19.00,351.50,-0.001,0.000,1
27,33,person,211.50,261.00,-0.000,0.000,1
27,34,car,112.00,217.50,-0.000,-0.000,1
27,35,car,223.00,202.50,-0.000,0.000,1
27,36,car,114.00,218.50,-0.000,0.000,1
27,38,person,605.50,254.00,-0.000,0.000,1
27,39,car,384.00,258.00,-0.000,0.000,1
28,6,car,15.01,250.50,-0.002,-0.000,1
28,17,person,86.50,340.00,-0.000,0.000,1
28,19,person,27.51,312.00,-0.000,0.000,1
28,32,car,19.00,351.50,-0.001,0.000,1
28,33,person,209.00,261.50,-0.000,0.000,1
28,34,car,112.00,217.50,-0.000,-0.000,1
28,35,car,221.00,202.00,-0.000,0.000,1
28,36,car,122.00,209.50,-0.000,0.000,1
28,38,person,605.50,254.00,-0.000,0.000,1
28,39,car,379.50,259.00,-0.000,0.000,1
29,6,car,15.01,250.50,-0.002,-0.000,1
29,17,person,81.00,269.50,-0.000,-0.000,1
29,19,person,27.51,312.00,-0.000,0.000,1
29,32,car,19.00,351.50,-0.001,0.000,1
29,33,person,207.50,261.50,-0.000,0.000,1
29,34,car,110.00,213.50,-0.000,-0.000,1
29,35,car,220.00,202.00,-0.000,0.000,1
29,36,car,122.00,209.50,-0.000,0.000,1
29,38,person,605.50,254.00,-0.000,0.000,1
29,39,car,384.00,259.00,-0.000,0.000,1
30,6,car,15.01,250.50,-0.002,-0.000,1
30,17,person,79.00,276.00,-0.000,-0.000,1
30,19,person,27.51,312.00,-0.000,0.000,1
30,32,car,19.00,351.50,-0.001,0.000,1
30,33,person,205.50,262.00,-0.000,0.000,1
30,34,car,110.00,213.50,-0.000,-0.000,1
30,35,car,218.50,194.50,-0.000,-0.000,1
30,36,car,129.00,215.50,-0.000,0.000,1
30,38,person,605.50,254.00,-0.000,0.000,1
30,39,car,405.50,260.00,0.000,0.000,1
30,40,car,183.50,234.50,-0.000,0.000,1
31,6,car,15.01,250.50,-0.002,-0.000,1
31,17,person,77.00,268.50,-0.000,-0.000,1
31,32,car,19.00,351.50,-0.001,0.000,1
31,33,person,202.50,262.50,-0.000,0.000,1
31,34,car,106.50,214.00,-0.000,-0.000,1
31,35,car,216.50,202.00,-0.000,0.000,1
31,36,car,129.00,215.50,-0.000,0.000,1
31,38,person,605.50,254.00,-0.000,0.000,1
31,39,car,404.50,261.50,0.000,0.000,1
31,40,car,188.50,235.50,-0.000,0.000,1
31,42,car,362.50,220.00,0.000,-0.000,1
32,6,car,15.01,250.50,-0.002,-0.000,1
