frame,track_id,future_step,future_frame,future_x,future_y,sigma_x,sigma_y
4,6,1,5,78.00,285.50,3.90,14.28
4,6,2,6,78.00,285.50,5.52,20.19
4,6,3,7,78.00,285.50,6.76,24.73
4,6,4,8,78.00,285.50,7.80,28.55
4,6,5,9,78.00,285.50,8.72,31.92
4,6,6,10,78.00,285.50,9.55,34.97
4,6,7,11,78.00,285.50,10.32,37.77
4,6,8,12,78.00,285.50,11.03,40.38
4,6,9,13,78.00,285.50,11.70,42.83
4,6,10,14,78.00,285.50,12.33,45.14
4,6,11,15,78.00,285.50,12.94,47.34
4,6,12,16,78.00,285.50,13.51,49.45
4,6,13,17,78.00,285.50,14.06,51.47
4,6,14,18,78.00,285.50,14.59,53.41
4,6,15,19,78.00,285.50,15.10,55.29
5,6,1,6,78.00,285.50,5.52,20.19
5,6,2,7,78.00,285.50,6.76,24.73
5,6,3,8,78.00,285.50,7.80,28.55
5,6,4,9,78.00,285.50,8.72,31.92
5,6,5,10,78.00,285.50,9.55,34.97
5,6,6,11,78.00,285.50,10.32,37.77
5,6,7,12,78.00,285.50,11.03,40.38
5,6,8,13,78.00,285.50,11.70,42.83
5,6,9,14,78.00,285.50,12.33,45.14
5,6,10,15,78.00,285.50,12.94,47.34
5,6,11,16,78.00,285.50,13.51,49.45
5,6,12,17,78.00,285.50,14.06,51.47
5,6,13,18,78.00,285.50,14.59,53.41
5,6,14,19,78.00,285.50,15.10,55.29
5,6,15,20,78.00,285.50,15.60,57.10
5,17,1,6,155.50,325.50,7.78,16.28
5,17,2,7,155.50,325.50,11.00,23.02
5,17,3,8,155.50,325.50,13.47,28.19
5,17,4,9,155.50,325.50,15.55,32.55
5,17,5,10,155.50,325.50,17.39,36.39
5,17,6,11,155.50,325.50,19.04,39.87
5,17,7,12,155.50,325.50,20.57,43.06
5,17,8,13,155.50,325.50,21.99,46.03
5,17,9,14,155.50,325.50,23.33,48.83
5,17,10,15,155.50,325.50,24.59,51.47
5,17,11,16,155.50,325.50,25.79,53.98
5,17,12,17,155.50,325.50,26.93,56.38
5,17,13,18,155.50,325.50,28.03,58.68
5,17,14,19,155.50,325.50,29.09,60.90
5,17,15,20,155.50,325.50,30.11,63.03
6,6,1,7,78.00,285.50,6.76,24.73
6,6,2,8,78.00,285.50,7.80,28.55
6,6,3,9,78.00,285.50,8.72,31.92
6,6,4,10,78.00,285.50,9.55,34.97
6,6,5,11,78.00,285.50,10.32,37.77
6,6,6,12,78.00,285.50,11.03,40.38
6,6,7,13,78.00,285.50,11.70,42.83
6,6,8,14,78.00,285.50,12.33,45.14
6,6,9,15,78.00,285.50,12.94,47.34
6,6,10,16,78.00,285.50,13.51,49.45
6,6,11,17,78.00,285.50,14.06,51.47
6,6,12,18,78.00,285.50,14.59,53.41
6,6,13,19,78.00,285.50,15.10,55.29
6,6,14,20,78.00,285.50,15.60,57.10
6,6,15,21,78.00,285.50,16.08,58.86
6,17,1,7,150.00,333.50,7.50,16.68
6,17,2,8,150.00,333.50,10.61,23.58
6,17,3,9,150.00,333.50,12.99,28.88
6,17,4,10,150.00,333.50,15.00,33.35
6,17,5,11,150.00,333.50,16.77,37.29
6,17,6,12,150.00,333.50,18.37,40.85
6,17,7,13,150.00,333.50,19.84,44.12
6,17,8,14,150.00,333.50,21.21,47.16
6,17,9,15,150.00,333.50,22.50,50.03
6,17,10,16,150.00,333.50,23.72,52.73
6,17,11,17,150.00,333.50,24.87,55.30
6,17,12,18,150.00,333.50,25.98,57.76
6,17,13,19,150.00,333.50,27.04,60.12
6,17,14,20,150.00,333.50,28.06,62.39
