frame,track_id,label,cx,cy,vx,vy,confirmed
2,2,pedestrian,631.75,204.00,0.000,-0.000,1
2,4,pedestrian,538.65,218.34,0.000,-0.000,1
2,5,pedestrian,583.92,208.85,0.000,0.000,1
2,7,pedestrian,262.76,198.40,0.000,0.000,1
2,8,pedestrian,603.63,226.54,0.000,-0.000,1
2,9,pedestrian,68.92,173.74,0.000,0.000,1
2,10,pedestrian,57.75,191.59,0.000,0.000,1
3,2,pedestrian,631.95,202.68,0.000,-0.000,1
3,3,pedestrian,114.21,200.19,-0.000,-0.000,1
3,4,pedestrian,538.39,217.55,0.000,-0.000,1
3,5,pedestrian,605.81,226.05,0.000,0.000,1
3,7,pedestrian,262.76,198.40,0.000,0.000,1
3,8,pedestrian,627.56,223.78,0.000,-0.000,1
3,9,pedestrian,68.84,167.90,0.000,-0.000,1
3,10,pedestrian,59.80,184.82,0.000,-0.000,1
3,11,pedestrian,542.49,186.26,0.000,0.000,1
3,15,pedestrian,497.90,154.54,-0.000,0.000,1
4,2,pedestrian,631.69,203.02,0.000,-0.000,1
4,3,pedestrian,113.93,204.85,-0.000,0.000,1
4,4,pedestrian,538.16,217.69,0.000,-0.000,1
4,5,pedestrian,608.81,225.51,0.000,0.000,1
4,7,pedestrian,262.76,198.40,0.000,0.000,1
4,8,pedestrian,627.56,223.78,0.000,-0.000,1
4,9,pedestrian,69.26,169.83,0.000,-0.000,1
4,10,pedestrian,59.81,180.84,0.000,-0.000,1
4,11,pedestrian,541.29,184.90,0.000,0.000,1
4,14,pedestrian,582.32,198.54,0.000,0.000,1
4,15,pedestrian,497.90,154.54,-0.000,0.000,1
4,16,pedestrian,484.34,150.89,-0.000,-0.000,1
4,17,pedestrian,566.28,241.17,-0.000,-0.000,1
5,2,pedestrian,631.47,201.48,0.000,-0.000,1
5,3,pedestrian,114.55,209.77,-0.000,0.000,1
5,4,pedestrian,533.17,219.31,-0.000,-0.000,1
5,5,pedestrian,608.04,225.75,0.000,0.000,1
5,7,pedestrian,242.51,196.41,-0.000,-0.000,1
5,8,pedestrian,627.56,223.78,0.000,-0.000,1
5,9,pedestrian,69.38,167.28,0.000,-0.000,1
5,10,pedestrian,62.56,176.49,0.000,-0.000,1
5,11,pedestrian,541.29,184.90,0.000,0.000,1
5,14,pedestrian,583.31,196.89,0.000,0.000,1
5,15,pedestrian,497.90,154.54,-0.000,0.000,1
5,16,pedestrian,484.34,150.89,-0.000,-0.000,1
5,17,pedestrian,565.73,241.14,-0.000,-0.000,1
5,19,awning-tricycle,282.48,193.22,0.000,-0.000,1
6,2,pedestrian,631.47,201.48,0.000,-0.000,1
6,3,pedestrian,113.59,214.39,-0.000,0.000,1
6,4,pedestrian,533.91,222.30,-0.000,0.000,1
6,5,pedestrian,606.75,225.76,0.000,0.000,1
6,7,pedestrian,244.24,196.92,-0.000,-0.000,1
6,8,pedestrian,627.56,223.78,0.000,-0.000,1
6,9,pedestrian,69.38,167.28,0.000,-0.000,1
6,10,pedestrian,62.56,176.49,0.000,-0.000,1
6,11,pedestrian,532.00,187.31,-0.000,0.000,1
6,12,pedestrian,267.97,193.95,-0.000,-0.000,1
6,14,pedestrian,583.82,198.36,0.000,0.000,1
6,15,pedestrian,543.15,178.09,0.000,0.000,1
6,16,pedestrian,484.34,150.89,-0.000,-0.000,1
6,17,pedestrian,565.93,241.01,-0.000,-0.000,1
6,19,awning-tricycle,282.68,193.18,0.000,-0.000,1
7,2,pedestrian,631.47,201.48,0.000,-0.000,1
7,3,pedestrian,112.67,215.24,-0.000,0.000,1
7,4,pedestrian,534.82,221.64,-0.000,0.000,1
7,5,pedestrian,606.90,225.81,0.000,0.000,1
7,7,pedestrian,245.40,197.30,-0.000,-0.000,1
7,8,pedestrian,627.56,223.78,0.000,-0.000,1
7,9,pedestrian,69.38,167.28,0.000,-0.000,1
7,10,pedestrian,62.56,176.49,0.000,-0.000,1
7,11,pedestrian,532.00,187.31,-0.000,0.000,1
7,12,pedestrian,267.41,193.95,-0.000,-0.000,1
7,14,pedestrian,584.58,197.32,0.000,0.000,1
7,15,pedestrian,543.15,178.09,0.000,0.000,1
7,16,pedestrian,484.34,150.89,-0.000,-0.000,1
7,19,awning-tricycle,283.00,193.63,0.000,-0.000,1
8,2,pedestrian,561.24,222.25,-0.000,0.000,1
8,3,pedestrian,112.98,217.25,-0.000,0.000,1
8,4,pedestrian,536.27,218.89,-0.000,-0.000,1
8,5,pedestrian,605.00,230.58,0.000,0.000,1
8,7,pedestrian,245.40,197.30,-0.000,-0.000,1
8,8,pedestrian,566.07,244.20,-0.000,0.000,1
8,9,pedestrian,69.38,167.28,0.000,-0.000,1
8,10,pedestrian,62.56,176.49,0.000,-0.000,1
8,11,pedestrian,582.74,196.21,0.000,0.000,1
8,12,pedestrian,265.03,192.97,-0.000,-0.000,1
8,14,pedestrian,615.29,194.82,0.000,0.000,1
8,15,pedestrian,541.55,182.65,0.000,0.000,1
8,16,pedestrian,483.87,149.61,-0.000,-0.000,1
8,19,awning-tricycle,282.17,193.20,0.000,-0.000,1
9,2,pedestrian,561.24,222.25,-0.000,0.000,1
9,3,pedestrian,115.32,217.02,0.000,0.000,1
9,4,pedestrian,535.40,223.44,-0.000,0.000,1
9,5,pedestrian,605.43,230.06,0.000,0.000,1
9,7,pedestrian,245.40,197.30,-0.000,-0.000,1
9,8,pedestrian,567.22,243.67,-0.000,0.000,1
9,9,pedestrian,69.38,167.28,0.000,-0.000,1
9,10,pedestrian,62.56,176.49,0.000,-0.000,1
9,11,pedestrian,616.31,194.31,0.000,0.000,1
9,12,pedestrian,266.87,194.49,-0.000,0.000,1
9,14,pedestrian,634.03,196.60,0.000,0.000,1
9,15,pedestrian,604.86,186.14,0.000,0.000,1
9,16,pedestrian,483.87,149.61,-0.000,-0.000,1
10,2,pedestrian,561.64,221.88,-0.000,0.000,1
10,3,pedestrian,114.99,215.82,0.000,0.000,1
10,4,pedestrian,534.84,222.74,-0.000,0.000,1
10,5,pedestrian,605.98,227.04,0.000,0.000,1
10,7,pedestrian,265.96,193.35,0.000,-0.000,1
10,8,pedestrian,568.52,252.93,-0.000,0.000,1
10,9,pedestrian,68.72,164.89,0.000,-0.000,1
10,10,pedestrian,62.56,176.49,0.000,-0.000,1
10,11,pedestrian,616.31,194.31,0.000,0.000,1
10,12,pedestrian,266.87,194.49,-0.000,0.000,1
10,14,pedestrian,634.03,196.60,0.000,0.000,1
10,15,pedestrian,604.86,186.14,0.000,0.000,1
10,16,pedestrian,486.27,154.51,0.000,0.000,1
11,2,pedestrian,561.39,222.23,-0.000,0.000,1
11,3,pedestrian,116.09,217.27,0.000,0.000,1
11,4,pedestrian,533.77,223.48,-0.000,0.000,1
11,5,pedestrian,608.07,227.20,0.000,0.000,1
11,7,pedestrian,265.21,193.28,0.000,-0.000,1
11,8,pedestrian,568.02,252.64,-0.000,0.000,1
11,9,pedestrian,68.72,164.89,0.000,-0.000,1
11,10,pedestrian,67.29,184.03,0.000,-0.000,1
11,11,pedestrian,615.20,193.35,0.000,0.000,1
11,12,pedestrian,266.87,194.49,-0.000,0.000,1
11,14,pedestrian,634.03,196.60,0.000,0.000,1
11,15,pedestrian,602.67,184.95,0.000,0.000,1
11,16,pedestrian,486.27,154.51,0.000,0.000,1
11,20,pedestrian,57.26,192.90,0.000,0.000,1
11,21,pedestrian,581.77,190.04,-0.000,-0.000,1
11,22,pedestrian,537.82,183.07,-0.000,0.000,1
12,2,pedestrian,561.37,221.41,-0.000,0.000,1
12,3,pedestrian,114.88,215.44,0.000,0.000,1
12,4,pedestrian,533.91,223.36,-0.000,0.000,1
12,5,pedestrian,611.04,228.49,0.000,0.000,1
12,7,pedestrian,262.33,192.39,0.000,-0.000,1
12,8,pedestrian,568.69,251.32,-0.000,0.000,1
12,9,pedestrian,68.72,164.89,0.000,-0.000,1
12,10,pedestrian,67.29,184.03,0.000,-0.000,1
12,11,pedestrian,614.39,193.76,0.000,0.000,1
12,12,pedestrian,228.87,198.70,-0.000,0.000,1
12,14,pedestrian,530.26,199.58,-0.000,0.000,1
12,15,pedestrian,602.67,184.95,0.000,0.000,1
12,16,pedestrian,486.27,154.51,0.000,0.000,1
12,20,pedestrian,57.00,190.24,-0.000,-0.000,1
12,21,pedestrian,581.34,190.04,-0.000,-0.000,1
12,22,pedestrian,538.30,182.21,-0.000,-0.000,1
12,23,awning-tricycle,281.97,192.91,-0.000,0.000,1
13,2,pedestrian,562.32,223.05,-0.000,0.000,1
13,3,pedestrian,114.54,216.03,-0.000,0.000,1
13,4,pedestrian,534.28,223.93,-0.000,0.000,1
13,5,pedestrian,611.21,230.74,0.000,0.000,1
13,7,pedestrian,263.59,192.71,0.000,-0.000,1
13,8,pedestrian,566.93,250.00,-0.000,0.000,1
13,9,pedestrian,68.72,164.89,0.000,-0.000,1
13,10,pedestrian,66.86,183.95,0.000,-0.000,1
13,11,pedestrian,613.34,190.85,0.000,0.000,1
13,12,pedestrian,229.03,199.20,-0.000,0.000,1
13,14,pedestrian,532.71,193.32,-0.000,0.000,1
13,15,pedestrian,602.67,184.95,0.000,0.000,1
13,16,pedestrian,486.27,154.51,0.000,0.000,1
13,20,pedestrian,57.30,191.59,0.000,-0.000,1
13,21,pedestrian,581.44,189.63,-0.000,-0.000,1
13,22,pedestrian,541.50,181.24,0.000,-0.000,1
13,23,awning-tricycle,281.86,193.11,-0.000,0.000,1
14,2,pedestrian,561.63,220.69,-0.000,0.000,1
14,3,pedestrian,116.52,213.43,0.000,0.000,1
14,4,pedestrian,534.09,223.28,-0.000,0.000,1
14,5,pedestrian,590.35,233.47,0.000,0.000,1
14,7,pedestrian,261.95,192.87,0.000,-0.000,1
14,8,pedestrian,564.93,243.05,-0.000,0.000,1
14,9,pedestrian,68.72,164.89,0.000,-0.000,1
14,10,pedestrian,66.98,178.17,0.000,-0.000,1
14,11,pedestrian,610.84,191.04,0.000,0.000,1
14,12,pedestrian,229.03,199.20,-0.000,0.000,1
14,14,pedestrian,531.77,195.21,-0.000,0.000,1
14,15,pedestrian,602.67,184.95,0.000,0.000,1
14,16,pedestrian,486.27,154.51,0.000,0.000,1
14,20,pedestrian,57.24,187.69,0.000,-0.000,1
14,21,pedestrian,580.20,188.24,-0.000,-0.000,1
14,22,pedestrian,541.77,180.76,0.000,-0.000,1
14,23,awning-tricycle,281.62,192.54,-0.000,-0.000,1
15,2,pedestrian,561.69,219.90,-0.000,0.000,1
15,3,pedestrian,116.07,212.72,0.000,0.000,1
15,4,pedestrian,535.80,223.24,-0.000,0.000,1
15,5,pedestrian,591.42,229.82,0.000,0.000,1
15,7,pedestrian,261.19,192.05,0.000,-0.000,1
15,8,pedestrian,570.00,253.06,-0.000,0.000,1
15,9,pedestrian,68.72,164.89,0.000,-0.000,1
15,10,pedestrian,66.98,180.36,0.000,-0.000,1
15,11,pedestrian,607.77,188.66,0.000,0.000,1
15,12,pedestrian,229.03,199.20,-0.000,0.000,1
15,14,pedestrian,562.65,186.72,0.000,-0.000,1
15,15,pedestrian,608.51,226.59,0.000,0.000,1
15,16,pedestrian,486.27,154.51,0.000,0.000,1
15,20,pedestrian,57.39,187.87,0.000,-0.000,1
15,21,pedestrian,579.84,191.83,-0.000,-0.000,1
15,22,pedestrian,538.49,183.20,-0.000,0.000,1
15,24,pedestrian,281.34,193.04,-0.000,-0.000,1
16,2,pedestrian,561.61,223.90,-0.000,0.000,1
16,3,pedestrian,115.60,210.52,0.000,0.000,1
16,4,pedestrian,536.63,222.06,-0.000,0.000,1
16,5,pedestrian,591.42,229.82,0.000,0.000,1
16,7,pedestrian,261.32,193.68,0.000,-0.000,1
16,8,pedestrian,570.00,253.06,-0.000,0.000,1
16,9,pedestrian,88.12,163.12,0.000,-0.000,1
16,10,pedestrian,65.96,180.86,0.000,-0.000,1
16,11,pedestrian,593.44,189.00,0.000,0.000,1
16,12,pedestrian,229.03,199.20,-0.000,0.000,1
16,14,pedestrian,532.68,196.15,-0.000,0.000,1
16,15,pedestrian,605.77,225.99,0.000,0.000,1
16,16,pedestrian,486.27,154.51,0.000,0.000,1
16,20,pedestrian,56.98,189.49,-0.000,-0.000,1
16,21,pedestrian,577.83,193.33,-0.000,0.000,1
16,22,pedestrian,543.04,181.51,0.000,-0.000,1
16,24,pedestrian,276.65,193.88,-0.000,0.000,1
17,2,pedestrian,561.53,221.47,-0.000,0.000,1
17,3,pedestrian,113.82,210.59,-0.000,0.000,1
17,4,pedestrian,538.45,221.39,0.000,0.000,1
17,5,pedestrian,591.42,229.82,0.000,0.000,1
17,7,pedestrian,267.95,195.35,0.000,-0.000,1
17,8,pedestrian,570.00,253.06,-0.000,0.000,1
17,9,pedestrian,88.12,163.12,0.000,-0.000,1
17,10,pedestrian,66.71,178.99,0.000,-0.000,1
17,11,pedestrian,593.44,189.00,0.000,0.000,1
17,12,pedestrian,229.03,199.20,-0.000,0.000,1
17,14,pedestrian,533.37,198.28,-0.000,0.000,1
17,15,pedestrian,605.31,226.75,0.000,0.000,1
17,16,pedestrian,486.27,154.51,0.000,0.000,1
17,20,pedestrian,57.31,192.32,0.000,0.000,1
