frame,track_id,future_step,future_frame,future_x,future_y,sigma_x,sigma_y
2,2,1,3,631.75,204.00,31.59,10.20
2,2,2,4,631.75,204.00,44.67,14.42
2,2,3,5,631.75,204.00,54.71,17.67
2,2,4,6,631.75,204.00,63.18,20.40
2,2,5,7,631.75,204.00,70.63,22.81
2,2,6,8,631.75,204.00,77.37,24.98
2,2,7,9,631.75,204.00,83.57,26.99
2,2,8,10,631.75,204.00,89.34,28.85
2,2,9,11,631.75,204.00,94.76,30.60
2,2,10,12,631.75,204.00,99.89,32.25
2,2,11,13,631.75,204.00,104.76,33.83
2,2,12,14,631.75,204.00,109.42,35.33
2,2,13,15,631.75,204.00,113.89,36.78
2,2,14,16,631.75,204.00,118.19,38.16
2,2,15,17,631.75,204.00,122.34,39.50
2,4,1,3,538.65,218.34,26.93,10.92
2,4,2,4,538.65,218.34,38.09,15.44
2,4,3,5,538.65,218.34,46.65,18.91
2,4,4,6,538.65,218.34,53.87,21.83
2,4,5,7,538.65,218.34,60.22,24.41
2,4,6,8,538.65,218.34,65.97,26.74
2,4,7,9,538.65,218.34,71.26,28.88
2,4,8,10,538.65,218.34,76.18,30.88
2,4,9,11,538.65,218.34,80.80,32.75
2,4,10,12,538.65,218.34,85.17,34.52
2,4,11,13,538.65,218.34,89.33,36.21
2,4,12,14,538.65,218.34,93.30,37.82
2,4,13,15,538.65,218.34,97.11,39.36
2,4,14,16,538.65,218.34,100.77,40.85
2,4,15,17,538.65,218.34,104.31,42.28
2,5,1,3,583.92,208.85,29.20,10.44
2,5,2,4,583.92,208.85,41.29,14.77
2,5,3,5,583.92,208.85,50.57,18.09
2,5,4,6,583.92,208.85,58.39,20.89
2,5,5,7,583.92,208.85,65.28,23.35
2,5,6,8,583.92,208.85,71.52,25.58
2,5,7,9,583.92,208.85,77.25,27.63
2,5,8,10,583.92,208.85,82.58,29.54
2,5,9,11,583.92,208.85,87.59,31.33
2,5,10,12,583.92,208.85,92.33,33.02
2,5,11,13,583.92,208.85,96.83,34.63
2,5,12,14,583.92,208.85,101.14,36.17
2,5,13,15,583.92,208.85,105.27,37.65
2,5,14,16,583.92,208.85,109.24,39.07
2,5,15,17,583.92,208.85,113.08,40.44
2,7,1,3,262.76,198.40,13.14,9.92
2,7,2,4,262.76,198.40,18.58,14.03
2,7,3,5,262.76,198.40,22.76,17.18
2,7,4,6,262.76,198.40,26.28,19.84
2,7,5,7,262.76,198.40,29.38,22.18
2,7,6,8,262.76,198.40,32.18,24.30
2,7,7,9,262.76,198.40,34.76,26.25
2,7,8,10,262.76,198.40,37.16,28.06
2,7,9,11,262.76,198.40,39.41,29.76
2,7,10,12,262.76,198.40,41.55,31.37
2,7,11,13,262.76,198.40,43.57,32.90
2,7,12,14,262.76,198.40,45.51,34.36
2,7,13,15,262.76,198.40,47.37,35.77
2,7,14,16,262.76,198.40,49.16,37.12
2,7,15,17,262.76,198.40,50.88,38.42
2,8,1,3,603.63,226.54,30.18,11.33
2,8,2,4,603.63,226.54,42.68,16.02
2,8,3,5,603.63,226.54,52.28,19.62
2,8,4,6,603.63,226.54,60.36,22.65
2,8,5,7,603.63,226.54,67.49,25.33
2,8,6,8,603.63,226.54,73.93,27.74
2,8,7,9,603.63,226.54,79.85,29.97
2,8,8,10,603.63,226.54,85.37,32.04
2,8,9,11,603.63,226.54,90.54,33.98
2,8,10,12,603.63,226.54,95.44,35.82
2,8,11,13,603.63,226.54,100.10,37.57
2,8,12,14,603.63,226.54,104.55,39.24
2,8,13,15,603.63,226.54,108.82,40.84
2,8,14,16,603.63,226.54,112.93,42.38
2,8,15,17,603.63,226.54,116.89,43.87
2,9,1,3,68.92,173.74,3.45,8.69
2,9,2,4,68.92,173.74,4.87,12.29
2,9,3,5,68.92,173.74,5.97,15.05
2,9,4,6,68.92,173.74,6.89,17.37
2,9,5,7,68.92,173.74,7.71,19.42
2,9,6,8,68.92,173.74,8.44,21.28
2,9,7,9,68.92,173.74,9.12,22.98
2,9,8,10,68.92,173.74,9.75,24.57
2,9,9,11,68.92,173.74,10.34,26.06
2,9,10,12,68.92,173.74,10.90,27.47
2,9,11,13,68.92,173.74,11.43,28.81
2,9,12,14,68.92,173.74,11.94,30.09
2,9,13,15,68.92,173.74,12.43,31.32
2,9,14,16,68.92,173.74,12.89,32.50
2,9,15,17,68.92,173.74,13.35,33.64
2,10,1,3,57.75,191.59,2.89,9.58
2,10,2,4,57.75,191.59,4.08,13.55
2,10,3,5,57.75,191.59,5.00,16.59
2,10,4,6,57.75,191.59,5.77,19.16
2,10,5,7,57.75,191.59,6.46,21.42
2,10,6,8,57.75,191.59,7.07,23.47
2,10,7,9,57.75,191.59,7.64,25.35
2,10,8,10,57.75,191.59,8.17,27.10
2,10,9,11,57.75,191.59,8.66,28.74
2,10,10,12,57.75,191.59,9.13,30.29
2,10,11,13,57.75,191.59,9.58,31.77
2,10,12,14,57.75,191.59,10.00,33.19
2,10,13,15,57.75,191.59,10.41,34.54
2,10,14,16,57.75,191.59,10.80,35.84
2,10,15,17,57.75,191.59,11.18,37.10
3,2,1,4,631.95,202.68,31.60,10.13
3,2,2,5,631.95,202.68,44.69,14.33
3,2,3,6,631.95,202.68,54.73,17.55
3,2,4,7,631.95,202.68,63.20,20.27
3,2,5,8,631.95,202.68,70.65,22.66
3,2,6,9,631.95,202.68,77.40,24.82
3,2,7,10,631.95,202.68,83.60,26.81
3,2,8,11,631.95,202.68,89.37,28.66
3,2,9,12,631.95,202.68,94.79,30.40
3,2,10,13,631.95,202.68,99.92,32.05
3,2,11,14,631.95,202.68,104.80,33.61
3,2,12,15,631.95,202.68,109.46,35.10
3,2,13,16,631.95,202.68,113.93,36.54
3,2,14,17,631.95,202.68,118.23,37.92
3,2,15,18,631.95,202.68,122.38,39.25
3,3,1,4,114.21,200.19,5.71,10.01
3,3,2,5,114.21,200.19,8.08,14.16
3,3,3,6,114.21,200.19,9.89,17.34
3,3,4,7,114.21,200.19,11.42,20.02
3,3,5,8,114.21,200.19,12.77,22.38
3,3,6,9,114.21,200.19,13.99,24.52
3,3,7,10,114.21,200.19,15.11,26.48
3,3,8,11,114.21,200.19,16.15,28.31
3,3,9,12,114.21,200.19,17.13,30.03
3,3,10,13,114.21,200.19,18.06,31.65
3,3,11,14,114.21,200.19,18.94,33.20
3,3,12,15,114.21,200.19,19.78,34.67
3,3,13,16,114.21,200.19,20.59,36.09
3,3,14,17,114.21,200.19,21.37,37.45
3,3,15,18,114.21,200.19,22.12,38.77
3,4,1,4,538.39,217.55,26.92,10.88
3,4,2,5,538.39,217.55,38.07,15.38
3,4,3,6,538.39,217.55,46.63,18.84
3,4,4,7,538.39,217.55,53.84,21.76
3,4,5,8,538.39,217.55,60.19,24.32
3,4,6,9,538.39,217.55,65.94,26.64
3,4,7,10,538.39,217.55,71.22,28.78
3,4,8,11,538.39,217.55,76.14,30.77
3,4,9,12,538.39,217.55,80.76,32.63
3,4,10,13,538.39,217.55,85.13,34.40
3,4,11,14,538.39,217.55,89.28,36.08
3,4,12,15,538.39,217.55,93.25,37.68
3,4,13,16,538.39,217.55,97.06,39.22
3,4,14,17,538.39,217.55,100.72,40.70
3,4,15,18,538.39,217.55,104.26,42.13
3,5,1,4,605.81,226.05,30.29,11.30
3,5,2,5,605.81,226.05,42.84,15.98
3,5,3,6,605.81,226.05,52.46,19.58
3,5,4,7,605.81,226.05,60.58,22.61
3,5,5,8,605.81,226.05,67.73,25.27
3,5,6,9,605.81,226.05,74.20,27.69
3,5,7,10,605.81,226.05,80.14,29.90
3,5,8,11,605.81,226.05,85.67,31.97
3,5,9,12,605.81,226.05,90.87,33.91
3,5,10,13,605.81,226.05,95.79,35.74
3,5,11,14,605.81,226.05,100.46,37.49
3,5,12,15,605.81,226.05,104.93,39.15
3,5,13,16,605.81,226.05,109.21,40.75
3,5,14,17,605.81,226.05,113.34,42.29
3,5,15,18,605.81,226.05,117.31,43.77
3,7,1,4,262.76,198.40,18.58,14.03
3,7,2,5,262.76,198.40,22.76,17.18
3,7,3,6,262.76,198.40,26.28,19.84
3,7,4,7,262.76,198.40,29.38,22.18
3,7,5,8,262.76,198.40,32.18,24.30
3,7,6,9,262.76,198.40,34.76,26.25
3,7,7,10,262.76,198.40,37.16,28.06
3,7,8,11,262.76,198.40,39.41,29.76
3,7,9,12,262.76,198.40,41.55,31.37
3,7,10,13,262.76,198.40,43.57,32.90
3,7,11,14,262.76,198.40,45.51,34.36
3,7,12,15,262.76,198.40,47.37,35.77
3,7,13,16,262.76,198.40,49.16,37.12
3,7,14,17,262.76,198.40,50.88,38.42
3,7,15,18,262.76,198.40,52.55,39.68
3,8,1,4,627.56,223.78,31.38,11.19
3,8,2,5,627.56,223.78,44.38,15.82
3,8,3,6,627.56,223.78,54.35,19.38
3,8,4,7,627.56,223.78,62.76,22.38
3,8,5,8,627.56,223.78,70.16,25.02
3,8,6,9,627.56,223.78,76.86,27.41
3,8,7,10,627.56,223.78,83.02,29.60
3,8,8,11,627.56,223.78,88.75,31.65
3,8,9,12,627.56,223.78,94.13,33.57
3,8,10,13,627.56,223.78,99.23,35.38
3,8,11,14,627.56,223.78,104.07,37.11
3,8,12,15,627.56,223.78,108.70,38.76
3,8,13,16,627.56,223.78,113.13,40.34
3,8,14,17,627.56,223.78,117.41,41.86
3,8,15,18,627.56,223.78,121.53,43.33
3,9,1,4,68.84,167.90,3.44,8.39
3,9,2,5,68.84,167.90,4.87,11.87
3,9,3,6,68.84,167.90,5.96,14.54
3,9,4,7,68.84,167.90,6.88,16.79
3,9,5,8,68.84,167.90,7.70,18.77
3,9,6,9,68.84,167.90,8.43,20.56
3,9,7,10,68.84,167.90,9.11,22.21
3,9,8,11,68.84,167.90,9.74,23.74
3,9,9,12,68.84,167.90,10.33,25.18
3,9,10,13,68.84,167.90,10.89,26.55
3,9,11,14,68.84,167.90,11.42,27.84
3,9,12,15,68.84,167.90,11.92,29.08
3,9,13,16,68.84,167.90,12.41,30.27
3,9,14,17,68.84,167.90,12.88,31.41
3,9,15,18,68.84,167.90,13.33,32.51
3,10,1,4,59.80,184.82,2.99,9.24
3,10,2,5,59.80,184.82,4.23,13.07
3,10,3,6,59.80,184.82,5.18,16.01
3,10,4,7,59.80,184.82,5.98,18.48
3,10,5,8,59.80,184.82,6.69,20.66
3,10,6,9,59.80,184.82,7.32,22.64
3,10,7,10,59.80,184.82,7.91,24.45
3,10,8,11,59.80,184.82,8.46,26.14
3,10,9,12,59.80,184.82,8.97,27.72
3,10,10,13,59.80,184.82,9.45,29.22
3,10,11,14,59.80,184.82,9.92,30.65
3,10,12,15,59.80,184.82,10.36,32.01
3,10,13,16,59.80,184.82,10.78,33.32
3,10,14,17,59.80,184.82,11.19,34.58
3,10,15,18,59.80,184.82,11.58,35.79
3,11,1,4,542.49,186.26,27.12,9.31
3,11,2,5,542.49,186.26,38.36,13.17
3,11,3,6,542.49,186.26,46.98,16.13
3,11,4,7,542.49,186.26,54.25,18.63
3,11,5,8,542.49,186.26,60.65,20.82
3,11,6,9,542.49,186.26,66.44,22.81
3,11,7,10,542.49,186.26,71.76,24.64
3,11,8,11,542.49,186.26,76.72,26.34
3,11,9,12,542.49,186.26,81.37,27.94
3,11,10,13,542.49,186.26,85.77,29.45
3,11,11,14,542.49,186.26,89.96,30.89
3,11,12,15,542.49,186.26,93.96,32.26
3,11,13,16,542.49,186.26,97.80,33.58
3,11,14,17,542.49,186.26,101.49,34.85
3,11,15,18,542.49,186.26,105.05,36.07
3,15,1,4,497.90,154.54,24.89,7.73
3,15,2,5,497.90,154.54,35.21,10.93
3,15,3,6,497.90,154.54,43.12,13.38
3,15,4,7,497.90,154.54,49.79,15.45
3,15,5,8,497.90,154.54,55.67,17.28
3,15,6,9,497.90,154.54,60.98,18.93
3,15,7,10,497.90,154.54,65.87,20.44
3,15,8,11,497.90,154.54,70.41,21.85
3,15,9,12,497.90,154.54,74.68,23.18
3,15,10,13,497.90,154.54,78.72,24.43
3,15,11,14,497.90,154.54,82.57,25.63
3,15,12,15,497.90,154.54,86.24,26.77
3,15,13,16,497.90,154.54,89.76,27.86
3,15,14,17,497.90,154.54,93.15,28.91
3,15,15,18,497.90,154.54,96.42,29.93
4,2,1,5,631.69,203.02,31.58,10.15
4,2,2,6,631.69,203.02,44.67,14.36
4,2,3,7,631.69,203.02,54.71,17.58
4,2,4,8,631.69,203.02,63.17,20.30
4,2,5,9,631.69,203.02,70.63,22.70
4,2,6,10,631.69,203.02,77.37,24.86
4,2,7,11,631.69,203.02,83.56,26.86
4,2,8,12,631.69,203.02,89.33,28.71
4,2,9,13,631.69,203.02,94.75,30.45
4,2,10,14,631.69,203.02,99.88,32.10
4,2,11,15,631.69,203.02,104.75,33.67
4,2,12,16,631.69,203.02,109.41,35.16
4,2,13,17,631.69,203.02,113.88,36.60
4,2,14,18,631.69,203.02,118.18,37.98
4,2,15,19,631.69,203.02,122.33,39.31
4,3,1,5,113.93,204.85,5.70,10.24
4,3,2,6,113.93,204.85,8.06,14.49
4,3,3,7,113.93,204.85,9.87,17.74
4,3,4,8,113.93,204.85,11.39,20.48
4,3,5,9,113.93,204.85,12.74,22.90
4,3,6,10,113.93,204.85,13.95,25.09
4,3,7,11,113.93,204.85,15.07,27.10
4,3,8,12,113.93,204.85,16.11,28.97
4,3,9,13,113.93,204.85,17.09,30.73
4,3,10,14,113.93,204.85,18.01,32.39
4,3,11,15,113.93,204.85,18.89,33.97
4,3,12,16,113.93,204.85,19.73,35.48
4,3,13,17,113.93,204.85,20.54,36.93
4,3,14,18,113.93,204.85,21.31,38.32
4,3,15,19,113.93,204.85,22.06,39.67
4,4,1,5,538.16,217.69,26.91,10.88
4,4,2,6,538.16,217.69,38.05,15.39
4,4,3,7,538.16,217.69,46.61,18.85
4,4,4,8,538.16,217.69,53.82,21.77
4,4,5,9,538.16,217.69,60.17,24.34
4,4,6,10,538.16,217.69,65.91,26.66
4,4,7,11,538.16,217.69,71.19,28.80
4,4,8,12,538.16,217.69,76.11,30.79
4,4,9,13,538.16,217.69,80.72,32.65
4,4,10,14,538.16,217.69,85.09,34.42
4,4,11,15,538.16,217.69,89.24,36.10
4,4,12,16,538.16,217.69,93.21,37.71
4,4,13,17,538.16,217.69,97.02,39.25
4,4,14,18,538.16,217.69,100.68,40.73
4,4,15,19,538.16,217.69,104.21,42.16
4,5,1,5,608.81,225.51,30.44,11.28
4,5,2,6,608.81,225.51,43.05,15.95
4,5,3,7,608.81,225.51,52.72,19.53
4,5,4,8,608.81,225.51,60.88,22.55
4,5,5,9,608.81,225.51,68.07,25.21
4,5,6,10,608.81,225.51,74.56,27.62
4,5,7,11,608.81,225.51,80.54,29.83
4,5,8,12,608.81,225.51,86.10,31.89
4,5,9,13,608.81,225.51,91.32,33.83
4,5,10,14,608.81,225.51,96.26,35.66
4,5,11,15,608.81,225.51,100.96,37.40
4,5,12,16,608.81,225.51,105.45,39.06
4,5,13,17,608.81,225.51,109.76,40.65
4,5,14,18,608.81,225.51,113.90,42.19
4,5,15,19,608.81,225.51,117.90,43.67
4,7,1,5,262.76,198.40,22.76,17.18
4,7,2,6,262.76,198.40,26.28,19.84
4,7,3,7,262.76,198.40,29.38,22.18
4,7,4,8,262.76,198.40,32.18,24.30
4,7,5,9,262.76,198.40,34.76,26.25
4,7,6,10,262.76,198.40,37.16,28.06
4,7,7,11,262.76,198.40,39.41,29.76
4,7,8,12,262.76,198.40,41.55,31.37
4,7,9,13,262.76,198.40,43.57,32.90
4,7,10,14,262.76,198.40,45.51,34.36
4,7,11,15,262.76,198.40,47.37,35.77
4,7,12,16,262.76,198.40,49.16,37.12
4,7,13,17,262.76,198.40,50.88,38.42
4,7,14,18,262.76,198.40,52.55,39.68
4,7,15,19,262.76,198.40,54.17,40.90
4,8,1,5,627.56,223.78,44.38,15.82
4,8,2,6,627.56,223.78,54.35,19.38
4,8,3,7,627.56,223.78,62.76,22.38
4,8,4,8,627.56,223.78,70.16,25.02
4,8,5,9,627.56,223.78,76.86,27.41
4,8,6,10,627.56,223.78,83.02,29.60
4,8,7,11,627.56,223.78,88.75,31.65
4,8,8,12,627.56,223.78,94.13,33.57
4,8,9,13,627.56,223.78,99.23,35.38
4,8,10,14,627.56,223.78,104.07,37.11
4,8,11,15,627.56,223.78,108.70,38.76
4,8,12,16,627.56,223.78,113.13,40.34
4,8,13,17,627.56,223.78,117.41,41.86
4,8,14,18,627.56,223.78,121.53,43.33
4,8,15,19,627.56,223.78,125.51,44.76
4,9,1,5,69.26,169.83,3.46,8.49
4,9,2,6,69.26,169.83,4.90,12.01
4,9,3,7,69.26,169.83,6.00,14.71
4,9,4,8,69.26,169.83,6.93,16.98
4,9,5,9,69.26,169.83,7.74,18.99
4,9,6,10,69.26,169.83,8.48,20.80
