frame,track_id,label,cx,cy,vx,vy,confirmed
2,1,person,1211.18,640.88,0.078,-0.004,1
2,2,person,419.21,664.66,-0.272,0.061,1
2,3,person,788.73,626.49,0.727,0.286,1
2,4,person,552.75,697.67,-0.592,-0.250,1
2,5,person,913.61,630.01,-0.047,-0.098,1
2,6,person,1680.24,622.75,0.023,0.067,1
3,1,person,1212.50,640.49,0.136,-0.026,1
3,2,person,399.93,662.08,-1.285,-0.076,1
3,3,person,793.20,628.37,1.015,0.385,1
3,4,person,549.17,692.59,-0.708,-0.519,1
3,5,person,914.87,629.27,0.018,-0.138,1
3,6,person,1677.43,582.14,-0.113,-2.008,1
4,1,person,1212.76,643.70,0.148,0.177,1
4,2,person,379.32,660.00,-2.638,-0.199,1
4,3,person,789.75,631.61,0.688,0.572,1
4,4,person,536.95,692.24,-1.189,-0.538,1
4,5,person,908.80,633.17,-0.354,0.110,1
4,6,person,1678.20,574.33,-0.068,-2.574,1
4,7,person,1362.09,570.14,-0.175,-0.041,1
5,1,person,1211.05,645.06,0.062,0.266,1
5,2,person,354.40,660.75,-4.739,-0.153,1
5,3,person,785.46,629.94,0.203,0.470,1
5,4,person,525.83,698.28,-1.689,-0.175,1
5,5,person,908.79,633.17,-0.354,0.110,1
5,6,person,1679.11,605.04,-0.012,0.218,1
5,7,person,1361.84,569.03,-0.188,-0.084,1
6,1,person,1212.58,644.03,0.141,0.196,1
6,2,person,346.03,662.81,-5.523,-0.027,1
6,3,person,780.60,632.66,-0.387,0.635,1
6,4,person,517.92,703.78,-2.066,0.150,1
6,5,person,908.77,633.18,-0.354,0.110,1
6,6,person,1679.58,617.12,0.019,1.157,1
6,7,person,1363.39,567.56,-0.081,-0.148,1
6,8,person,658.63,663.58,0.420,0.500,1
7,1,person,1212.59,644.04,0.141,0.196,1
7,2,person,334.83,665.14,-6.662,0.114,1
7,3,person,777.07,640.47,-0.827,1.119,1
7,4,person,505.37,711.64,-2.681,0.607,1
7,5,person,908.76,633.18,-0.354,0.110,1
7,6,person,1680.44,621.26,0.079,1.438,1
7,7,person,1363.39,567.56,-0.081,-0.148,1
7,8,person,643.37,668.26,-0.763,0.786,1
8,1,person,1212.59,644.04,0.141,0.196,1
8,2,person,323.46,669.50,-7.913,0.375,1
8,3,person,774.55,645.34,-1.138,1.419,1
8,4,person,496.70,712.14,-3.080,0.634,1
8,5,person,908.74,633.19,-0.354,0.110,1
8,6,person,1684.13,618.52,0.352,1.260,1
8,7,person,1363.38,567.55,-0.081,-0.148,1
8,8,person,630.67,649.35,-2.017,-0.543,1
9,1,person,1212.60,644.05,0.141,0.196,1
9,2,person,311.60,672.93,-9.330,0.579,1
9,3,person,771.60,650.62,-1.497,1.740,1
9,4,person,489.09,710.06,-3.402,0.514,1
9,5,person,908.73,633.19,-0.354,0.110,1
9,6,person,1682.12,625.68,0.188,1.704,1
9,7,person,1368.63,562.57,0.345,-0.377,1
9,8,person,619.85,642.25,-3.247,-1.112,1
9,9,person,1255.52,647.05,0.436,0.099,1
9,10,person,1157.80,597.55,0.073,0.017,1
10,1,person,1212.60,644.06,0.141,0.196,1
10,2,person,305.20,675.17,-10.071,0.711,1
10,3,person,767.36,651.16,-2.005,1.768,1
10,4,person,487.54,714.44,-3.457,0.762,1
10,5,person,908.71,633.19,-0.354,0.110,1
10,6,person,1681.27,627.83,0.118,1.830,1
10,7,person,1368.65,562.56,0.345,-0.377,1
10,8,person,610.04,642.64,-4.407,-1.074,1
10,9,person,1269.69,650.09,1.159,0.257,1
10,10,person,1161.19,595.36,0.234,-0.096,1
11,1,person,1212.61,644.07,0.141,0.196,1
11,2,person,300.36,675.11,-10.605,0.706,1
11,3,person,762.89,651.70,-2.530,1.796,1
11,4,person,479.90,716.28,-3.752,0.865,1
11,5,person,908.70,633.20,-0.354,0.110,1
11,6,person,1682.09,628.91,0.184,1.890,1
11,7,person,1368.66,562.54,0.345,-0.377,1
11,8,person,602.62,646.45,-5.265,-0.716,1
11,9,person,1280.64,645.12,1.903,-0.028,1
11,10,person,1164.79,593.14,0.406,-0.224,1
12,1,person,1212.62,644.07,0.141,0.196,1
12,2,person,295.16,674.49,-11.171,0.667,1
12,3,person,758.54,652.00,-3.033,1.810,1
12,4,person,476.25,715.31,-3.886,0.808,1
12,5,person,908.69,633.20,-0.354,0.110,1
12,6,person,1683.83,627.70,0.324,1.814,1
12,7,person,1368.67,562.53,0.345,-0.377,1
12,8,person,594.16,642.16,-6.232,-1.108,1
12,9,person,1296.35,642.54,3.259,-0.185,1
12,10,person,1165.00,592.95,0.415,-0.235,1
13,1,person,1212.62,644.08,0.141,0.196,1
13,2,person,291.35,674.51,-11.558,0.667,1
13,3,person,752.25,648.44,-3.760,1.596,1
13,4,person,469.50,716.22,-4.143,0.859,1
13,5,person,908.67,633.21,-0.354,0.110,1
13,6,person,1685.47,629.31,0.456,1.906,1
13,7,person,1368.69,562.51,0.345,-0.377,1
13,8,person,585.02,642.13,-7.242,-1.107,1
13,9,person,1307.02,634.88,4.187,-0.669,1
13,10,person,1165.66,594.39,0.441,-0.147,1
14,1,person,1212.63,644.09,0.141,0.196,1
14,2,person,281.27,669.90,-12.624,0.390,1
14,3,person,745.97,643.83,-4.483,1.321,1
14,4,person,452.77,712.94,-4.832,0.667,1
14,5,person,908.66,633.21,-0.354,0.110,1
14,6,person,1688.57,629.86,0.710,1.934,1
14,7,person,1368.70,562.50,0.345,-0.377,1
14,8,person,576.83,653.43,-8.090,-0.082,1
14,9,person,1313.25,641.31,4.733,-0.242,1
14,10,person,1162.93,596.76,0.336,-0.002,1
15,1,person,1212.63,644.10,0.141,0.196,1
15,2,person,272.91,668.04,-13.480,0.277,1
15,3,person,738.21,640.94,-5.358,1.147,1
15,4,person,437.99,713.39,-5.397,0.691,1
15,5,person,908.64,633.22,-0.354,0.110,1
15,6,person,1689.35,630.99,0.775,1.997,1
15,7,person,1368.72,562.48,0.345,-0.377,1
