frame,track_id,label,cx,cy,vx,vy,confirmed
3,1,car,1674.39,552.66,0.026,0.036,1
4,1,car,1676.08,552.71,0.113,0.038,1
4,2,truck,1555.60,753.70,0.011,0.027,1
5,1,car,1678.82,552.58,0.280,0.032,1
5,2,truck,1557.74,752.85,0.121,-0.016,1
6,1,car,1680.14,551.67,0.369,-0.013,1
6,2,truck,1557.74,752.85,0.121,-0.016,1
7,1,car,1680.64,551.39,0.403,-0.026,1
7,2,truck,1557.75,752.85,0.121,-0.016,1
8,1,car,1681.43,550.11,0.458,-0.091,1
8,2,truck,1557.75,752.85,0.121,-0.016,1
9,1,car,1678.14,548.60,0.233,-0.167,1
9,2,truck,1557.76,752.85,0.121,-0.016,1
10,1,car,1684.05,550.40,0.577,-0.073,1
10,2,truck,1557.76,752.85,0.121,-0.016,1
11,1,car,1687.11,552.53,0.748,0.039,1
11,2,truck,1557.77,752.85,0.121,-0.016,1
11,5,car,216.84,586.40,-0.315,0.090,1
12,1,car,1689.06,553.96,0.861,0.114,1
12,2,truck,1557.77,752.85,0.121,-0.016,1
12,5,car,216.83,586.40,-0.315,0.090,1
13,1,car,1689.68,554.76,0.896,0.155,1
13,2,truck,1557.78,752.85,0.121,-0.016,1
13,5,car,216.82,586.40,-0.315,0.090,1
14,1,car,1688.78,555.60,0.841,0.199,1
14,2,truck,1557.78,752.85,0.121,-0.016,1
14,5,car,216.81,586.41,-0.315,0.090,1
14,8,car,1149.58,714.24,-0.092,0.018,1
15,1,car,1685.06,556.74,0.648,0.259,1
15,2,truck,1557.79,752.85,0.121,-0.016,1
15,5,car,216.79,586.41,-0.315,0.090,1
15,8,car,1149.57,714.24,-0.092,0.018,1
16,1,car,1683.04,558.43,0.544,0.347,1
16,2,truck,1557.79,752.85,0.121,-0.016,1
16,5,car,216.78,586.41,-0.315,0.090,1
16,8,car,1149.57,714.25,-0.092,0.018,1
16,9,car,1313.55,787.35,0.141,0.035,1
17,1,car,1683.09,537.97,0.546,-0.716,1
17,2,truck,1557.80,752.85,0.121,-0.016,1
17,5,car,216.77,586.42,-0.315,0.090,1
17,8,car,1149.57,714.25,-0.092,0.018,1
17,9,car,1313.55,787.35,0.141,0.035,1
18,1,car,1682.32,528.90,0.507,-1.279,1
18,2,truck,1557.80,752.85,0.121,-0.016,1
18,5,car,216.76,586.42,-0.315,0.090,1
18,8,car,1149.56,714.25,-0.092,0.018,1
18,9,car,1313.56,787.35,0.141,0.035,1
19,1,car,1682.34,528.85,0.507,-1.279,1
19,2,truck,1557.81,752.85,0.121,-0.016,1
19,5,car,216.74,586.42,-0.315,0.090,1
19,8,car,1143.53,729.83,-0.433,0.878,1
19,9,car,1313.56,787.36,0.141,0.035,1
20,1,car,1685.57,525.91,0.663,-1.499,1
20,2,truck,1557.81,752.85,0.121,-0.016,1
20,5,car,216.73,586.43,-0.315,0.090,1
20,8,car,1143.52,729.87,-0.433,0.878,1
20,9,car,1313.57,787.36,0.141,0.035,1
21,1,car,1685.78,523.07,0.671,-1.725,1
21,5,car,216.72,586.43,-0.315,0.090,1
21,8,car,1143.50,729.90,-0.433,0.878,1
21,9,car,1313.57,787.36,0.141,0.035,1
22,1,car,1684.81,520.96,0.629,-1.896,1
22,5,car,216.71,586.44,-0.315,0.090,1
22,8,car,1143.48,729.94,-0.433,0.878,1
22,9,car,1313.58,787.36,0.141,0.035,1
23,1,car,1683.27,521.55,0.558,-1.839,1
23,5,car,216.69,586.44,-0.315,0.090,1
23,8,car,1143.46,729.97,-0.433,0.878,1
23,9,car,1313.58,787.36,0.141,0.035,1
24,1,car,1686.50,521.11,0.715,-1.871,1
24,5,car,216.68,586.44,-0.315,0.090,1
24,8,car,1135.58,725.59,-0.897,0.573,1
24,9,car,1313.59,787.36,0.141,0.035,1
24,11,car,665.30,885.98,-0.133,0.124,1
25,1,car,1686.53,521.04,0.715,-1.871,1
25,5,car,216.67,586.45,-0.315,0.090,1
25,8,car,1134.87,725.49,-0.935,0.564,1
25,9,car,1313.60,787.36,0.141,0.035,1
25,11,car,665.29,885.99,-0.133,0.124,1
26,1,car,1686.56,520.96,0.715,-1.871,1
26,5,car,216.66,586.45,-0.315,0.090,1
26,8,car,1133.60,725.25,-1.003,0.546,1
26,9,car,1313.60,787.37,0.141,0.035,1
26,11,car,649.84,916.00,-0.943,1.738,1
27,1,car,1686.59,520.89,0.715,-1.871,1
27,8,car,1133.56,725.27,-1.003,0.546,1
27,9,car,1313.61,787.37,0.141,0.035,1
27,11,car,649.81,916.07,-0.943,1.738,1
28,1,car,1686.62,520.81,0.715,-1.871,1
28,8,car,1122.87,729.74,-1.596,0.844,1
28,9,car,1313.61,787.37,0.141,0.035,1
28,11,car,649.77,916.14,-0.943,1.738,1
29,1,car,1686.65,520.74,0.715,-1.871,1
29,8,car,1117.49,731.15,-1.961,0.945,1
29,9,car,1313.62,787.37,0.141,0.035,1
29,11,car,649.73,916.21,-0.943,1.738,1
30,1,car,1700.01,550.08,1.431,0.716,1
30,8,car,1117.41,731.19,-1.961,0.945,1
30,9,car,1313.62,787.37,0.141,0.035,1
30,11,car,649.69,916.28,-0.943,1.738,1
31,1,car,1702.84,550.10,1.606,0.716,1
31,8,car,1117.33,731.23,-1.961,0.945,1
31,9,car,1313.63,787.37,0.141,0.035,1
31,11,car,649.66,916.34,-0.943,1.738,1
32,1,car,1704.26,551.05,1.698,0.772,1
32,8,car,1117.25,731.27,-1.961,0.945,1
32,11,car,649.62,916.41,-0.943,1.738,1
33,1,car,1703.47,552.29,1.639,0.842,1
33,8,car,1117.17,731.31,-1.961,0.945,1
33,11,car,649.58,916.48,-0.943,1.738,1
34,1,car,1703.54,552.33,1.639,0.842,1
34,8,car,1117.09,731.34,-1.961,0.945,1
34,11,car,649.54,916.55,-0.943,1.738,1
35,1,car,1703.60,552.36,1.639,0.842,1
35,8,car,1117.02,731.38,-1.961,0.945,1
35,11,car,649.51,916.62,-0.943,1.738,1
36,1,car,1703.67,552.39,1.639,0.842,1
36,8,car,1116.94,731.42,-1.961,0.945,1
36,11,car,649.47,916.69,-0.943,1.738,1
37,1,car,1703.73,552.43,1.639,0.842,1
37,8,car,1116.86,731.46,-1.961,0.945,1
37,11,car,649.43,916.76,-0.943,1.738,1
38,1,car,1703.80,552.46,1.639,0.842,1
38,8,car,1116.78,731.49,-1.961,0.945,1
38,11,car,649.39,916.83,-0.943,1.738,1
39,1,car,1703.86,552.49,1.639,0.842,1
39,8,car,1116.70,731.53,-1.961,0.945,1
39,11,car,649.35,916.90,-0.943,1.738,1
40,1,car,1703.93,552.53,1.639,0.842,1
40,8,car,1116.62,731.57,-1.961,0.945,1
40,11,car,649.32,916.97,-0.943,1.738,1
41,1,car,1703.99,552.56,1.639,0.842,1
41,8,car,1116.54,731.61,-1.961,0.945,1
41,11,car,649.28,917.04,-0.943,1.738,1
42,1,car,1702.22,535.75,1.519,-0.060,1
42,8,car,1116.47,731.65,-1.961,0.945,1
