frame,track_id,label,cx,cy,vx,vy,confirmed
2,1,car,1748.57,881.01,0.004,0.018,1
2,2,car,1392.06,798.14,0.026,0.014,1
2,4,car,1162.00,778.57,0.011,0.018,1
2,5,car,876.23,776.12,-0.002,0.010,1
2,6,car,995.00,774.68,-0.003,0.049,1
2,7,car,1040.96,772.93,0.018,0.015,1
2,8,car,952.54,770.79,0.003,0.008,1
2,9,car,1582.60,788.97,0.061,0.011,1
2,10,car,400.18,784.69,-0.195,0.025,1
2,11,car,573.02,766.92,-0.198,0.003,1
2,12,truck,880.66,757.30,0.011,0.005,1
2,13,car,1084.73,777.25,0.027,0.007,1
2,14,car,919.45,771.96,-0.070,0.019,1
3,1,car,1748.72,880.78,0.012,0.006,1
3,2,car,1392.98,798.59,0.074,0.038,1
3,4,car,1162.45,778.86,0.034,0.034,1
3,5,car,876.25,776.65,-0.001,0.036,1
3,6,car,995.18,774.91,0.007,0.063,1
3,7,car,1041.62,772.95,0.054,0.016,1
3,8,car,952.65,771.13,0.009,0.026,1
3,9,car,1584.54,789.43,0.163,0.035,1
3,10,car,390.25,785.55,-0.672,0.066,1
3,11,car,567.60,767.51,-0.491,0.033,1
3,12,truck,880.78,757.59,0.018,0.021,1
3,13,car,1084.18,777.73,0.001,0.032,1
3,14,car,919.67,772.61,-0.057,0.053,1
4,1,car,1749.00,880.77,0.030,0.005,1
4,2,car,1393.77,798.83,0.122,0.052,1
4,4,car,1162.98,779.29,0.066,0.061,1
4,5,car,876.53,777.48,0.016,0.084,1
4,6,car,995.16,775.82,0.006,0.130,1
4,7,car,1041.28,773.39,0.033,0.042,1
4,8,car,952.61,771.60,0.007,0.055,1
4,9,car,1584.91,790.04,0.185,0.073,1
4,10,car,380.25,785.87,-1.214,0.083,1
4,11,car,560.71,767.86,-0.900,0.055,1
4,12,truck,880.62,758.09,0.008,0.051,1
4,13,car,1084.10,778.12,-0.004,0.055,1
4,14,car,918.47,773.06,-0.149,0.081,1
5,9,car,1586.87,790.42,0.311,0.098,1
5,10,car,366.26,786.59,-2.003,0.124,1
5,11,car,552.82,768.94,-1.359,0.120,1
5,14,car,919.79,772.72,-0.016,0.058,1
5,17,car,1678.82,809.31,0.025,0.006,1
6,9,car,1589.10,790.72,0.460,0.118,1
6,10,car,351.35,787.34,-2.817,0.167,1
6,11,car,545.58,768.28,-1.759,0.079,1
6,14,car,921.29,773.00,0.139,0.077,1
6,17,car,1679.97,808.77,0.078,-0.023,1
7,9,car,1592.39,791.50,0.684,0.172,1
7,10,car,336.14,788.34,-3.580,0.223,1
7,11,car,538.52,768.33,-2.106,0.082,1
7,14,car,921.98,773.64,0.199,0.121,1
7,17,car,1681.68,809.66,0.166,0.029,1
7,18,truck,536.40,768.18,-0.142,0.025,1
8,9,car,1593.35,791.77,0.748,0.190,1
8,10,car,319.62,789.68,-4.362,0.297,1
8,11,car,529.25,768.67,-2.514,0.099,1
8,14,car,922.12,774.26,0.210,0.163,1
8,17,car,1681.69,809.66,0.166,0.029,1
8,18,truck,536.39,768.19,-0.142,0.025,1
8,19,car,1749.70,882.82,0.002,-0.005,1
8,20,car,1165.31,781.50,0.015,0.008,1
8,21,car,877.22,780.05,0.002,0.012,1
8,22,car,994.77,778.32,0.015,-0.013,1
8,23,car,952.47,773.18,0.000,0.014,1
8,24,car,1041.55,775.24,-0.004,0.011,1
8,25,truck,880.25,759.58,-0.003,0.013,1
8,26,car,1084.25,780.30,0.005,0.018,1
9,9,car,1594.69,792.45,0.836,0.236,1
9,10,car,301.91,791.31,-5.152,0.383,1
9,11,car,521.29,769.13,-2.825,0.120,1
9,14,car,922.12,774.27,0.210,0.163,1
9,17,car,1681.70,809.66,0.166,0.029,1
9,18,truck,536.38,768.19,-0.142,0.025,1
9,19,car,1749.84,882.46,0.009,-0.025,1
9,20,car,1165.42,781.82,0.020,0.025,1
9,21,car,877.30,780.38,0.006,0.028,1
9,22,car,994.65,778.24,0.008,-0.017,1
9,23,car,952.65,773.91,0.010,0.049,1
9,24,car,1041.57,775.75,-0.003,0.037,1
9,25,truck,880.12,760.07,-0.010,0.039,1
9,26,car,1084.50,780.57,0.019,0.032,1
10,9,car,1596.65,793.28,0.968,0.292,1
10,10,car,282.27,792.51,-5.971,0.442,1
10,11,car,511.17,770.22,-3.191,0.167,1
10,14,car,922.13,774.27,0.210,0.163,1
10,17,car,1681.70,809.66,0.166,0.029,1
10,18,truck,536.38,768.19,-0.142,0.025,1
10,19,car,1750.09,883.73,0.025,0.055,1
10,20,car,1165.12,782.55,0.002,0.068,1
10,21,car,877.13,781.43,-0.005,0.089,1
10,22,car,994.30,778.22,-0.013,-0.019,1
10,23,car,952.86,774.61,0.023,0.087,1
10,24,car,1041.80,777.01,0.012,0.116,1
10,25,truck,880.13,760.72,-0.009,0.077,1
10,26,car,1085.02,781.76,0.055,0.103,1
10,27,car,1399.62,801.98,0.031,0.013,1
11,9,car,1598.57,794.36,1.098,0.365,1
11,10,car,263.08,794.29,-6.705,0.525,1
11,11,car,500.45,770.96,-3.546,0.198,1
11,14,car,922.14,774.28,0.210,0.163,1
11,17,car,1681.71,809.66,0.166,0.029,1
11,18,truck,536.37,768.19,-0.142,0.025,1
11,27,car,1400.15,802.67,0.059,0.050,1
12,9,car,1600.82,795.06,1.251,0.412,1
12,10,car,243.52,795.70,-7.390,0.586,1
12,11,car,487.80,772.31,-3.922,0.252,1
12,14,car,922.15,774.29,0.210,0.163,1
12,17,car,1681.72,809.66,0.166,0.029,1
12,18,truck,536.37,768.19,-0.142,0.025,1
12,27,car,1400.72,803.41,0.094,0.095,1
13,9,car,1602.76,796.23,1.383,0.489,1
13,10,car,243.22,795.72,-7.390,0.586,1
13,11,car,475.62,773.78,-4.238,0.306,1
13,14,car,922.16,774.29,0.210,0.163,1
13,17,car,1681.73,809.66,0.166,0.029,1
13,18,truck,536.36,768.19,-0.142,0.025,1
13,27,car,1401.63,804.72,0.152,0.179,1
14,9,car,1604.27,796.95,1.484,0.537,1
14,10,car,242.91,795.75,-7.390,0.586,1
14,11,car,460.89,775.02,-4.580,0.350,1
14,14,car,922.17,774.30,0.210,0.163,1
