frame,track_id,label,cx,cy,vx,vy,confirmed
2,1,car,1393.67,796.38,0.059,0.008,1
2,2,van,402.40,777.82,-0.151,0.089,1
2,3,car,1038.96,772.45,0.000,0.020,1
2,4,car,66.43,795.43,-1.746,0.064,1
2,5,car,1162.90,776.94,0.019,0.007,1
2,6,truck,1003.89,633.73,-0.048,-0.099,1
2,7,car,1750.94,958.42,-0.022,0.003,1
3,1,car,1394.62,796.85,0.108,0.033,1
3,2,van,402.40,777.82,-0.151,0.089,1
3,3,car,1038.91,773.20,-0.003,0.060,1
3,4,car,66.36,795.44,-1.746,0.064,1
3,5,car,1163.17,777.22,0.033,0.022,1
3,6,truck,1002.66,632.07,-0.114,-0.190,1
3,7,car,1752.83,958.13,0.078,-0.013,1
3,8,truck,1750.19,958.20,0.043,-0.028,1
4,1,car,1394.97,796.93,0.129,0.038,1
4,2,van,402.39,777.83,-0.151,0.089,1
4,3,car,1039.24,773.44,0.017,0.073,1
4,4,car,66.29,795.44,-1.746,0.064,1
4,5,car,1163.76,777.59,0.070,0.045,1
4,6,truck,1002.66,632.06,-0.114,-0.190,1
4,7,car,1752.83,958.13,0.078,-0.013,1
4,8,truck,1749.98,957.63,0.031,-0.058,1
4,10,car,1589.40,786.64,0.048,0.025,1
4,11,car,875.62,776.59,0.003,0.013,1
4,12,car,555.97,764.16,-0.207,0.026,1
5,1,car,1395.81,797.75,0.182,0.091,1
5,2,van,402.38,777.83,-0.151,0.089,1
5,4,car,66.22,795.44,-1.746,0.064,1
5,6,truck,995.89,626.95,-0.536,-0.525,1
5,7,car,1752.84,958.13,0.078,-0.013,1
5,8,truck,1750.17,957.54,0.043,-0.063,1
5,10,car,1590.58,788.97,0.105,0.151,1
5,11,car,875.77,776.93,0.011,0.031,1
5,12,car,551.05,765.15,-0.397,0.072,1
5,14,car,994.84,775.45,-0.004,0.020,1
6,1,car,1396.64,798.50,0.235,0.139,1
6,2,van,402.38,777.84,-0.151,0.089,1
6,4,car,66.14,795.45,-1.746,0.064,1
6,6,truck,995.03,624.72,-0.587,-0.675,1
6,7,car,1751.92,958.01,0.018,-0.020,1
6,8,truck,1750.17,957.54,0.043,-0.063,1
6,10,car,1588.01,789.81,-0.035,0.206,1
6,11,car,875.75,777.34,0.010,0.055,1
6,12,car,543.54,766.38,-0.722,0.132,1
6,14,car,994.50,776.61,-0.023,0.081,1
6,15,car,354.78,789.02,-0.278,0.022,1
7,1,car,1397.58,799.40,0.296,0.199,1
7,2,van,402.37,777.84,-0.151,0.089,1
7,4,car,66.07,795.45,-1.746,0.064,1
7,6,truck,995.01,624.69,-0.587,-0.675,1
7,7,car,1751.66,958.69,0.000,0.025,1
7,8,truck,1750.17,957.53,0.043,-0.063,1
7,10,car,1588.00,789.82,-0.035,0.206,1
7,12,car,536.56,766.22,-1.025,0.124,1
7,14,car,994.49,777.47,-0.023,0.133,1
7,15,car,339.81,789.40,-1.079,0.042,1
8,2,van,402.36,777.84,-0.151,0.089,1
8,4,car,66.00,795.45,-1.746,0.064,1
8,6,truck,994.99,624.66,-0.587,-0.675,1
8,7,car,1752.87,959.39,0.083,0.072,1
8,8,truck,1750.17,957.53,0.043,-0.063,1
8,10,car,1588.00,789.83,-0.035,0.206,1
8,12,car,530.75,766.64,-1.275,0.147,1
8,14,car,994.49,777.47,-0.023,0.133,1
