frame,track_id,label,cx,cy,vx,vy,confirmed
2,1,bus,689.36,685.20,-0.007,0.009,1
2,2,car,1827.62,995.31,-0.003,0.005,1
2,3,car,899.17,878.54,0.031,-0.035,1
2,4,car,781.61,895.76,0.021,-0.024,1
2,5,car,1289.41,595.93,-0.048,-0.007,1
2,6,car,549.11,667.24,-0.006,0.002,1
2,7,car,1899.01,771.80,-0.005,-0.009,1
2,8,car,694.90,1003.66,0.010,-0.029,1
2,9,car,858.68,796.47,0.054,-0.019,1
2,10,car,1193.48,626.11,0.004,0.002,1
2,11,car,437.76,651.39,-0.005,-0.002,1
2,12,car,481.74,638.33,-0.002,0.008,1
2,13,car,935.21,150.00,0.066,-0.036,1
2,14,car,998.55,735.06,-0.001,-0.033,1
2,15,car,1289.79,642.74,-0.007,0.003,1
2,16,car,115.88,471.02,-0.097,-0.004,1
2,17,car,808.48,610.53,-0.065,-0.014,1
2,18,car,283.86,494.51,-0.089,-0.018,1
2,19,car,281.80,624.67,-0.003,-0.003,1
2,20,car,1318.95,437.83,0.000,0.007,1
2,21,car,172.95,880.84,0.080,-0.067,1
2,22,car,643.31,323.51,0.042,-0.081,1
2,23,car,881.58,600.62,-0.043,-0.016,1
2,24,car,951.01,889.84,0.022,-0.026,1
2,25,airplane,306.61,195.28,0.042,-0.082,1
2,26,car,963.30,611.09,-0.043,-0.018,1
2,27,car,782.78,226.49,0.032,-0.055,1
2,28,truck,90.30,628.29,0.036,0.005,1
2,29,car,1874.43,1011.47,-0.004,0.006,1
2,30,car,949.63,810.90,0.036,-0.013,1
2,31,car,1160.37,657.34,0.019,0.005,1
2,32,car,1786.77,1042.99,0.031,0.003,1
2,33,car,1499.98,417.34,-0.027,0.015,1
2,34,car,1433.51,410.93,-0.007,0.003,1
2,35,car,1686.47,368.39,-0.002,0.004,1
2,36,car,1901.72,965.41,-0.002,0.003,1
2,37,car,785.02,1030.72,0.019,-0.024,1
2,38,car,516.54,525.16,-0.133,-0.023,1
2,39,car,1719.76,680.09,-0.061,0.000,1
2,40,car,1023.76,668.04,-0.005,-0.031,1
2,42,car,176.93,436.36,0.018,-0.023,1
2,43,car,1359.50,330.08,0.016,-0.001,1
2,44,car,1616.31,819.39,0.000,-0.014,1
2,45,truck,1400.67,339.92,0.000,0.005,1
2,46,car,839.37,560.62,-0.057,-0.015,1
3,1,bus,689.52,685.23,0.001,0.011,1
3,2,car,1827.61,995.38,-0.004,0.008,1
3,3,car,900.04,876.52,0.074,-0.133,1
3,4,car,783.10,894.44,0.094,-0.091,1
3,5,car,1287.39,594.95,-0.148,-0.056,1
3,6,car,548.95,667.25,-0.014,0.003,1
3,7,car,1898.69,771.14,-0.020,-0.043,1
3,8,car,695.71,1002.54,0.051,-0.084,1
3,9,car,860.52,795.56,0.139,-0.063,1
3,10,car,1193.06,626.10,-0.018,0.001,1
3,11,car,437.68,651.37,-0.009,-0.003,1
3,12,car,481.63,638.32,-0.007,0.008,1
3,13,car,937.39,148.77,0.176,-0.098,1
3,14,car,999.00,733.51,0.023,-0.114,1
3,15,car,1289.37,642.76,-0.028,0.003,1
3,16,car,112.93,470.71,-0.247,-0.018,1
3,17,car,805.86,610.06,-0.193,-0.039,1
3,18,car,280.24,494.50,-0.266,-0.019,1
3,19,car,281.79,624.61,-0.003,-0.006,1
3,20,car,1318.62,438.18,-0.017,0.025,1
3,21,car,175.53,878.09,0.209,-0.205,1
3,22,car,645.02,320.71,0.128,-0.228,1
3,23,car,879.56,600.04,-0.142,-0.044,1
3,24,car,951.96,888.56,0.067,-0.089,1
3,25,airplane,306.61,195.28,0.042,-0.082,1
3,26,car,961.92,610.63,-0.113,-0.040,1
3,27,car,782.78,226.49,0.032,-0.055,1
3,28,truck,90.72,628.24,0.057,0.003,1
3,29,car,1874.26,1011.33,-0.012,-0.002,1
3,30,car,951.15,810.10,0.110,-0.059,1
3,31,car,1159.99,657.45,-0.000,0.011,1
3,32,car,1787.26,1042.81,0.057,-0.006,1
3,33,car,1499.56,417.61,-0.048,0.028,1
3,34,car,1433.44,410.87,-0.010,0.000,1
3,35,car,1686.35,368.44,-0.007,0.006,1
3,36,car,1901.64,965.42,-0.005,0.004,1
3,37,car,786.61,1029.56,0.100,-0.081,1
3,38,car,512.65,524.15,-0.332,-0.076,1
3,39,car,1719.76,680.09,-0.061,0.000,1
3,40,car,1023.61,666.91,-0.013,-0.092,1
3,42,car,176.74,435.76,0.009,-0.052,1
3,43,car,1359.12,330.16,-0.001,0.002,1
3,44,car,1616.36,819.74,0.003,0.004,1
3,45,truck,1400.59,340.11,-0.004,0.014,1
3,46,car,837.51,560.60,-0.157,-0.016,1
3,47,car,956.65,653.94,-0.020,-0.025,1
3,48,car,1017.68,82.90,-0.008,0.005,1
3,49,car,353.73,643.56,-0.001,-0.005,1
4,1,bus,689.53,685.25,0.001,0.012,1
4,2,car,1827.50,995.45,-0.010,0.013,1
4,3,car,900.93,874.82,0.125,-0.228,1
4,4,car,784.27,893.10,0.161,-0.170,1
4,5,car,1285.07,593.96,-0.281,-0.114,1
4,6,car,548.90,667.26,-0.017,0.003,1
4,7,car,1898.30,770.65,-0.041,-0.071,1
4,8,car,697.22,1000.96,0.139,-0.173,1
4,9,car,861.50,794.78,0.187,-0.106,1
4,10,car,1192.47,626.07,-0.053,-0.000,1
4,11,car,437.65,651.37,-0.011,-0.003,1
4,12,car,481.60,638.33,-0.010,0.009,1
4,13,car,939.63,147.38,0.303,-0.177,1
4,14,car,999.69,730.50,0.068,-0.305,1
4,15,car,1289.13,642.75,-0.042,0.003,1
4,16,car,109.83,471.02,-0.426,-0.001,1
4,17,car,803.36,609.74,-0.333,-0.057,1
4,18,car,276.01,494.08,-0.508,-0.043,1
4,19,car,281.78,624.60,-0.003,-0.007,1
4,20,car,1318.50,438.31,-0.024,0.032,1
4,21,car,178.04,874.16,0.349,-0.427,1
4,22,car,646.99,319.38,0.247,-0.307,1
4,23,car,877.45,599.43,-0.257,-0.079,1
4,24,car,952.87,887.39,0.115,-0.155,1
4,25,airplane,306.61,195.27,0.042,-0.082,1
4,26,car,959.57,609.92,-0.254,-0.080,1
4,27,car,782.78,226.49,0.032,-0.055,1
4,28,truck,90.94,628.21,0.069,0.001,1
4,29,car,1874.20,1011.41,-0.016,0.003,1
4,30,car,952.50,808.71,0.186,-0.155,1
4,31,car,1159.91,657.49,-0.005,0.013,1
4,32,car,1787.45,1042.71,0.068,-0.012,1
4,33,car,1499.41,417.70,-0.057,0.034,1
4,34,car,1433.41,410.83,-0.012,-0.002,1
4,35,car,1686.30,368.44,-0.010,0.006,1
4,36,car,1901.64,965.44,-0.006,0.005,1
4,37,car,787.88,1028.65,0.172,-0.131,1
4,38,car,508.03,523.35,-0.604,-0.124,1
4,39,car,1719.76,680.09,-0.061,0.000,1
4,40,car,1023.54,665.57,-0.017,-0.175,1
4,42,car,176.80,435.35,0.012,-0.076,1
4,43,car,1359.01,330.16,-0.006,0.003,1
4,44,car,1616.36,819.74,0.003,0.004,1
4,45,truck,1400.56,340.17,-0.006,0.018,1
4,46,car,835.70,560.39,-0.265,-0.028,1
4,47,car,955.83,653.32,-0.062,-0.061,1
4,48,car,1018.81,82.08,0.045,-0.033,1
4,49,car,353.73,643.52,-0.001,-0.007,1
4,50,car,928.18,711.41,0.006,-0.020,1
4,51,car,1091.51,377.96,-0.012,-0.023,1
5,3,car,901.89,873.38,0.183,-0.314,1
5,4,car,784.84,892.33,0.195,-0.218,1
5,5,car,1282.60,593.16,-0.430,-0.163,1
5,8,car,698.43,999.69,0.212,-0.248,1
5,9,car,863.19,793.45,0.277,-0.187,1
5,13,car,941.22,145.66,0.403,-0.279,1
5,14,car,1000.67,728.24,0.135,-0.446,1
5,16,car,106.01,470.59,-0.656,-0.024,1
5,17,car,800.88,609.23,-0.478,-0.086,1
5,18,car,272.29,493.55,-0.741,-0.075,1
5,21,car,180.38,870.28,0.485,-0.652,1
5,22,car,647.00,319.37,0.247,-0.307,1
5,23,car,874.55,598.73,-0.420,-0.121,1
5,24,car,953.65,886.03,0.158,-0.237,1
5,25,airplane,306.61,195.27,0.042,-0.082,1
5,26,car,958.10,609.10,-0.347,-0.131,1
5,27,car,782.78,226.49,0.032,-0.055,1
5,30,car,953.55,806.67,0.249,-0.313,1
5,37,car,788.66,1027.37,0.219,-0.207,1
5,38,car,504.30,523.06,-0.831,-0.144,1
5,39,car,1719.75,680.09,-0.061,0.000,1
5,40,car,1023.54,665.56,-0.017,-0.175,1
5,44,car,1616.36,819.74,0.003,0.004,1
5,46,car,835.69,560.39,-0.265,-0.028,1
5,47,car,954.70,652.05,-0.128,-0.149,1
5,48,car,1018.81,82.08,0.045,-0.033,1
5,49,car,353.66,643.48,-0.004,-0.009,1
5,50,car,928.29,710.29,0.011,-0.076,1
5,51,car,1091.05,376.76,-0.033,-0.090,1
6,3,car,903.13,871.82,0.262,-0.410,1
6,4,car,785.49,890.69,0.237,-0.323,1
6,5,car,1279.37,592.16,-0.633,-0.228,1
6,8,car,699.60,997.71,0.284,-0.370,1
6,9,car,864.51,792.26,0.349,-0.263,1
6,13,car,942.60,144.15,0.498,-0.370,1
6,14,car,1001.42,726.77,0.187,-0.535,1
6,16,car,102.26,469.64,-0.890,-0.073,1
6,17,car,798.31,607.86,-0.630,-0.163,1
6,18,car,267.97,492.10,-1.025,-0.167,1
6,21,car,182.74,867.03,0.625,-0.833,1
6,22,car,647.01,319.35,0.247,-0.307,1
6,23,car,871.98,597.63,-0.569,-0.187,1
6,24,car,954.52,884.86,0.208,-0.307,1
6,25,airplane,306.61,195.27,0.042,-0.082,1
6,26,car,956.41,608.21,-0.454,-0.189,1
6,27,car,782.78,226.48,0.032,-0.055,1
6,30,car,955.14,804.53,0.352,-0.488,1
6,37,car,789.53,1025.82,0.271,-0.304,1
6,38,car,500.14,522.28,-1.096,-0.197,1
6,39,car,1719.75,680.09,-0.061,0.000,1
6,40,car,1023.05,662.71,-0.047,-0.364,1
6,41,car,1679.66,701.67,-0.357,-0.112,1
6,44,car,1616.36,819.74,0.003,0.004,1
6,46,car,830.31,558.95,-0.600,-0.116,1
6,47,car,954.70,652.04,-0.128,-0.149,1
6,48,car,1018.81,82.08,0.045,-0.033,1
6,50,car,928.26,709.12,0.009,-0.145,1
6,51,car,1090.48,375.39,-0.064,-0.186,1
6,52,car,848.45,876.79,0.012,-0.030,1
7,3,car,904.86,870.20,0.375,-0.514,1
7,4,car,786.32,888.49,0.291,-0.471,1
7,5,car,1276.60,591.25,-0.813,-0.288,1
7,8,car,700.52,996.11,0.342,-0.474,1
7,9,car,865.73,789.98,0.418,-0.416,1
7,13,car,944.05,142.59,0.607,-0.466,1
7,14,car,1001.59,725.21,0.198,-0.630,1
7,16,car,98.34,469.62,-1.134,-0.074,1
7,17,car,795.58,606.52,-0.793,-0.240,1
7,18,car,264.21,491.66,-1.277,-0.196,1
7,21,car,185.29,863.40,0.781,-1.038,1
7,22,car,647.02,319.34,0.247,-0.307,1
7,23,car,869.40,596.81,-0.724,-0.236,1
7,24,car,955.23,883.76,0.250,-0.372,1
7,25,airplane,314.56,188.29,0.534,-0.512,1
7,26,car,954.46,607.26,-0.576,-0.252,1
7,27,car,782.78,226.48,0.032,-0.055,1
7,30,car,956.81,802.90,0.465,-0.629,1
7,37,car,790.19,1024.20,0.310,-0.410,1
7,38,car,500.10,522.28,-1.096,-0.197,1
7,39,car,1719.75,680.09,-0.061,0.000,1
7,40,car,1022.62,661.03,-0.073,-0.476,1
7,41,car,1678.08,701.35,-0.495,-0.132,1
7,44,car,1616.36,819.74,0.003,0.004,1
7,46,car,826.75,558.14,-0.828,-0.169,1
7,47,car,954.69,652.04,-0.128,-0.149,1
7,48,car,1018.82,82.08,0.045,-0.033,1
7,50,car,928.45,707.46,0.020,-0.247,1
7,51,car,1090.47,375.38,-0.064,-0.186,1
7,52,car,849.25,875.75,0.052,-0.089,1
8,3,car,906.26,868.49,0.470,-0.625,1
8,4,car,787.63,886.50,0.377,-0.607,1
8,5,car,1273.82,590.50,-0.997,-0.338,1
8,8,car,702.14,994.74,0.447,-0.566,1
8,9,car,867.03,788.41,0.495,-0.526,1
8,13,car,945.95,141.49,0.757,-0.536,1
8,14,car,1002.32,723.85,0.251,-0.711,1
8,16,car,94.87,469.79,-1.343,-0.066,1
8,17,car,792.99,605.66,-0.954,-0.294,1
8,18,car,260.63,491.22,-1.517,-0.225,1
8,21,car,188.20,859.94,0.969,-1.242,1
8,22,car,647.03,319.33,0.247,-0.307,1
8,23,car,866.74,595.89,-0.882,-0.289,1
8,24,car,955.96,882.66,0.293,-0.435,1
8,25,airplane,310.73,187.38,0.295,-0.567,1
8,26,car,952.22,606.49,-0.713,-0.304,1
8,27,car,782.79,226.48,0.032,-0.055,1
8,30,car,958.51,801.51,0.581,-0.753,1
8,37,car,791.04,1022.23,0.362,-0.542,1
8,38,car,500.05,522.27,-1.096,-0.197,1
8,39,car,1719.75,680.09,-0.061,0.000,1
8,40,car,1022.30,659.66,-0.093,-0.570,1
8,41,car,1678.06,701.34,-0.495,-0.132,1
8,44,car,1616.36,819.74,0.003,0.004,1
8,46,car,823.46,557.47,-1.048,-0.215,1
8,47,car,954.69,652.03,-0.128,-0.149,1
8,48,car,1018.82,82.08,0.045,-0.033,1
8,50,car,928.67,706.06,0.033,-0.335,1
8,51,car,1090.47,375.37,-0.064,-0.186,1
8,52,car,850.00,875.17,0.095,-0.132,1
8,53,bus,689.06,685.20,-0.001,0.002,1
8,54,car,548.42,667.23,-0.001,0.001,1
8,55,car,436.85,651.51,-0.000,-0.002,1
8,56,car,1288.51,643.17,-0.013,-0.001,1
8,57,car,1895.87,768.53,-0.007,-0.014,1
8,58,car,281.16,624.22,-0.000,0.000,1
8,59,car,480.92,638.25,0.001,0.001,1
8,60,car,1159.60,657.81,-0.003,-0.000,1
8,61,truck,87.80,628.25,-0.091,0.012,1
8,62,car,1874.34,1010.85,0.004,-0.009,1
8,63,car,718.53,1044.71,0.021,-0.013,1
8,64,truck,1400.04,341.15,-0.004,0.000,1
8,65,car,366.07,859.39,0.038,-0.073,1
8,66,bus,546.52,599.18,-0.005,0.011,1
9,3,car,907.43,866.66,0.549,-0.744,1
9,4,car,788.84,884.60,0.456,-0.736,1
9,5,car,1271.11,589.86,-1.178,-0.380,1
9,8,car,703.66,992.88,0.549,-0.694,1
9,9,car,867.85,787.25,0.544,-0.608,1
9,13,car,947.99,140.36,0.916,-0.610,1
9,14,car,1003.09,722.13,0.307,-0.814,1
9,16,car,90.56,468.13,-1.607,-0.137,1
9,17,car,790.01,604.53,-1.140,-0.368,1
9,18,car,256.89,490.58,-1.763,-0.268,1
9,21,car,191.21,856.64,1.172,-1.449,1
9,22,car,647.04,319.32,0.247,-0.307,1
9,23,car,863.60,595.18,-1.066,-0.330,1
9,24,car,956.73,880.88,0.341,-0.539,1
9,25,airplane,308.79,191.42,0.173,-0.312,1
9,26,car,952.19,606.48,-0.713,-0.304,1
9,27,car,782.79,226.48,0.032,-0.055,1
9,30,car,960.18,799.88,0.696,-0.907,1
9,37,car,791.84,1020.91,0.410,-0.628,1
9,38,car,500.01,522.26,-1.096,-0.197,1
9,39,car,1701.61,676.79,-1.159,-0.213,1
9,40,car,1021.78,658.72,-0.124,-0.635,1
9,41,car,1678.04,701.34,-0.495,-0.132,1
9,44,car,1615.72,820.88,-0.038,0.074,1
9,46,car,820.97,557.05,-1.215,-0.245,1
9,47,car,954.68,652.03,-0.128,-0.149,1
9,48,car,1018.82,82.07,0.045,-0.033,1
9,50,car,928.66,704.41,0.032,-0.439,1
9,51,car,1090.47,375.36,-0.064,-0.186,1
9,52,car,850.53,873.68,0.126,-0.257,1
9,53,bus,689.05,685.22,-0.002,0.003,1
9,54,car,548.23,667.28,-0.011,0.003,1
9,55,car,436.76,651.57,-0.005,0.001,1
9,56,car,1288.18,643.28,-0.030,0.004,1
9,57,car,1895.46,768.02,-0.026,-0.042,1
9,58,car,281.15,624.29,-0.001,0.004,1
9,59,car,480.79,638.25,-0.006,0.001,1
9,60,car,1159.37,657.80,-0.014,-0.001,1
9,61,truck,87.07,628.27,-0.130,0.013,1
9,62,car,1874.36,1010.50,0.005,-0.026,1
9,63,car,719.06,1044.10,0.049,-0.046,1
9,64,truck,1400.06,341.16,-0.003,0.001,1
9,65,car,367.91,856.94,0.126,-0.196,1
9,66,bus,546.40,599.38,-0.011,0.021,1
9,67,car,1192.31,626.72,0.003,-0.001,1
9,68,car,177.66,434.56,-0.002,-0.007,1
9,69,car,350.48,642.77,-0.011,-0.000,1
10,3,car,908.86,864.28,0.646,-0.898,1
10,4,car,789.91,883.11,0.524,-0.838,1
10,5,car,1268.53,589.13,-1.353,-0.427,1
10,8,car,705.02,991.54,0.640,-0.789,1
10,9,car,868.66,785.63,0.593,-0.727,1
10,13,car,949.39,139.22,1.023,-0.686,1
10,14,car,1003.64,720.96,0.344,-0.881,1
10,16,car,86.99,466.91,-1.831,-0.195,1
10,17,car,787.30,603.73,-1.308,-0.422,1
10,18,car,252.69,489.93,-2.037,-0.313,1
10,21,car,193.38,853.44,1.316,-1.661,1
10,22,car,647.05,319.30,0.247,-0.307,1
10,23,car,860.92,594.01,-1.223,-0.400,1
10,24,car,957.89,879.22,0.416,-0.638,1
10,25,airplane,308.30,189.98,0.140,-0.401,1
10,26,car,952.16,606.47,-0.713,-0.304,1
10,27,car,782.79,226.47,0.032,-0.055,1
10,30,car,961.55,797.98,0.790,-1.086,1
10,37,car,792.44,1018.74,0.447,-0.768,1
10,38,car,499.96,522.25,-1.096,-0.197,1
10,39,car,1698.24,675.86,-1.370,-0.273,1
10,40,car,1021.37,657.60,-0.147,-0.710,1
10,41,car,1678.02,701.33,-0.495,-0.132,1
10,44,car,1615.72,820.88,-0.038,0.074,1
10,46,car,818.15,556.11,-1.400,-0.315,1
10,47,car,954.68,652.02,-0.128,-0.149,1
10,48,car,1018.82,82.07,0.045,-0.033,1
10,50,car,928.78,702.82,0.039,-0.540,1
10,51,car,1090.47,375.36,-0.064,-0.186,1
10,52,car,851.67,872.04,0.193,-0.397,1
10,53,bus,688.96,685.26,-0.007,0.005,1
10,54,car,548.09,667.27,-0.020,0.002,1
10,55,car,436.65,651.55,-0.012,-0.000,1
10,56,car,1287.73,643.51,-0.057,0.018,1
10,57,car,1894.59,767.64,-0.073,-0.067,1
10,58,car,281.03,624.28,-0.007,0.003,1
10,59,car,480.60,638.25,-0.016,0.001,1
10,60,car,1159.54,657.84,-0.004,0.001,1
10,61,truck,86.20,628.36,-0.182,0.018,1
10,62,car,1874.42,1010.52,0.009,-0.025,1
10,63,car,720.01,1043.06,0.108,-0.112,1
10,64,truck,1399.87,341.14,-0.015,-0.000,1
10,65,car,369.75,854.57,0.226,-0.333,1
