frame,track_id,label,cx,cy,vx,vy,confirmed
2,1,van,1289.21,596.41,-0.074,-0.019,1
2,2,car,168.97,970.62,0.050,-0.064,1
2,3,car,263.35,848.87,0.040,-0.066,1
2,4,car,353.34,877.40,0.037,-0.053,1
2,5,car,898.92,878.48,0.021,-0.036,1
2,6,car,172.72,880.90,0.043,-0.076,1
2,7,bus,687.70,686.60,0.002,0.006,1
2,8,bus,1780.43,368.31,-0.007,0.004,1
2,9,truck,936.59,149.92,0.019,-0.018,1
2,10,car,781.85,895.73,0.015,-0.028,1
2,11,car,785.00,1031.27,0.021,-0.037,1
2,12,car,949.88,890.16,0.014,-0.020,1
2,13,car,1509.29,687.17,-0.042,-0.002,1
2,14,car,696.10,1002.96,0.024,-0.034,1
2,15,car,1614.36,821.82,-0.002,0.002,1
2,16,car,479.68,638.61,-0.021,0.002,1
2,17,car,353.89,644.55,-0.002,0.004,1
2,18,car,172.72,1046.50,0.042,-0.068,1
2,19,car,88.42,1037.54,0.068,-0.108,1
2,20,car,1684.92,704.57,-0.043,-0.006,1
2,21,car,1613.34,674.41,-0.047,-0.001,1
2,22,car,1720.35,681.37,-0.059,0.004,1
2,23,car,1827.67,994.58,-0.003,0.006,1
2,24,car,1503.22,652.16,-0.064,-0.007,1
2,25,car,1820.32,740.59,-0.055,-0.006,1
2,26,car,282.78,624.85,-0.005,0.002,1
2,27,car,1874.35,1012.24,0.004,0.001,1
2,28,car,725.41,369.65,0.023,-0.038,1
2,29,car,301.15,557.44,0.002,0.002,1
2,30,car,516.20,525.84,-0.105,-0.013,1
2,31,car,1024.15,668.45,-0.013,-0.025,1
2,32,car,962.61,611.10,-0.041,-0.026,1
2,33,car,378.08,565.02,-0.003,0.001,1
2,34,car,1360.26,672.35,-0.026,0.001,1
2,35,car,808.40,611.31,-0.048,-0.013,1
2,36,car,858.07,797.03,0.016,-0.027,1
2,37,car,1496.19,419.87,-0.010,0.006,1
2,38,car,334.44,613.79,-0.007,0.000,1
2,39,truck,549.37,598.37,-0.007,0.000,1
2,40,car,283.72,495.36,-0.082,-0.017,1
2,41,car,1520.78,809.89,0.000,0.005,1
2,42,car,1458.34,735.10,-0.006,0.003,1
2,43,car,1042.87,803.73,0.036,-0.007,1
2,44,car,927.26,715.01,0.008,-0.034,1
2,45,car,881.21,601.69,-0.060,-0.018,1
2,46,car,1787.50,1042.54,0.006,-0.001,1
2,47,car,957.83,654.59,-0.029,-0.019,1
2,48,car,708.35,304.06,0.027,-0.054,1
2,49,car,1635.55,803.06,-0.002,0.006,1
2,50,car,701.53,567.15,-0.066,-0.015,1
2,51,car,1669.17,766.71,-0.007,0.007,1
