frame,track_id,label,cx,cy,vx,vy,confirmed
2,1,bus,1228.57,549.85,0.359,-0.178,1
2,2,person,441.49,682.06,-0.015,0.020,1
2,3,person,344.70,671.04,-0.003,0.016,1
2,4,person,256.24,652.39,-0.026,0.016,1
2,5,person,499.98,630.32,-0.014,0.008,1
2,6,person,600.88,626.30,-0.034,0.009,1
2,7,person,392.75,693.17,0.009,0.009,1
2,8,person,301.59,657.66,-0.025,0.024,1
2,9,person,564.28,626.28,-0.020,0.009,1
2,10,person,146.77,637.55,-0.018,0.006,1
3,1,bus,1233.43,548.36,0.577,-0.248,1
3,2,person,441.40,682.82,-0.019,0.052,1
3,3,person,343.99,671.63,-0.036,0.042,1
3,4,person,255.37,653.17,-0.065,0.049,1
3,5,person,499.36,630.87,-0.040,0.030,1
3,6,person,600.32,627.82,-0.057,0.070,1
3,7,person,392.16,700.18,-0.016,0.282,1
3,8,person,300.86,657.74,-0.054,0.028,1
3,9,person,563.77,627.14,-0.041,0.045,1
3,10,person,145.72,637.68,-0.064,0.012,1
4,1,bus,1239.34,546.65,0.866,-0.334,1
4,2,person,441.49,683.03,-0.014,0.063,1
4,3,person,343.65,672.37,-0.055,0.079,1
4,4,person,254.81,653.70,-0.094,0.075,1
4,5,person,498.40,632.20,-0.086,0.094,1
4,6,person,599.39,628.69,-0.104,0.111,1
4,7,person,391.23,702.69,-0.062,0.404,1
4,8,person,300.34,658.17,-0.078,0.049,1
4,9,person,563.14,628.18,-0.070,0.096,1
4,10,person,145.23,632.66,-0.089,-0.246,1
5,1,bus,1241.62,545.99,0.980,-0.367,1
5,6,person,599.04,629.05,-0.122,0.129,1
5,7,person,390.87,703.59,-0.080,0.452,1
5,10,person,145.05,630.71,-0.099,-0.365,1
6,1,bus,1248.85,546.74,1.347,-0.328,1
6,6,person,598.34,629.80,-0.162,0.167,1
6,7,person,390.62,703.38,-0.094,0.439,1
6,10,person,143.79,631.00,-0.171,-0.344,1
7,1,bus,1251.42,548.34,1.475,-0.243,1
7,6,person,596.79,629.77,-0.250,0.166,1
7,7,person,390.19,703.03,-0.116,0.418,1
7,10,person,141.75,627.92,-0.288,-0.572,1
8,1,bus,1256.96,546.26,1.756,-0.353,1
8,6,person,596.38,630.31,-0.275,0.193,1
8,7,person,389.33,705.53,-0.162,0.564,1
8,10,person,139.38,625.40,-0.421,-0.780,1
8,12,person,342.04,674.84,-0.000,0.018,1
8,13,person,250.92,655.66,-0.020,0.017,1
8,14,person,495.49,635.06,-0.019,0.011,1
8,15,person,296.70,658.98,-0.009,0.009,1
8,16,person,561.66,629.00,0.011,-0.001,1
9,1,bus,1258.41,543.41,1.827,-0.503,1
9,6,person,595.13,629.99,-0.358,0.176,1
9,7,person,388.73,706.99,-0.195,0.652,1
9,10,person,137.30,628.71,-0.530,-0.468,1
9,12,person,342.06,675.24,0.001,0.035,1
9,13,person,249.89,655.90,-0.063,0.027,1
9,14,person,495.38,635.75,-0.023,0.040,1
9,15,person,295.74,659.08,-0.049,0.013,1
9,16,person,561.50,629.02,0.005,-0.000,1
9,17,person,438.68,686.50,0.001,0.022,1
10,1,bus,1275.39,539.92,2.696,-0.686,1
10,6,person,594.21,630.37,-0.426,0.196,1
10,7,person,387.87,707.57,-0.240,0.687,1
10,10,person,135.76,629.46,-0.603,-0.400,1
10,12,person,340.65,676.01,-0.072,0.073,1
10,13,person,249.26,656.01,-0.094,0.033,1
10,14,person,494.39,635.81,-0.072,0.043,1
10,15,person,294.51,659.67,-0.110,0.042,1
10,16,person,561.19,629.51,-0.009,0.023,1
10,17,person,438.04,685.87,-0.026,-0.006,1
10,19,person,1464.57,468.66,0.026,0.009,1
11,1,bus,1281.87,538.65,3.029,-0.751,1
11,7,person,387.51,707.82,-0.259,0.702,1
11,10,person,135.17,629.76,-0.629,-0.373,1
11,12,person,340.42,676.27,-0.084,0.087,1
11,17,person,437.44,686.44,-0.057,0.023,1
11,19,person,1464.24,468.82,0.009,0.016,1
12,1,bus,1268.81,534.85,2.330,-0.947,1
12,7,person,386.55,708.16,-0.307,0.723,1
12,10,person,134.69,638.72,-0.649,0.402,1
12,12,person,339.30,676.84,-0.147,0.118,1
12,17,person,436.35,686.74,-0.119,0.039,1
12,19,person,1464.24,468.82,0.009,0.016,1
13,1,bus,1275.98,538.53,2.705,-0.754,1
13,7,person,385.73,707.32,-0.349,0.666,1
13,10,person,132.90,642.09,-0.728,0.636,1
13,12,person,338.46,677.40,-0.195,0.148,1
13,19,person,1464.24,468.82,0.009,0.016,1
14,1,bus,1279.07,534.64,2.864,-0.956,1
14,7,person,384.81,706.80,-0.397,0.629,1
14,10,person,131.68,643.73,-0.780,0.734,1
14,19,person,1464.25,468.82,0.009,0.016,1
14,20,person,246.95,656.52,-0.039,0.004,1
14,21,person,493.86,637.03,0.000,-0.002,1
14,22,person,292.45,660.49,-0.014,-0.004,1
14,23,person,590.85,631.45,0.014,0.006,1
14,24,person,559.61,631.19,-0.014,0.013,1
15,1,bus,1276.90,532.16,2.743,-1.085,1
15,7,person,383.60,706.15,-0.461,0.583,1
15,10,person,130.95,643.14,-0.809,0.700,1
15,19,person,1502.82,462.83,2.729,-0.285,1
15,20,person,245.46,656.69,-0.102,0.011,1
15,21,person,493.58,637.17,-0.012,0.004,1
15,22,person,291.79,660.32,-0.042,-0.011,1
15,23,person,589.75,630.65,-0.032,-0.027,1
15,24,person,559.31,631.44,-0.027,0.023,1
15,25,person,621.62,633.88,-0.001,0.015,1
16,1,bus,1277.22,530.64,2.755,-1.162,1
16,7,person,382.50,705.61,-0.519,0.542,1
16,10,person,130.33,643.30,-0.833,0.707,1
16,19,person,1502.91,462.82,2.729,-0.285,1
16,20,person,244.46,656.90,-0.153,0.021,1
16,21,person,493.04,637.41,-0.039,0.016,1
16,22,person,291.36,660.34,-0.063,-0.010,1
16,23,person,588.02,630.62,-0.113,-0.029,1
16,24,person,558.99,631.65,-0.043,0.033,1
16,25,person,621.27,634.36,-0.015,0.035,1
16,26,person,434.38,687.19,-0.012,0.007,1
16,27,person,209.54,611.56,-0.001,0.010,1
17,1,bus,1277.45,530.10,2.763,-1.189,1
17,7,person,381.97,705.41,-0.547,0.527,1
17,10,person,130.09,643.37,-0.842,0.710,1
17,19,person,1513.43,462.23,3.520,-0.317,1
17,23,person,587.55,630.62,-0.135,-0.029,1
17,25,person,621.17,634.56,-0.019,0.044,1
17,26,person,434.23,687.28,-0.018,0.011,1
17,27,person,209.65,611.59,0.005,0.011,1
18,1,bus,1278.49,531.90,2.814,-1.091,1
18,10,person,129.55,642.59,-0.864,0.666,1
18,19,person,1526.23,460.90,4.500,-0.388,1
18,23,person,587.49,630.83,-0.138,-0.018,1
18,26,person,433.79,688.05,-0.040,0.050,1
18,27,person,209.67,611.80,0.006,0.022,1
18,28,person,334.35,677.45,-0.023,0.003,1
19,1,bus,1277.60,534.38,2.760,-0.956,1
19,10,person,129.06,643.22,-0.884,0.700,1
19,19,person,1537.25,459.54,5.350,-0.458,1
19,23,person,586.36,631.19,-0.194,0.001,1
19,28,person,333.70,677.46,-0.050,0.004,1
20,1,bus,1285.69,534.21,3.202,-0.964,1
20,10,person,128.72,642.86,-0.898,0.678,1
20,19,person,1552.63,457.13,6.559,-0.577,1
20,23,person,585.65,630.98,-0.231,-0.010,1
20,28,person,333.26,677.60,-0.072,0.011,1
20,29,person,240.89,657.25,-0.016,-0.003,1
20,30,person,491.46,637.82,-0.010,0.008,1
20,31,person,556.89,630.96,-0.021,0.002,1
20,32,person,287.67,660.55,-0.031,0.016,1
21,1,bus,1282.22,533.20,2.999,-1.017,1
21,10,person,127.31,643.09,-0.962,0.690,1
21,19,person,1565.50,454.60,7.508,-0.697,1
21,23,person,583.55,630.65,-0.356,-0.027,1
21,28,person,331.78,677.74,-0.149,0.018,1
21,29,person,239.88,657.47,-0.058,0.007,1
21,30,person,490.87,637.82,-0.033,0.008,1
21,31,person,557.16,630.70,-0.010,-0.009,1
21,32,person,286.73,661.21,-0.069,0.044,1
21,33,person,380.09,703.40,-0.019,-0.015,1
21,34,person,618.52,635.77,-0.018,-0.014,1
22,1,bus,1280.29,533.66,2.884,-0.990,1
22,10,person,127.27,643.11,-0.962,0.690,1
22,19,person,1565.75,454.58,7.508,-0.697,1
22,23,person,581.93,630.62,-0.456,-0.029,1
22,29,person,239.03,657.62,-0.097,0.014,1
22,30,person,490.15,638.00,-0.065,0.017,1
22,31,person,556.91,631.15,-0.022,0.013,1
22,32,person,286.10,661.41,-0.098,0.054,1
22,33,person,379.36,702.90,-0.049,-0.036,1
22,34,person,617.78,636.00,-0.048,-0.004,1
22,35,person,433.78,689.84,0.002,0.011,1
22,36,person,207.86,613.74,-0.011,0.024,1
23,1,bus,1279.72,533.87,2.846,-0.977,1
23,10,person,127.24,643.13,-0.962,0.690,1
23,19,person,1566.01,454.55,7.508,-0.697,1
23,23,person,581.39,630.48,-0.491,-0.036,1
23,33,person,379.17,702.69,-0.058,-0.047,1
23,34,person,617.44,636.08,-0.064,-0.001,1
23,35,person,433.80,689.71,0.003,0.005,1
23,36,person,207.56,613.98,-0.023,0.033,1
24,1,bus,1279.15,532.49,2.808,-1.051,1
24,10,person,127.21,643.16,-0.962,0.690,1
24,19,person,1596.86,449.33,9.784,-0.929,1
24,23,person,581.29,630.32,-0.497,-0.045,1
24,35,person,433.66,689.52,-0.003,-0.004,1
24,36,person,206.61,613.79,-0.064,0.025,1
25,1,bus,1278.96,533.21,2.791,-1.009,1
25,10,person,127.18,643.18,-0.962,0.690,1
25,19,person,1613.94,445.28,10.946,-1.098,1
25,23,person,579.36,630.23,-0.636,-0.049,1
25,36,person,204.98,613.28,-0.144,-0.000,1
25,37,person,329.56,679.02,-0.033,0.012,1
26,1,bus,1279.46,534.21,2.815,-0.951,1
26,10,person,127.15,643.20,-0.962,0.690,1
26,19,person,1614.31,445.24,10.946,-1.098,1
26,23,person,577.64,630.39,-0.774,-0.041,1
26,36,person,203.30,613.04,-0.231,-0.012,1
26,37,person,328.96,679.33,-0.058,0.025,1
26,38,person,235.22,657.98,-0.043,0.005,1
26,39,person,487.80,637.49,-0.009,-0.002,1
26,40,person,283.89,662.01,-0.014,0.000,1
26,41,person,555.68,630.84,-0.017,-0.069,1
26,42,person,594.30,633.30,0.060,0.036,1
27,1,bus,1290.30,535.16,3.443,-0.896,1
27,10,person,127.11,643.23,-0.962,0.690,1
27,19,person,1644.69,439.57,12.889,-1.330,1
27,23,person,576.52,631.06,-0.863,-0.004,1
27,36,person,202.43,613.32,-0.277,0.003,1
27,37,person,327.34,679.32,-0.134,0.025,1
27,38,person,233.85,658.18,-0.106,0.013,1
27,39,person,488.03,638.17,0.000,0.027,1
27,40,person,283.34,661.82,-0.036,-0.008,1
27,41,person,555.21,631.28,-0.037,-0.052,1
27,42,person,594.44,633.94,0.067,0.064,1
27,43,person,376.33,704.49,-0.001,-0.002,1
27,44,person,614.74,634.46,-0.018,-0.007,1
28,1,bus,1290.53,534.47,3.450,-0.933,1
