frame,track_id,label,cx,cy,vx,vy,confirmed
2,1,pedestrian,394.39,702.21,0.003,0.010,1
2,2,pedestrian,497.52,632.39,-0.036,-0.023,1
2,3,pedestrian,448.33,718.37,0.067,0.239,1
2,4,pedestrian,299.22,656.81,0.011,0.021,1
2,5,pedestrian,347.93,693.39,-0.011,-0.003,1
2,7,pedestrian,570.32,627.19,-0.111,0.015,1
2,8,pedestrian,222.67,642.69,-0.027,0.157,1
2,9,pedestrian,618.94,628.10,0.008,-0.011,1
2,10,bus,1422.43,742.99,-0.261,0.061,1
2,11,pedestrian,598.35,630.04,0.016,0.041,1
2,12,pedestrian,240.64,651.90,0.008,0.011,1
2,13,pedestrian,297.20,685.60,-0.005,0.007,1
3,1,pedestrian,393.47,703.67,-0.035,0.073,1
3,2,pedestrian,497.37,634.12,-0.043,0.055,1
3,3,pedestrian,447.15,720.02,0.004,0.324,1
3,4,pedestrian,299.29,657.78,0.014,0.061,1
3,5,pedestrian,347.60,698.42,-0.026,0.211,1
3,7,pedestrian,568.64,627.80,-0.166,0.040,1
3,8,pedestrian,221.55,644.59,-0.081,0.246,1
3,9,pedestrian,618.16,627.99,-0.027,-0.016,1
3,10,bus,1466.35,748.94,1.673,0.320,1
3,11,pedestrian,597.65,629.40,-0.010,0.013,1
3,12,pedestrian,244.61,652.18,0.136,0.022,1
3,13,pedestrian,297.07,685.77,-0.010,0.014,1
3,14,pedestrian,417.60,653.46,0.021,-0.032,1
3,15,pedestrian,627.79,630.26,-0.007,0.028,1
4,1,pedestrian,393.31,704.26,-0.043,0.102,1
4,2,pedestrian,496.96,634.67,-0.065,0.083,1
4,3,pedestrian,445.87,715.06,-0.082,0.012,1
4,4,pedestrian,299.16,658.46,0.008,0.093,1
4,5,pedestrian,346.78,696.55,-0.069,0.113,1
4,7,pedestrian,567.07,628.23,-0.217,0.060,1
4,8,pedestrian,220.73,645.19,-0.126,0.276,1
4,9,pedestrian,617.48,627.69,-0.068,-0.032,1
4,10,bus,1466.41,748.95,1.673,0.320,1
4,11,pedestrian,596.71,629.60,-0.055,0.023,1
4,12,pedestrian,247.06,652.36,0.220,0.030,1
4,13,pedestrian,297.07,685.77,-0.010,0.014,1
4,14,pedestrian,417.61,657.13,0.022,0.150,1
4,15,pedestrian,627.38,629.74,-0.030,0.001,1
4,17,pedestrian,216.15,672.71,-0.019,-0.041,1
5,2,pedestrian,496.80,634.86,-0.074,0.093,1
5,3,pedestrian,445.37,713.09,-0.118,-0.109,1
5,5,pedestrian,346.48,695.80,-0.086,0.071,1
5,7,pedestrian,566.42,628.36,-0.236,0.067,1
5,8,pedestrian,220.41,645.43,-0.144,0.288,1
5,10,bus,1466.47,748.96,1.673,0.320,1
5,11,pedestrian,596.36,629.59,-0.075,0.023,1
5,12,pedestrian,247.99,652.44,0.252,0.034,1
5,13,pedestrian,297.07,685.77,-0.010,0.014,1
5,14,pedestrian,417.62,658.47,0.022,0.226,1
5,15,pedestrian,627.25,629.57,-0.039,-0.009,1
5,17,pedestrian,215.93,672.15,-0.029,-0.061,1
5,20,pedestrian,394.41,639.44,-0.000,0.002,1
6,2,pedestrian,496.44,635.95,-0.095,0.152,1
6,3,pedestrian,443.64,708.09,-0.244,-0.403,1
6,5,pedestrian,345.97,698.24,-0.116,0.205,1
6,7,pedestrian,563.00,629.38,-0.332,0.117,1
6,8,pedestrian,219.33,646.09,-0.209,0.323,1
6,10,bus,1517.95,760.69,4.347,0.897,1
6,11,pedestrian,596.23,631.10,-0.083,0.104,1
6,12,pedestrian,246.76,653.79,0.210,0.100,1
6,13,pedestrian,297.07,685.77,-0.010,0.014,1
6,14,pedestrian,416.51,658.82,-0.038,0.246,1
6,15,pedestrian,626.83,630.02,-0.068,0.017,1
6,17,pedestrian,215.93,672.15,-0.029,-0.061,1
6,20,pedestrian,394.41,639.44,-0.000,0.002,1
7,2,pedestrian,496.27,635.77,-0.105,0.142,1
7,3,pedestrian,444.46,706.53,-0.189,-0.484,1
7,5,pedestrian,345.14,700.61,-0.164,0.338,1
7,7,pedestrian,560.87,629.93,-0.393,0.145,1
7,8,pedestrian,217.78,645.25,-0.308,0.276,1
7,10,bus,1528.83,759.23,4.909,0.828,1
7,11,pedestrian,595.94,631.02,-0.101,0.100,1
7,12,pedestrian,246.67,654.87,0.207,0.154,1
7,13,pedestrian,297.07,685.77,-0.010,0.014,1
7,14,pedestrian,415.22,659.45,-0.109,0.282,1
7,15,pedestrian,626.24,630.60,-0.110,0.052,1
7,17,pedestrian,215.93,672.14,-0.029,-0.061,1
7,19,pedestrian,471.82,649.82,-0.004,0.014,1
7,20,pedestrian,394.12,634.34,-0.012,-0.190,1
8,2,pedestrian,496.75,636.53,-0.076,0.182,1
8,3,pedestrian,444.45,706.52,-0.189,-0.484,1
8,5,pedestrian,343.21,704.50,-0.278,0.569,1
8,7,pedestrian,559.71,630.07,-0.429,0.152,1
8,8,pedestrian,216.64,643.40,-0.383,0.170,1
8,10,bus,1503.80,757.15,3.599,0.730,1
8,11,pedestrian,596.52,632.30,-0.061,0.172,1
8,12,pedestrian,247.87,655.62,0.243,0.191,1
8,13,pedestrian,297.07,685.77,-0.010,0.014,1
8,14,pedestrian,414.45,660.90,-0.151,0.368,1
8,15,pedestrian,625.80,631.54,-0.142,0.111,1
8,17,pedestrian,215.93,672.14,-0.029,-0.061,1
8,18,pedestrian,297.76,661.44,-0.053,0.043,1
8,19,pedestrian,471.11,652.84,-0.032,0.136,1
8,20,pedestrian,394.12,634.33,-0.012,-0.190,1
8,21,pedestrian,392.54,706.46,0.009,0.021,1
8,24,pedestrian,578.10,636.05,-0.002,0.006,1
9,2,pedestrian,496.48,637.00,-0.092,0.206,1
9,3,pedestrian,444.44,706.50,-0.189,-0.484,1
9,5,pedestrian,342.12,700.05,-0.341,0.281,1
9,7,pedestrian,560.00,630.49,-0.419,0.174,1
9,8,pedestrian,216.14,645.45,-0.415,0.294,1
9,10,bus,1491.15,758.40,2.915,0.789,1
