frame,track_id,label,cx,cy,vx,vy,confirmed
2,1,car,218.87,229.95,-0.029,0.010,1
2,2,pedestrian,303.65,204.18,0.013,0.002,1
2,5,car,503.26,202.79,0.020,-0.007,1
3,1,car,216.52,229.91,-0.134,0.008,1
3,2,pedestrian,303.67,203.74,0.013,-0.017,1
3,3,car,429.61,230.33,0.017,-0.154,1
3,5,car,503.26,202.79,0.020,-0.007,1
4,1,car,215.09,229.79,-0.209,0.002,1
4,2,pedestrian,303.48,203.42,0.002,-0.032,1
4,3,car,428.34,233.10,-0.032,-0.056,1
4,5,car,503.94,200.69,0.051,-0.099,1
4,10,car,411.66,196.14,-0.034,-0.010,1
4,11,people,608.13,186.89,-0.011,-0.035,1
4,12,people,624.33,205.20,-0.015,-0.010,1
5,1,car,214.26,229.57,-0.254,-0.010,1
5,2,pedestrian,303.48,203.42,0.002,-0.032,1
5,3,car,427.79,234.29,-0.056,-0.005,1
5,5,car,503.98,200.63,0.052,-0.101,1
5,8,pedestrian,15.00,191.83,0.030,0.039,1
5,10,car,410.85,195.84,-0.068,-0.022,1
5,11,people,608.13,186.89,-0.011,-0.035,1
5,12,people,622.65,203.76,-0.059,-0.067,1
6,1,car,213.61,229.44,-0.290,-0.017,1
6,2,pedestrian,303.48,203.42,0.002,-0.032,1
6,3,car,427.79,234.29,-0.056,-0.005,1
6,5,car,504.90,200.05,0.096,-0.128,1
6,8,pedestrian,14.32,192.05,-0.002,0.048,1
6,10,car,410.84,195.84,-0.068,-0.022,1
6,11,people,608.12,186.89,-0.011,-0.035,1
6,12,people,622.65,203.76,-0.059,-0.067,1
7,2,pedestrian,303.48,203.42,0.002,-0.032,1
7,3,car,425.74,221.95,-0.157,-0.611,1
7,5,car,504.90,200.05,0.096,-0.128,1
7,8,pedestrian,14.78,193.55,0.021,0.111,1
7,10,car,409.92,195.93,-0.114,-0.018,1
7,11,people,608.12,186.89,-0.011,-0.035,1
7,12,people,622.64,203.76,-0.059,-0.067,1
7,14,people,602.69,223.43,-0.028,0.057,1
8,2,pedestrian,303.49,203.42,0.002,-0.032,1
8,3,car,424.14,228.40,-0.234,-0.403,1
8,5,car,504.91,200.04,0.096,-0.128,1
8,8,pedestrian,14.78,193.56,0.021,0.111,1
8,10,car,407.22,196.12,-0.256,-0.009,1
8,11,people,608.12,186.89,-0.011,-0.035,1
8,12,people,622.64,203.75,-0.059,-0.067,1
8,14,people,602.04,224.20,-0.054,0.091,1
9,2,pedestrian,303.49,203.42,0.002,-0.032,1
9,3,car,424.06,233.21,-0.238,-0.241,1
9,5,car,503.39,201.71,0.027,-0.049,1
9,8,pedestrian,14.78,193.56,0.021,0.111,1
9,10,car,407.78,196.22,-0.225,-0.003,1
9,11,people,608.12,186.89,-0.011,-0.035,1
9,12,people,622.64,203.75,-0.059,-0.067,1
9,13,pedestrian,591.28,250.61,0.004,0.517,1
9,14,people,602.04,224.20,-0.054,0.091,1
9,17,bicycle,460.65,118.06,-0.012,0.009,1
10,2,pedestrian,303.49,203.42,0.002,-0.032,1
10,3,car,423.12,234.39,-0.286,-0.193,1
10,5,car,501.26,202.38,-0.075,-0.015,1
10,8,pedestrian,14.78,193.56,0.021,0.111,1
10,10,car,407.99,196.18,-0.214,-0.006,1
10,11,people,608.12,186.89,-0.011,-0.035,1
10,12,people,616.14,204.84,-0.224,-0.014,1
10,13,pedestrian,591.89,251.76,0.026,0.560,1
10,14,people,601.86,231.44,-0.062,0.411,1
10,17,bicycle,460.65,118.06,-0.012,0.009,1
10,18,car,204.46,229.36,-0.163,0.002,1
11,2,pedestrian,303.49,203.42,0.002,-0.032,1
11,3,car,423.24,234.78,-0.279,-0.175,1
11,4,pedestrian,323.05,185.88,-0.075,-0.606,1
11,5,car,501.26,202.38,-0.075,-0.015,1
11,8,pedestrian,14.78,193.57,0.021,0.111,1
11,10,car,411.79,196.18,-0.012,-0.005,1
11,11,people,603.51,180.73,-0.383,-0.361,1
11,12,people,614.51,194.61,-0.259,-0.428,1
11,13,pedestrian,591.89,251.78,0.026,0.560,1
11,14,people,601.86,231.45,-0.062,0.411,1
11,17,bicycle,460.60,117.81,-0.015,-0.004,1
11,18,car,200.78,229.60,-0.321,0.013,1
12,2,pedestrian,303.49,203.41,0.002,-0.032,1
12,3,car,422.34,233.95,-0.324,-0.214,1
12,4,pedestrian,323.05,185.86,-0.075,-0.606,1
12,5,car,501.25,202.38,-0.075,-0.015,1
12,8,pedestrian,14.78,193.57,0.021,0.111,1
12,10,car,412.81,196.71,0.039,0.022,1
12,11,people,603.50,180.72,-0.383,-0.361,1
12,12,people,614.50,194.59,-0.259,-0.428,1
12,13,pedestrian,591.89,251.80,0.026,0.560,1
12,14,people,601.86,231.47,-0.062,0.411,1
12,17,bicycle,460.60,117.81,-0.015,-0.004,1
12,18,car,200.88,229.94,-0.315,0.030,1
12,19,pedestrian,531.26,187.27,-0.014,0.003,1
12,20,truck,147.95,134.68,-0.151,-0.054,1
13,2,pedestrian,303.49,203.41,0.002,-0.032,1
13,3,car,421.79,232.80,-0.350,-0.265,1
13,7,car,382.68,213.44,0.404,-0.032,1
13,8,pedestrian,14.79,193.58,0.021,0.111,1
13,10,car,412.81,196.71,0.039,0.022,1
13,11,people,603.48,180.71,-0.383,-0.361,1
13,12,people,613.55,192.41,-0.277,-0.509,1
13,13,pedestrian,591.89,251.81,0.026,0.560,1
13,14,people,601.85,231.48,-0.062,0.411,1
