frame,track_id,label,cx,cy,vx,vy,confirmed
2,1,boat,239.50,252.55,0.001,0.003,1
3,1,boat,239.39,252.61,-0.005,0.006,1
4,1,boat,239.58,252.65,0.006,0.008,1
4,2,boat,35.21,241.39,-0.004,0.007,1
4,3,boat,77.99,245.46,-0.007,-0.000,1
5,2,boat,34.50,241.20,-0.045,-0.004,1
5,3,boat,77.86,245.62,-0.014,0.008,1
6,2,boat,34.00,241.07,-0.076,-0.012,1
6,3,boat,77.65,245.87,-0.026,0.024,1
6,4,boat,128.52,234.45,-0.001,-0.004,1
7,2,boat,34.00,241.07,-0.076,-0.012,1
7,4,boat,128.22,234.44,-0.016,-0.004,1
7,5,boat,5.54,226.92,-0.010,-0.005,1
8,2,boat,33.99,241.07,-0.076,-0.012,1
8,4,boat,128.14,234.29,-0.022,-0.013,1
8,5,boat,5.39,226.86,-0.020,-0.008,1
9,2,boat,33.99,241.07,-0.076,-0.012,1
9,5,boat,5.30,226.76,-0.027,-0.016,1
9,6,boat,192.05,237.31,-0.002,0.003,1
10,2,boat,37.64,243.50,0.153,0.150,1
10,6,boat,191.96,237.46,-0.007,0.011,1
11,2,boat,37.65,243.50,0.153,0.150,1
11,6,boat,191.96,237.68,-0.006,0.026,1
11,7,boat,76.63,246.18,-0.028,0.005,1
12,2,boat,37.66,243.51,0.153,0.150,1
12,7,boat,76.63,246.18,-0.028,0.005,1
12,8,boat,127.60,234.85,-0.006,0.004,1
13,2,boat,37.66,243.52,0.153,0.150,1
13,7,boat,76.63,246.18,-0.028,0.005,1
13,8,boat,127.25,234.83,-0.025,0.003,1
14,2,boat,37.67,243.52,0.153,0.150,1
14,7,boat,76.63,246.18,-0.028,0.005,1
14,8,boat,126.72,234.73,-0.057,-0.003,1
15,2,boat,37.68,243.53,0.153,0.150,1
15,7,boat,66.59,244.94,-0.641,-0.066,1
15,8,boat,126.72,234.73,-0.057,-0.003,1
16,2,boat,37.68,243.54,0.153,0.150,1
16,7,boat,66.56,244.93,-0.641,-0.066,1
16,9,boat,191.55,237.93,0.004,-0.001,1
17,2,boat,37.69,243.54,0.153,0.150,1
17,7,boat,66.53,244.93,-0.641,-0.066,1
17,9,boat,191.85,237.95,0.020,-0.000,1
18,2,boat,37.70,243.55,0.153,0.150,1
18,7,boat,75.20,246.37,-0.309,0.006,1
18,9,boat,191.89,237.89,0.023,-0.004,1
19,2,boat,37.70,243.55,0.153,0.150,1
19,7,boat,75.19,246.37,-0.309,0.006,1
20,2,boat,31.29,242.89,-0.478,0.083,1
20,7,boat,77.43,247.05,-0.188,0.045,1
21,2,boat,31.27,242.90,-0.478,0.083,1
21,7,boat,77.79,247.41,-0.164,0.067,1
21,10,boat,126.19,235.63,-0.004,0.007,1
22,2,boat,30.57,243.06,-0.526,0.097,1
22,7,boat,77.02,247.61,-0.221,0.080,1
22,10,boat,125.97,236.71,-0.016,0.064,1
23,2,boat,30.54,243.07,-0.526,0.097,1
23,7,boat,76.82,247.84,-0.236,0.096,1
23,10,boat,125.97,236.72,-0.016,0.064,1
24,2,boat,30.52,243.07,-0.526,0.097,1
24,7,boat,76.88,248.08,-0.230,0.112,1
24,10,boat,125.97,236.72,-0.016,0.064,1
25,2,boat,30.50,243.07,-0.526,0.097,1
25,7,boat,77.07,248.32,-0.215,0.129,1
25,10,boat,125.97,236.72,-0.016,0.064,1
26,2,boat,30.64,239.02,-0.516,-0.255,1
26,7,boat,81.87,249.06,0.162,0.180,1
26,10,boat,125.97,236.72,-0.016,0.064,1
27,2,boat,30.46,242.01,-0.525,-0.074,1
27,7,boat,84.21,249.32,0.400,0.199,1
27,10,boat,125.96,236.73,-0.016,0.064,1
28,2,boat,30.36,242.68,-0.529,-0.030,1
28,7,boat,79.83,249.34,-0.197,0.201,1
28,10,boat,125.40,236.71,-0.053,0.063,1
29,2,boat,29.11,242.83,-0.595,-0.019,1
29,7,boat,77.05,249.02,-0.512,0.174,1
30,2,boat,27.92,242.99,-0.657,-0.007,1
30,7,boat,75.48,248.84,-0.654,0.161,1
31,2,boat,27.34,243.13,-0.688,0.003,1
31,7,boat,75.45,248.85,-0.654,0.161,1
32,2,boat,27.33,243.53,-0.687,0.034,1
32,7,boat,75.43,248.86,-0.654,0.161,1
33,2,boat,26.96,243.64,-0.706,0.043,1
33,7,boat,75.40,248.86,-0.654,0.161,1
34,2,boat,26.77,243.62,-0.714,0.041,1
34,7,boat,75.05,249.32,-0.679,0.192,1
35,7,boat,75.02,249.33,-0.679,0.192,1
36,7,boat,74.99,249.33,-0.679,0.192,1
37,7,boat,74.96,249.34,-0.679,0.192,1
38,11,boat,25.75,244.45,-0.014,0.003,1
39,11,boat,25.83,244.58,-0.009,0.009,1
40,11,boat,25.52,244.73,-0.030,0.018,1
41,12,boat,75.65,250.43,-0.007,-0.000,1
42,12,boat,75.47,250.42,-0.017,-0.001,1
43,12,boat,74.51,250.35,-0.079,-0.005,1
44,13,boat,24.41,245.74,0.003,-0.001,1
44,14,boat,124.60,237.77,0.004,-0.004,1
45,13,boat,24.29,245.81,-0.004,0.002,1
45,14,boat,124.12,237.92,-0.022,0.004,1
46,13,boat,24.10,245.86,-0.016,0.005,1
46,14,boat,124.04,238.20,-0.027,0.021,1
47,14,boat,124.04,238.20,-0.027,0.021,1
47,15,boat,74.90,250.54,-0.018,0.014,1
48,14,boat,124.04,238.20,-0.027,0.021,1
48,15,boat,74.53,250.46,-0.038,0.009,1
49,14,boat,124.03,238.20,-0.027,0.021,1
49,15,boat,74.58,250.54,-0.035,0.014,1
50,14,boat,124.03,238.20,-0.027,0.021,1
51,14,boat,124.03,238.20,-0.027,0.021,1
52,14,boat,124.03,238.20,-0.027,0.021,1
53,14,boat,124.03,238.20,-0.027,0.021,1
53,16,boat,73.52,251.34,0.003,0.007,1
54,14,boat,124.03,238.20,-0.027,0.021,1
54,16,boat,72.21,251.38,-0.071,0.010,1
54,17,boat,22.16,246.58,-0.014,0.006,1
55,14,boat,124.03,238.21,-0.027,0.021,1
55,16,boat,71.03,251.50,-0.141,0.017,1
55,17,boat,25.07,247.76,0.164,0.068,1
56,14,boat,124.03,238.21,-0.027,0.021,1
56,17,boat,25.37,248.22,0.187,0.098,1
57,14,boat,124.02,238.21,-0.027,0.021,1
57,17,boat,23.99,248.23,0.058,0.098,1
58,14,boat,124.02,238.21,-0.027,0.021,1
58,17,boat,22.27,247.60,-0.101,0.048,1
59,14,boat,124.02,238.21,-0.027,0.021,1
59,17,boat,21.42,247.36,-0.173,0.029,1
60,14,boat,124.02,238.21,-0.027,0.021,1
60,17,boat,21.41,247.36,-0.173,0.029,1
61,14,boat,124.02,238.21,-0.027,0.021,1
61,17,boat,21.40,247.36,-0.173,0.029,1
61,18,boat,190.85,241.23,0.004,0.003,1
62,17,boat,21.40,247.36,-0.173,0.029,1
62,18,boat,190.93,241.31,0.008,0.007,1
62,19,boat,68.90,251.69,-0.008,0.001,1
63,18,boat,190.87,241.49,0.004,0.018,1
63,19,boat,68.71,251.93,-0.018,0.014,1
64,19,boat,68.55,251.96,-0.028,0.016,1
68,20,boat,67.92,252.48,-0.008,0.002,1
69,20,boat,67.90,252.56,-0.009,0.007,1
69,21,boat,190.89,241.60,0.007,0.002,1
69,22,boat,20.43,247.91,0.004,-0.006,1
70,20,boat,67.78,252.59,-0.017,0.008,1
70,21,boat,190.96,241.67,0.011,0.006,1
70,22,boat,20.56,248.06,0.012,0.002,1
71,20,boat,67.78,252.59,-0.017,0.008,1
71,21,boat,191.03,241.71,0.016,0.009,1
71,22,boat,20.57,248.09,0.013,0.004,1
75,24,boat,66.98,253.21,-0.010,0.008,1
76,24,boat,66.90,253.16,-0.015,0.005,1
77,24,boat,66.79,253.08,-0.021,-0.000,1
81,25,boat,67.42,253.32,0.009,0.004,1
82,25,boat,67.70,253.87,0.025,0.034,1
83,25,boat,67.79,253.99,0.031,0.042,1
92,26,boat,66.25,254.94,0.003,0.001,1
93,26,boat,66.42,255.01,0.013,0.005,1
94,26,boat,66.53,255.10,0.019,0.010,1
98,27,boat,66.44,255.36,0.007,0.004,1
99,27,boat,66.52,255.40,0.012,0.006,1
100,27,boat,66.84,255.43,0.032,0.008,1
104,28,boat,69.34,255.68,0.006,-0.007,1
