frame,track_id,label,cx,cy,vx,vy,confirmed
2,1,person,54.78,267.72,-0.057,-0.090,1
2,2,motorcycle,211.86,221.99,0.048,-0.018,1
2,3,person,585.26,271.30,-0.010,-0.043,1
3,1,person,54.40,268.60,-0.081,-0.038,1
3,2,motorcycle,211.94,221.78,0.053,-0.030,1
3,3,person,584.85,271.08,-0.032,-0.054,1
3,4,motorcycle,392.27,238.03,-0.543,-0.251,1
4,1,person,53.75,260.86,-0.125,-0.564,1
4,2,motorcycle,211.99,221.55,0.056,-0.044,1
4,3,person,583.93,271.07,-0.087,-0.055,1
4,4,motorcycle,390.19,239.88,-0.680,-0.170,1
4,5,motorcycle,499.23,192.27,0.045,-1.025,1
5,1,person,53.73,257.24,-0.127,-0.875,1
5,4,motorcycle,385.26,239.43,-1.017,-0.191,1
5,5,motorcycle,498.05,206.70,-0.015,-0.165,1
6,1,person,53.27,255.33,-0.160,-1.068,1
6,4,motorcycle,409.62,238.24,0.643,-0.251,1
6,5,motorcycle,498.05,206.69,-0.015,-0.165,1
7,1,person,53.16,253.26,-0.167,-1.296,1
7,4,motorcycle,416.64,234.95,1.186,-0.418,1
7,5,motorcycle,498.05,206.68,-0.015,-0.165,1
8,1,person,52.02,252.53,-0.253,-1.376,1
8,4,motorcycle,434.10,237.65,2.724,-0.283,1
8,5,motorcycle,498.05,206.68,-0.015,-0.165,1
8,6,motorcycle,212.51,218.15,0.004,-0.022,1
8,7,person,581.89,273.49,0.003,0.037,1
9,1,person,51.96,252.28,-0.257,-1.399,1
9,4,motorcycle,402.69,238.37,-0.744,-0.246,1
9,5,motorcycle,498.05,206.67,-0.015,-0.165,1
9,6,motorcycle,212.19,217.53,-0.015,-0.058,1
9,7,person,581.78,273.58,-0.003,0.041,1
10,1,person,51.79,252.21,-0.269,-1.400,1
10,4,motorcycle,402.66,238.36,-0.744,-0.246,1
10,5,motorcycle,491.09,236.40,-0.457,2.146,1
10,6,motorcycle,229.62,232.60,1.108,0.899,1
10,7,person,581.90,273.14,0.005,0.014,1
11,1,person,50.55,253.06,-0.369,-1.288,1
11,4,motorcycle,365.67,252.96,-3.990,0.514,1
11,5,motorcycle,496.29,236.33,-0.124,2.134,1
11,6,motorcycle,214.64,223.54,0.035,0.228,1
12,1,person,50.45,252.74,-0.376,-1.320,1
12,4,motorcycle,359.79,251.23,-4.540,0.409,1
12,5,motorcycle,485.13,240.95,-0.925,2.483,1
12,6,motorcycle,213.73,221.46,-0.032,0.074,1
13,1,person,50.41,253.00,-0.378,-1.280,1
13,4,motorcycle,362.33,253.99,-4.269,0.582,1
13,5,motorcycle,494.23,211.38,-0.222,0.221,1
13,6,motorcycle,213.49,220.23,-0.048,-0.012,1
14,1,person,50.70,252.28,-0.352,-1.364,1
14,4,motorcycle,396.78,243.20,-0.853,-0.144,1
14,5,motorcycle,494.22,211.39,-0.222,0.221,1
14,6,motorcycle,212.09,218.88,-0.144,-0.105,1
14,8,person,581.68,268.59,-0.022,-0.036,1
15,1,person,49.79,252.12,-0.429,-1.378,1
15,4,motorcycle,369.34,254.14,-3.669,0.524,1
15,5,motorcycle,491.31,198.21,-0.429,-0.790,1
15,6,motorcycle,212.66,219.41,-0.104,-0.069,1
15,8,person,581.33,268.61,-0.041,-0.035,1
16,1,person,49.59,252.46,-0.445,-1.327,1
16,4,motorcycle,362.40,255.76,-4.390,0.631,1
16,5,motorcycle,479.95,194.72,-1.159,-1.056,1
16,6,motorcycle,212.17,218.83,-0.138,-0.107,1
16,8,person,581.92,267.87,-0.005,-0.083,1
17,1,person,50.75,252.45,-0.339,-1.321,1
17,4,motorcycle,363.97,251.49,-4.205,0.326,1
17,5,motorcycle,479.90,194.68,-1.159,-1.056,1
17,6,motorcycle,212.55,219.67,-0.111,-0.050,1
17,8,person,581.63,264.56,-0.024,-0.315,1
18,1,person,50.06,253.88,-0.399,-1.131,1
18,4,motorcycle,363.80,251.50,-4.205,0.326,1
18,5,motorcycle,467.58,193.30,-1.819,-1.159,1
18,6,motorcycle,212.87,220.59,-0.089,0.013,1
18,8,person,581.92,264.50,-0.004,-0.319,1
18,9,motorcycle,497.69,228.49,0.320,0.054,1
19,1,person,49.69,253.89,-0.430,-1.124,1
19,4,motorcycle,363.62,251.52,-4.205,0.326,1
19,5,motorcycle,467.51,193.25,-1.819,-1.159,1
19,6,motorcycle,212.22,221.05,-0.133,0.044,1
19,8,person,582.26,263.63,0.018,-0.387,1
19,9,motorcycle,499.87,221.14,0.434,-0.414,1
20,1,person,49.89,253.61,-0.411,-1.154,1
20,4,motorcycle,363.44,251.53,-4.205,0.326,1
20,5,motorcycle,468.09,193.13,-1.789,-1.164,1
20,6,motorcycle,211.45,220.82,-0.187,0.028,1
20,8,person,581.53,263.34,-0.032,-0.410,1
20,9,motorcycle,499.89,221.13,0.434,-0.414,1
21,1,person,49.78,254.99,-0.419,-0.971,1
21,4,motorcycle,363.27,251.54,-4.205,0.326,1
21,5,motorcycle,472.19,196.36,-1.596,-0.911,1
21,6,motorcycle,212.64,221.28,-0.102,0.061,1
21,8,person,581.87,263.27,-0.009,-0.415,1
21,9,motorcycle,499.91,221.11,0.434,-0.414,1
22,1,person,49.36,255.45,-0.456,-0.908,1
22,4,motorcycle,363.09,251.56,-4.205,0.326,1
22,5,motorcycle,479.88,194.51,-1.227,-1.047,1
22,6,motorcycle,212.66,221.62,-0.100,0.085,1
22,8,person,581.60,263.38,-0.027,-0.403,1
22,9,motorcycle,499.93,221.09,0.434,-0.414,1
23,1,person,49.29,255.07,-0.461,-0.951,1
23,4,motorcycle,362.92,251.57,-4.205,0.326,1
23,5,motorcycle,485.96,196.60,-0.913,-0.886,1
23,6,motorcycle,211.86,221.81,-0.157,0.098,1
23,8,person,581.40,263.44,-0.041,-0.397,1
23,9,motorcycle,499.95,221.08,0.434,-0.414,1
24,1,person,50.06,254.24,-0.387,-1.052,1
24,4,motorcycle,397.19,248.05,-0.304,0.080,1
24,5,motorcycle,489.60,194.57,-0.707,-1.034,1
24,6,motorcycle,213.02,221.74,-0.073,0.093,1
24,9,motorcycle,490.58,235.72,-0.152,0.856,1
25,1,person,49.12,255.30,-0.472,-0.911,1
25,4,motorcycle,409.14,244.21,0.865,-0.183,1
25,5,motorcycle,495.10,194.17,-0.378,-1.062,1
25,6,motorcycle,213.27,221.72,-0.055,0.090,1
25,9,motorcycle,490.58,235.76,-0.152,0.856,1
26,1,person,49.03,254.75,-0.479,-0.976,1
26,4,motorcycle,399.31,245.83,-0.133,-0.075,1
26,5,motorcycle,491.55,193.59,-0.605,-1.104,1
26,6,motorcycle,213.29,221.76,-0.053,0.093,1
26,9,motorcycle,490.57,235.79,-0.152,0.856,1
27,1,person,49.29,254.19,-0.452,-1.043,1
27,4,motorcycle,390.91,244.32,-0.894,-0.175,1
27,5,motorcycle,489.59,193.60,-0.730,-1.099,1
27,6,motorcycle,213.42,221.86,-0.044,0.100,1
27,9,motorcycle,490.56,235.83,-0.152,0.856,1
27,10,person,579.26,264.03,0.006,-0.001,1
28,1,person,49.18,254.14,-0.461,-1.043,1
28,4,motorcycle,390.87,244.31,-0.894,-0.175,1
28,5,motorcycle,462.95,194.99,-2.427,-0.981,1
28,6,motorcycle,213.49,221.64,-0.039,0.084,1
28,9,motorcycle,501.96,239.69,0.691,1.144,1
28,10,person,580.82,264.25,0.083,0.011,1
29,1,person,48.88,253.44,-0.488,-1.127,1
29,4,motorcycle,404.56,241.66,0.191,-0.345,1
29,5,motorcycle,473.77,192.94,-1.864,-1.146,1
29,6,motorcycle,213.38,221.83,-0.047,0.098,1
29,9,motorcycle,501.99,239.74,0.691,1.144,1
29,10,person,580.32,265.12,0.054,0.066,1
30,1,person,48.55,252.58,-0.518,-1.231,1
30,4,motorcycle,406.87,243.35,0.401,-0.238,1
30,5,motorcycle,468.77,194.17,-2.122,-1.042,1
30,6,motorcycle,213.36,221.37,-0.048,0.064,1
30,9,motorcycle,502.02,239.79,0.691,1.144,1
30,10,person,581.56,266.20,0.130,0.137,1
31,4,motorcycle,415.45,237.04,1.293,-0.640,1
31,5,motorcycle,468.68,194.12,-2.122,-1.042,1
31,6,motorcycle,219.93,219.84,0.438,-0.047,1
31,9,motorcycle,502.04,239.84,0.691,1.144,1
31,10,person,582.03,267.27,0.160,0.207,1
32,4,motorcycle,417.33,241.74,1.489,-0.355,1
32,5,motorcycle,468.59,194.08,-2.122,-1.042,1
32,6,motorcycle,215.85,219.65,0.135,-0.061,1
32,9,motorcycle,502.07,239.89,0.691,1.144,1
32,10,person,581.83,269.16,0.146,0.331,1
33,4,motorcycle,412.33,244.74,0.942,-0.168,1
33,5,motorcycle,480.65,196.67,-1.501,-0.825,1
33,6,motorcycle,214.20,218.85,0.012,-0.119,1
33,9,motorcycle,502.10,239.93,0.691,1.144,1
33,10,person,580.39,272.07,0.048,0.516,1
34,4,motorcycle,409.41,244.69,0.611,-0.170,1
34,5,motorcycle,475.59,197.62,-1.780,-0.743,1
34,6,motorcycle,213.53,217.60,-0.038,-0.209,1
34,9,motorcycle,502.13,239.98,0.691,1.144,1
34,10,person,580.37,275.02,0.047,0.693,1
34,11,person,47.89,248.07,-0.031,-0.024,1
35,4,motorcycle,405.63,245.94,0.169,-0.086,1
35,5,motorcycle,475.52,197.59,-1.780,-0.743,1
35,6,motorcycle,213.40,215.90,-0.047,-0.333,1
35,9,motorcycle,502.16,240.03,0.691,1.144,1
35,10,person,580.47,276.60,0.053,0.783,1
35,11,person,47.89,248.07,-0.031,-0.024,1
36,4,motorcycle,408.80,244.83,0.551,-0.162,1
36,5,motorcycle,475.45,197.56,-1.780,-0.743,1
36,6,motorcycle,213.14,214.42,-0.067,-0.439,1
36,9,motorcycle,502.19,240.08,0.691,1.144,1
36,10,person,580.34,279.15,0.044,0.924,1
36,11,person,48.06,246.31,-0.021,-0.124,1
37,4,motorcycle,380.06,252.21,-2.895,0.350,1
37,5,motorcycle,459.85,208.91,-2.664,0.225,1
37,6,motorcycle,213.43,214.09,-0.045,-0.461,1
37,9,motorcycle,502.22,240.12,0.691,1.144,1
37,10,person,578.95,280.39,-0.048,0.988,1
37,11,person,48.02,244.81,-0.023,-0.217,1
38,4,motorcycle,407.33,244.92,0.225,-0.203,1
38,5,motorcycle,459.73,208.92,-2.664,0.225,1
38,6,motorcycle,213.08,213.52,-0.071,-0.500,1
38,9,motorcycle,502.25,240.17,0.691,1.144,1
38,10,person,578.88,281.78,-0.053,1.057,1
38,11,person,48.02,244.80,-0.023,-0.217,1
39,4,motorcycle,414.23,243.93,0.975,-0.274,1
39,5,motorcycle,459.62,208.93,-2.664,0.225,1
39,6,motorcycle,212.82,212.56,-0.091,-0.567,1
39,9,motorcycle,502.27,240.22,0.691,1.144,1
39,10,person,578.67,282.38,-0.066,1.085,1
39,11,person,48.02,244.79,-0.023,-0.217,1
40,4,motorcycle,414.51,238.46,0.999,-0.659,1
40,5,motorcycle,459.51,208.93,-2.664,0.225,1
40,6,motorcycle,212.84,212.08,-0.090,-0.599,1
40,9,motorcycle,502.30,240.27,0.691,1.144,1
40,10,person,577.74,283.98,-0.127,1.162,1
40,11,person,48.01,244.78,-0.023,-0.217,1
41,4,motorcycle,374.25,251.17,-3.227,0.176,1
41,5,motorcycle,459.40,208.94,-2.664,0.225,1
41,6,motorcycle,212.88,214.16,-0.086,-0.449,1
41,9,motorcycle,502.33,240.31,0.691,1.144,1
41,10,person,576.06,286.66,-0.233,1.287,1
42,4,motorcycle,364.47,256.24,-4.313,0.550,1
