frame,track_id,label,cx,cy,vx,vy,confirmed
8,1,car,343.06,267.16,0.689,-1.136,1
9,1,car,343.09,267.11,0.689,-1.136,1
10,1,car,343.11,267.07,0.689,-1.136,1
11,1,car,329.86,280.44,0.097,-0.413,1
12,1,car,324.67,286.45,-0.174,-0.028,1
13,1,car,322.12,292.98,-0.322,0.482,1
14,1,car,322.70,291.38,-0.285,0.322,1
15,1,car,321.99,281.76,-0.331,-0.682,1
16,1,car,321.69,278.00,-0.351,-1.016,1
17,1,car,321.68,277.96,-0.351,-1.016,1
18,1,car,321.66,277.92,-0.351,-1.016,1
19,1,car,322.61,286.08,-0.286,-0.392,1
20,1,car,322.21,293.77,-0.313,0.252,1
21,1,car,322.20,293.78,-0.313,0.252,1
22,1,car,325.51,288.28,-0.080,-0.355,1
23,1,car,325.85,294.01,-0.056,0.237,1
24,1,car,325.85,294.02,-0.056,0.237,1
25,1,car,326.92,283.70,0.020,-0.989,1
25,4,car,363.03,237.47,-0.079,-0.070,1
26,1,car,326.18,285.78,-0.034,-0.780,1
26,4,car,363.54,241.44,-0.049,0.168,1
27,1,car,325.19,292.29,-0.109,-0.161,1
27,3,car,130.18,235.58,0.141,0.007,1
27,4,car,364.25,241.12,-0.004,0.145,1
28,1,car,326.03,296.29,-0.045,0.270,1
28,3,car,130.20,235.22,0.141,-0.017,1
28,4,car,363.38,237.35,-0.062,-0.144,1
29,1,car,324.84,285.23,-0.135,-1.084,1
29,3,car,130.20,235.22,0.141,-0.017,1
29,4,car,366.02,237.61,0.120,-0.123,1
30,1,car,325.52,287.31,-0.084,-0.876,1
30,3,car,130.21,235.22,0.141,-0.017,1
30,4,car,366.90,233.44,0.183,-0.434,1
31,1,car,323.90,287.48,-0.204,-0.856,1
31,3,car,129.33,233.70,0.089,-0.117,1
31,4,car,367.74,235.82,0.241,-0.277,1
32,1,car,323.89,287.44,-0.204,-0.856,1
32,3,car,127.57,232.89,-0.015,-0.170,1
32,4,car,368.59,234.26,0.301,-0.381,1
33,1,car,323.00,283.74,-0.271,-1.211,1
33,3,car,127.57,232.88,-0.015,-0.170,1
33,4,car,366.27,237.05,0.133,-0.208,1
34,1,car,322.02,280.29,-0.343,-1.516,1
34,3,car,127.57,232.88,-0.015,-0.170,1
34,4,car,364.94,237.14,0.037,-0.202,1
35,1,car,325.16,273.15,-0.110,-2.088,1
35,3,car,127.57,232.87,-0.015,-0.170,1
35,4,car,367.08,231.22,0.185,-0.610,1
36,1,car,325.07,280.92,-0.116,-1.525,1
36,3,car,127.57,232.86,-0.015,-0.170,1
36,4,car,364.38,232.87,-0.003,-0.505,1
37,1,car,324.92,273.75,-0.127,-2.069,1
37,3,car,127.57,232.86,-0.015,-0.170,1
37,4,car,363.23,242.18,-0.082,0.101,1
38,1,car,324.55,270.51,-0.152,-2.297,1
38,3,car,127.57,232.85,-0.015,-0.170,1
38,4,car,366.08,247.89,0.122,0.584,1
38,5,car,311.94,201.53,0.016,-0.024,1
39,1,car,324.92,270.56,-0.128,-2.286,1
39,3,car,127.57,232.84,-0.015,-0.170,1
39,4,car,370.54,250.81,0.459,0.899,1
39,5,car,312.59,200.42,0.050,-0.079,1
40,1,car,324.21,269.69,-0.173,-2.341,1
40,3,car,127.57,232.83,-0.015,-0.170,1
40,4,car,372.82,251.42,0.643,0.976,1
40,5,car,312.26,200.74,0.030,-0.060,1
41,1,car,317.98,275.07,-0.538,-1.942,1
41,3,car,127.57,232.83,-0.015,-0.170,1
41,4,car,368.02,249.89,0.268,0.735,1
41,5,car,312.26,200.74,0.030,-0.060,1
42,1,car,321.24,270.99,-0.329,-2.231,1
42,3,car,127.57,232.82,-0.015,-0.170,1
42,4,car,371.82,250.78,0.557,0.851,1
42,5,car,312.26,200.74,0.030,-0.060,1
43,1,car,318.36,274.73,-0.512,-1.970,1
43,3,car,127.57,232.81,-0.015,-0.170,1
43,4,car,371.84,250.81,0.557,0.851,1
43,5,car,312.26,200.74,0.030,-0.060,1
43,6,car,221.30,251.20,-0.194,0.002,1
44,1,car,319.50,276.23,-0.426,-1.861,1
44,3,car,127.57,232.81,-0.015,-0.170,1
44,4,car,364.99,254.56,0.062,1.349,1
44,5,car,312.26,200.73,0.030,-0.060,1
44,6,car,221.29,251.20,-0.194,0.002,1
45,1,car,320.14,272.24,-0.376,-2.132,1
45,3,car,127.57,232.80,-0.015,-0.170,1
45,4,car,364.99,254.62,0.062,1.349,1
45,5,car,312.27,200.73,0.030,-0.060,1
45,6,car,230.83,253.03,0.374,0.107,1
45,7,car,413.64,260.61,0.008,0.041,1
46,1,car,320.46,274.81,-0.353,-1.951,1
