frame,track_id,label,cx,cy,vx,vy,confirmed
39,2,person,651.12,369.29,0.062,0.040,1
40,2,person,651.13,369.30,0.062,0.040,1
41,2,person,651.13,369.30,0.062,0.040,1
42,2,person,651.13,369.30,0.062,0.040,1
43,2,person,651.13,369.30,0.062,0.040,1
44,2,person,651.14,369.30,0.062,0.040,1
45,2,person,651.14,369.30,0.062,0.040,1
46,2,person,651.14,369.31,0.062,0.040,1
46,5,person,675.22,394.19,0.066,0.243,1
47,2,person,651.14,369.31,0.062,0.040,1
47,5,person,678.20,396.08,0.222,0.387,1
48,2,person,651.15,369.31,0.062,0.040,1
48,5,person,678.21,396.10,0.222,0.387,1
49,2,person,651.15,369.31,0.062,0.040,1
49,5,person,678.22,396.11,0.222,0.387,1
50,2,person,651.15,369.31,0.062,0.040,1
50,5,person,678.23,396.13,0.222,0.387,1
51,2,person,651.15,369.31,0.062,0.040,1
51,5,person,678.24,396.14,0.222,0.387,1
52,2,person,651.16,369.32,0.062,0.040,1
52,5,person,678.25,396.16,0.222,0.387,1
53,2,person,651.16,369.32,0.062,0.040,1
53,5,person,678.26,396.18,0.222,0.387,1
54,2,person,651.16,369.32,0.062,0.040,1
54,5,person,678.27,396.19,0.222,0.387,1
55,5,person,678.28,396.21,0.222,0.387,1
55,8,person,483.50,304.92,0.191,0.096,1
56,5,person,678.29,396.22,0.222,0.387,1
56,8,person,483.51,304.92,0.191,0.096,1
57,5,person,678.30,396.24,0.222,0.387,1
57,8,person,483.52,304.93,0.191,0.096,1
58,5,person,678.30,396.26,0.222,0.387,1
58,8,person,490.77,306.70,0.646,0.197,1
59,5,person,678.31,396.27,0.222,0.387,1
59,8,person,492.24,311.59,0.744,0.479,1
60,5,person,678.32,396.29,0.222,0.387,1
60,8,person,493.61,315.79,0.841,0.724,1
61,5,person,678.33,396.30,0.222,0.387,1
61,8,person,492.63,316.82,0.765,0.786,1
62,5,person,678.34,396.32,0.222,0.387,1
62,8,person,488.74,320.17,0.477,0.990,1
63,8,person,495.08,319.49,0.898,0.946,1
64,8,person,495.12,319.53,0.898,0.946,1
65,8,person,495.16,319.57,0.898,0.946,1
66,8,person,495.20,319.61,0.898,0.946,1
67,8,person,505.54,325.52,1.606,1.285,1
68,8,person,503.54,326.80,1.461,1.352,1
69,8,person,507.33,335.31,1.711,1.813,1
70,8,person,508.08,335.58,1.760,1.823,1
71,8,person,509.28,335.50,1.838,1.815,1
72,8,person,508.00,340.48,1.747,2.072,1
73,8,person,509.47,343.92,1.837,2.254,1
74,8,person,514.36,342.64,2.145,2.175,1
74,9,person,581.65,275.86,0.055,0.075,1
75,8,person,510.21,343.21,1.864,2.203,1
75,9,person,583.50,277.45,0.146,0.148,1
76,8,person,512.36,347.60,1.990,2.455,1
76,9,person,585.55,279.33,0.260,0.243,1
77,8,person,515.13,344.25,2.150,2.235,1
77,9,person,585.56,279.34,0.260,0.243,1
78,8,person,517.58,343.18,2.289,2.163,1
78,9,person,585.57,279.35,0.260,0.243,1
79,8,person,522.32,351.37,2.559,2.652,1
79,9,person,585.58,279.36,0.260,0.243,1
80,8,person,523.12,354.77,2.604,2.878,1
80,9,person,585.59,279.37,0.260,0.243,1
