frame,track_id,label,cx,cy,vx,vy,confirmed
24,1,pedestrian,481.05,339.25,0.038,0.062,1
25,1,pedestrian,481.06,341.24,0.039,0.141,1
26,1,pedestrian,481.74,343.24,0.071,0.228,1
26,2,pedestrian,502.00,234.63,-0.033,0.050,1
26,3,pedestrian,647.39,361.18,0.042,-0.002,1
27,1,pedestrian,483.79,347.41,0.167,0.395,1
27,2,pedestrian,501.77,235.27,-0.047,0.084,1
27,3,pedestrian,647.39,361.18,0.042,-0.002,1
28,1,pedestrian,484.64,349.31,0.210,0.478,1
28,2,pedestrian,502.41,236.17,-0.006,0.139,1
28,3,pedestrian,647.40,361.18,0.042,-0.002,1
28,6,pedestrian,620.11,342.11,0.070,0.040,1
29,1,pedestrian,486.06,352.00,0.285,0.597,1
29,2,pedestrian,503.63,236.84,0.072,0.184,1
29,3,pedestrian,647.40,361.18,0.042,-0.002,1
29,6,pedestrian,620.11,342.11,0.070,0.040,1
29,7,pedestrian,656.95,374.19,0.019,0.051,1
30,1,pedestrian,487.63,355.71,0.373,0.765,1
30,2,pedestrian,505.26,238.08,0.178,0.267,1
30,3,pedestrian,647.40,361.18,0.042,-0.002,1
30,6,pedestrian,620.12,342.11,0.070,0.040,1
30,7,pedestrian,656.95,374.19,0.019,0.051,1
31,1,pedestrian,488.26,357.23,0.411,0.838,1
31,2,pedestrian,507.04,239.43,0.310,0.356,1
31,3,pedestrian,647.40,361.18,0.042,-0.002,1
31,5,pedestrian,472.05,371.40,0.036,0.266,1
31,6,pedestrian,620.12,342.11,0.070,0.040,1
31,7,pedestrian,656.95,374.20,0.019,0.051,1
32,1,pedestrian,489.41,360.46,0.483,1.006,1
32,2,pedestrian,509.92,239.72,0.551,0.375,1
32,3,pedestrian,647.40,361.18,0.042,-0.002,1
32,5,pedestrian,472.35,375.25,0.067,0.465,1
32,6,pedestrian,620.12,342.12,0.070,0.040,1
32,7,pedestrian,662.56,376.53,0.274,0.179,1
32,8,pedestrian,630.27,351.60,0.052,0.118,1
33,1,pedestrian,490.19,361.66,0.531,1.070,1
33,2,pedestrian,509.85,240.96,0.543,0.455,1
33,3,pedestrian,647.40,361.18,0.042,-0.002,1
33,5,pedestrian,472.59,378.88,0.093,0.672,1
33,6,pedestrian,620.13,342.12,0.070,0.040,1
33,7,pedestrian,662.57,376.54,0.274,0.179,1
33,8,pedestrian,630.27,351.61,0.052,0.118,1
33,9,pedestrian,618.55,206.76,0.060,-0.031,1
34,1,pedestrian,491.09,364.13,0.585,1.200,1
34,2,pedestrian,509.97,242.35,0.551,0.542,1
34,3,pedestrian,647.41,361.18,0.042,-0.002,1
34,5,pedestrian,473.18,381.94,0.153,0.845,1
34,6,pedestrian,620.13,342.12,0.070,0.040,1
34,7,pedestrian,668.59,382.27,0.515,0.433,1
34,8,pedestrian,630.27,351.61,0.052,0.118,1
34,9,pedestrian,618.56,206.76,0.060,-0.031,1
34,10,pedestrian,447.92,305.24,0.001,0.029,1
35,1,pedestrian,492.59,368.16,0.675,1.397,1
35,2,pedestrian,509.76,243.88,0.533,0.639,1
35,3,pedestrian,647.41,361.18,0.042,-0.002,1
35,5,pedestrian,473.18,381.98,0.153,0.845,1
35,6,pedestrian,620.13,342.12,0.070,0.040,1
35,7,pedestrian,672.31,385.06,0.655,0.546,1
35,8,pedestrian,630.27,351.62,0.052,0.118,1
35,9,pedestrian,618.56,206.76,0.060,-0.031,1
35,10,pedestrian,448.69,306.65,0.035,0.116,1
35,12,pedestrian,638.63,359.49,0.082,0.049,1
36,1,pedestrian,492.89,373.02,0.693,1.638,1
36,2,pedestrian,510.11,245.98,0.555,0.771,1
